"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"94103502606354","Nodes","2606354",21.000000,26.166853,"DDS demands","Known Flow",497380.290000,140276.395000,,0.000000,,-5.219999,,-4.667817,-5.219999,,"",,"D1 PROFILE",
"94103502606353","Nodes","2606353",21.000000,26.220723,"Default Known Flow Node","Known Flow",497348.165000,140370.520000,,0.000000,,,,0.000000,0.000000,,"",,,
"94103502606154","Nodes","2606154",21.000000,28.961986,"DDS demands","Known Flow",495766.040000,140870.770000,,0.000000,-5.719999,-2.559999,,-7.404124,-8.279999,,"","C1 PROFILE","D1 PROFILE",
"94103502606155","Nodes","2606155",21.000000,28.337821,"DDS demands","Known Flow",495894.852500,140751.676250,,0.000000,,-5.960000,,-5.329538,-5.960000,,"",,"D1 PROFILE",
"94103502606259","Nodes","2606259",21.000000,27.349584,"DDS demands","Known Flow",496174.915000,140678.520000,,0.000000,-12.499999,-8.810000,,-19.055783,-21.309999,,"","C1 PROFILE","D1 PROFILE",
"94103502606338","Nodes","2606338",21.000000,26.225092,"DDS demands","Known Flow",497344.540000,140371.520000,,0.000000,,-17.049999,,-15.246414,-17.049999,,"",,"D1 PROFILE",
"94103502606357","Nodes","2606357",21.000000,26.699093,"Default Known Flow Node","Known Flow",497547.665000,140393.020000,,0.000000,,,,0.000000,0.000000,,"",,,
"94103502606356","Nodes","2606356",21.000000,26.699093,"Default Known Flow Node","Known Flow",497545.540000,140392.645000,,0.000000,,,,0.000000,0.000000,,"",,,
"94103502606339","Nodes","2606339",21.000000,26.546732,"DDS demands","Known Flow",497544.915000,140433.645000,,0.000000,,-12.499999,,-11.177723,-12.499999,,"",,"D1 PROFILE",
"94103502606358","Nodes","2606358",21.000000,28.961986,"Default Known Flow Node","Known Flow",495764.165000,140873.020000,,0.000000,,,,0.000000,0.000000,,"",,,
"94103502606005","Nodes","HYDESTILE DG, Site Id 9350",21.000000,29.000000,"Default Known Pressure Node","Known Pressure",495763.915000,140877.395000,,6799.999842,,,,165.734332,185.340004,,"",,,
"94103502606260","Nodes","2606260",21.000000,27.055119,"DDS demands","Known Flow",496316.290000,140636.145000,,0.000000,,-11.589999,,-10.363985,-11.589999,,"",,"D1 PROFILE",
"94103502606262","Nodes","2606262",21.000000,25.689926,"DDS demands","Known Flow",496869.915000,140665.520000,,0.000000,,-14.089999,,-12.599530,-14.089999,,"",,"D1 PROFILE",
"94103502606352","Nodes","2606352",21.000000,26.068294,"Default Known Flow Node","Known Flow",497000.165000,140838.645000,,0.000000,,,,0.000000,0.000000,,"",,,
"94103502606351","Nodes","2606351",21.000000,25.695914,"DDS demands","Known Flow",496910.415000,140701.645000,,0.000000,,-1.890000,,-1.690071,-1.890000,,"",,"D1 PROFILE",
"94103502606360","Nodes","2606360",21.000000,25.704242,"Default Known Flow Node","Known Flow",496884.915000,140658.145000,,0.000000,,,,0.000000,0.000000,,"",,,
"94103502606263","Nodes","2606263",21.000000,25.730708,"Default Known Flow Node","Known Flow",496801.665000,140499.145000,,0.000000,,-1.019999,,-0.912102,-1.019999,,"",,"",
