"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-DC)"
"94118509202207","Nodes","9202207",21.000000,35.626059,"DDS demands","Known Flow",535417.149960,119890.285629,,0.000000,,,-13.350000,,,-11.937809,-13.350000,,"",,,"D1 PROFILE",,
"94118509202254","Nodes","-417519",21.000000,36.026777,"Default Known Flow Node","Known Flow",535447.040000,119801.442812,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94118509202183","Nodes","9202183",21.000000,36.054517,"Default Known Flow Node","Known Flow",535446.290000,119793.942812,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94118509202206","Nodes","9202206",21.000000,35.083391,"DDS demands","Known Flow",535399.790000,119865.560000,,0.000000,,,-14.949999,,,-13.368557,-14.949999,,"",,,"D1 PROFILE",,
"94118509202255","Nodes","-417520",21.000000,34.995890,"DDS demands","Known Flow",535459.915000,119938.810000,,0.000000,,,-2.499999,,,-2.235544,-2.499999,,"",,,"D1 PROFILE",,
"94118509202214","Nodes","9202214",21.000000,30.707672,"DDS demands","Known Flow",534433.790000,119931.060000,,0.000000,,,-3.989999,,,-3.567929,-3.989999,,"",,,"D1 PROFILE",,
"94118509202215","Nodes","9202215",21.000000,30.703392,"Default Known Flow Node","Known Flow",534434.790000,119921.310000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"94118509202217","Nodes","9202217",21.000000,30.669953,"DDS demands","Known Flow",534403.915000,119919.060000,,0.000000,,,-3.940000,,,-3.523218,-3.940000,,"",,,"D1 PROFILE",,
"94118509202216","Nodes","9202216",21.000000,30.748861,"DDS demands","Known Flow",534431.290000,119812.060000,,0.000000,,,-2.279999,,,-2.038816,-2.279999,,"",,,"D1 PROFILE",,
"94118509202213","Nodes","9202213",21.000000,30.749017,"Default Known Flow Node","Known Flow",534453.415000,119970.060000,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
