"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94104403004001","Nodes","P12128290, 80 HOLMESDALE ROAD, 9.6",22.999998,24.897707,"CSEP Unmatched","Known Flow",525924.229789,150658.153398,,0.000000,,,,,,,,,,,,,,,-9.600000,,-8.584492,-9.600000,,"",,,,,,,,,,,,,,,"DC PROFILE",
"94104403005003","Nodes","3005003, ""WHEATFIELD WAY GOV""",21.000000,34.999999,"Default Known Pressure Node","Known Pressure",529235.875000,143364.500000,,5970.000151,,,,,,,,,,,,,,,,,1352.876594,1512.916276,,"",,,,,,,,,,,,,,,,
"94104403102001","Nodes","3102001, ""NUTFIELD ROAD GOV""",21.000000,42.000001,"Default Known Pressure Node","Known Pressure",530377.750000,150474.000000,,8534.000223,,,,,,,,,,,,,,,,,1250.413682,1398.332399,,"",,,,,,,,,,,,,,,,
"94104403003003","Nodes","3003003, ""WATERLOW RD""",21.000000,41.000000,"Default Known Pressure Node","Known Pressure",526339.750000,149649.625000,,8534.000223,,,,,,,,,,,,,,,,,1969.171612,2202.116322,,"",,,,,,,,,,,,,,,,
"94104403004002","Nodes","3004002, ""HOOLEY LANE (PENDLETON)""",21.000000,43.499999,"Default Known Pressure Node","Known Pressure",527743.625000,149719.250000,,8534.000223,,,,,,,,,,,,,,,,,1592.532590,1780.922457,,"",,,,,,,,,,,,,,,,
"94104403003002","Nodes","3003002, ""BELL STREET""",21.000000,41.000000,"Default Known Pressure Node","Known Pressure",525409.250000,150043.375000,,8534.000223,,,,,,,,,,,,,,,,,2188.161158,2447.011377,,"",,,,,,,,,,,,,,,,
"94104403002002","Nodes","3002002, WRAY PARK ROAD/WRAY COMMON DG,",21.000000,40.000000,"Default Known Pressure Node","Known Pressure",526379.875000,151027.250000,,8534.000223,,,,,,,,,,,,,,,,,2508.562038,2805.314475,,"",,,,,,,,,,,,,,,,
"94104403002001","Nodes","3002001, ""ALMA RD""",21.000000,41.000000,"Default Known Pressure Node","Known Pressure",525584.625000,151008.500000,,8534.000223,,,,,,,,,,,,,,,,,1126.752155,1260.042277,,"",,,,,,,,,,,,,,,,
"94104403001004","Nodes","3001004, ""ELMWOOD RD GOV""",21.000000,41.000000,"Default Known Pressure Node","Known Pressure",528636.500000,152044.375000,,8534.000223,,,,,,,,,,,,,,,,,2840.731067,3176.777595,,"",,,,,,,,,,,,,,,,
"94104403001005","Nodes","3001005, FOXBOROUGH PARK RRI,",21.000000,49.999998,"Default Known Pressure Node","Known Pressure",528424.750000,151227.250000,,499.999994,,,,,,,,,,,,,,,,,351.517046,393.100022,,"",,,,,,,,,,,,,,,,
