"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(PL-AF)"
"94123309211018","Nodes","9211018",21.000000,42.646917,"DDS demands","Known Flow",540261.375000,120846.382812,,0.000000,,,,,-12.879999,,,,,-11.517526,-12.879999,,"",,,,,"D1 PROFILE",,,,
"94123309211088","Nodes","9211088",21.000000,42.409875,"DDS demands","Known Flow",540324.749418,120989.613089,,0.000000,,,,,-7.080000,,,,,-6.331062,-7.080000,,"",,,,,"D1 PROFILE",,,,
"94123309211086","Nodes","9211086",21.000000,41.663108,"DDS demands","Known Flow",540431.158713,120762.197533,,0.000000,,,,,-17.559999,,,,,-15.702466,-17.559999,,"",,,,,"D1 PROFILE",,,,
"94123309211087","Nodes","9211087",21.000000,40.373008,"DDS demands","Known Flow",540736.177164,120706.102557,,0.000000,,,,,-1.860000,,,,,-1.663245,-1.860000,,"",,,,,"D1 PROFILE",,,,
"94123309211037","Nodes","9211037",21.000000,49.828698,"Default Known Flow Node","Known Flow",540822.576668,120965.748885,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123300102780","Nodes","102780",21.000000,49.340018,"DDS demands","Known Flow",541002.176622,120976.752544,,0.000000,,,,,-2.829999,,,,,-2.530636,-2.829999,,"",,,,,"D1 PROFILE",,,,
"94123309211019","Nodes","9211019",21.000000,48.983938,"DDS demands","Known Flow",541137.888418,120989.526907,,0.000000,,,-2.609999,,-18.389999,,,,,-18.778575,-20.999999,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"94123309211040","Nodes","9211040",21.000000,48.744611,"DDS demands","Known Flow",541220.727254,120986.152383,,0.000000,,,,,-14.120000,,,,,-12.626357,-14.120000,,"",,,,,"D1 PROFILE",,,,
"94123309211020","Nodes","9211020",21.000000,48.076699,"DDS demands","Known Flow",541419.208099,120938.133795,,0.000000,,,,,-0.519999,,,,,-0.464993,-0.519999,,"",,,,,"D1 PROFILE",,,,
"94123309211043","Nodes","9211043",21.000000,47.231039,"DDS demands","Known Flow",541422.750000,120988.382812,,0.000000,,,,,-4.530000,,,,,-4.050807,-4.530000,,"",,,,,"D1 PROFILE",,,,
"94123309211055","Nodes","9211055",21.000000,40.916161,"DDS demands","Known Flow",541951.021738,120774.520850,,0.000000,,,,,-10.979999,,,,,-9.818512,-10.979999,,"",,,,,"D1 PROFILE",,,,
"94123309211053","Nodes","9211053",21.000000,41.439686,"Default Known Flow Node","Known Flow",542045.864267,120801.133381,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123309211035","Nodes","9211035",21.000000,41.446796,"DDS demands","Known Flow",542042.183810,120808.635849,,0.000000,,,-2.559999,,-1.700000,,,,,-3.809368,-4.260000,,"",,,"C3  PROFILE",,"D1 PROFILE",,,,
"94123309211056","Nodes","9211056",21.000000,41.235287,"DDS demands","Known Flow",542122.446070,120799.576265,,0.000000,,,,,-3.089999,,,,,-2.763133,-3.089999,,"",,,,,"D1 PROFILE",,,,
"94123309211013","Nodes","9211013",21.000000,46.558939,"DDS demands","Known Flow",540236.586330,121066.214864,,0.000000,,,,,-7.210000,,,,,-6.447311,-7.210000,,"",,,,,"D1 PROFILE",,,,
"94123309211014","Nodes","9211014",21.000000,45.581854,"DDS demands","Known Flow",540018.333452,121086.293555,,0.000000,,,,,-6.749999,,,,,-6.035970,-6.749999,,"",,,,,"D1 PROFILE",,,,
"94123300103767","Nodes","103767",21.000000,45.386821,"Default Known Flow Node","Known Flow",540001.250000,121024.000000,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
"94123309211089","Nodes","9211089",21.000000,45.184703,"DDS demands","Known Flow",539895.246709,121024.442774,,0.000000,,,,,-6.210000,,,,,-5.553093,-6.210000,,"",,,,,"D1 PROFILE",,,,
"94123309211038","Nodes","9211038",21.000000,48.474196,"DDS demands","Known Flow",541100.875000,121111.250000,,0.000000,,,,,-8.609999,,,,,-7.699215,-8.609999,,"",,,,,"D1 PROFILE",,,,
"94123309211041","Nodes","9211041",21.000000,48.380678,"DDS demands","Known Flow",541235.133533,121060.209008,,0.000000,,,,,-6.560000,,,,,-5.866069,-6.560000,,"",,,,,"D1 PROFILE",,,,
"94123309211044","Nodes","9211044",21.000000,46.979935,"DDS demands","Known Flow",541419.999838,121002.000806,,0.000000,,,,,-0.959999,,,,,-0.858449,-0.959999,,"",,,,,"D1 PROFILE",,,,
"94123300102822","Nodes","102822",21.000000,47.133892,"DDS demands","Known Flow",541492.177349,121001.184705,,0.000000,,,,,-1.440000,,,,,-1.287673,-1.440000,,"",,,,,"D1 PROFILE",,,,
"94123309211027","Nodes","9211027",21.000000,32.188725,"DDS demands","Known Flow",541252.893644,121389.205338,,0.000000,,,,,-17.430000,,,,,-15.586218,-17.430000,,"",,,,,"D1 PROFILE",,,,
"94123309211084","Nodes","9211084",21.000000,34.208812,"DDS demands","Known Flow",541266.685516,121288.194749,,0.000000,,,,,-1.500000,,,,,-1.341326,-1.500000,,"",,,,,"D1 PROFILE",,,,
"94123300102794","Nodes","102794",21.000000,33.886751,"DDS demands","Known Flow",541201.013428,121314.994344,,0.000000,,,,,-4.819999,,,,,-4.310130,-4.819999,,"",,,,,"D1 PROFILE",,,,
"94123309211029","Nodes","9211029",21.000000,40.656426,"DDS demands","Known Flow",541385.916959,121172.565011,,0.000000,,,,,-9.399999,,,,,-8.405647,-9.399999,,"",,,,,"D1 PROFILE",,,,
"94123309211071","Nodes","9211071",21.000000,40.517616,"Default Known Flow Node","Known Flow",541406.776834,121238.786359,,0.000000,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,
