"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"94118001462773","Nodes","P10125485, Brighton Road, 14.12 Scmh",22.999998,30.640988,"CSEP DDS Matched","Known Flow",521924.833674,105125.625193,,0.000000,,,,,,,,-14.120000,,,,,,,-12.626357,-14.120000,,"",,,,,,,,"DC PROFILE",,,,,,
"94118008802204","Nodes","8802204,",21.000000,33.201484,"Daily Metered Site","Known Flow",528318.665000,104477.682812,,0.000000,-313.079997,,-12.680000,,,,-38.439998,,,,,,,,-325.674163,-364.199989,,"","C1 PROFILE",,"C3  PROFILE",,,,"D1 PROFILE",,,,,,,
"94118009001030","Nodes","9001030,",21.000000,31.341984,"DDS demands","Known Flow",525723.727500,105657.792187,,0.000000,,,,,,,-28.749999,,,,,,,,-25.708763,-28.749999,,"",,,,,,,"D1 PROFILE",,,,,,,
"94118001465456","Nodes","1465456,",21.000000,26.234986,"Default Known Flow Node","Known Flow",529125.665000,105083.432812,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"94118008702214","Nodes","8702214,",21.000000,34.462774,"Default Known Flow Node","Known Flow",523224.540000,106480.800000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"94118000091030","Nodes","91030,",21.000000,34.505796,"Default Known Flow Node","Known Flow",523288.008750,106520.807812,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"94118000000928","Nodes","928,",21.000000,34.634903,"Default Known Flow Node","Known Flow",523364.665000,106556.550000,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"94118000008403","Nodes","8403,",21.000000,31.145667,"Default Known Flow Node","Known Flow",532027.915000,105501.182812,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
"94118004905057","Nodes","4905057,",21.000000,31.586064,"DDS demands","Known Flow",531975.040000,105446.182812,,0.000000,,,,,,,-19.999998,,,,,,,,-17.884357,-19.999998,,"",,,,,,,"D1 PROFILE",,,,,,,
"94118000006181","Nodes","6181,",21.000000,33.063482,"Default Known Flow Node","Known Flow",530765.665000,108009.682812,,0.000000,,,,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,,,,
