"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)"
"94104202902047","Nodes","2902047",21.000000,25.779240,"DDS demands","Known Flow",517356.530000,147863.695000,,0.000000,,-1.039999,-0.929986,-1.039999,,"",,"D1 PROFILE"
"94104202902048","Nodes","2902048",21.000000,25.780261,"Default Known Flow Node","Known Flow",517369.530000,147863.695000,,0.000000,,,0.000000,0.000000,,"",,
"94104202902045","Nodes","2902045",21.000000,25.985367,"Default Known Flow Node","Known Flow",517353.280000,147928.945000,,0.000000,,,0.000000,0.000000,,"",,
"94104202902040","Nodes","2902040",21.000000,25.875425,"Default Known Flow Node","Known Flow",517369.155000,147911.570000,,0.000000,,,0.000000,0.000000,,"",,
"94104202902046","Nodes","2902046",21.000000,25.988646,"DDS demands","Known Flow",517353.280000,147935.070000,,0.000000,,-2.640000,-2.360735,-2.640000,,"",,"D1 PROFILE"
"94104202902053","Nodes","2902053",21.000000,26.203032,"DDS demands","Known Flow",517404.905000,147993.945000,,0.000000,,-10.310000,-9.219387,-10.310000,,"",,"D1 PROFILE"
"94104202902050","Nodes","2902050",21.000000,25.725030,"DDS demands","Known Flow",517389.030000,147860.945000,,0.000000,,-1.479999,-1.323442,-1.479999,,"",,"D1 PROFILE"
"94104202902049","Nodes","2902049",21.000000,25.866836,"Default Known Flow Node","Known Flow",517373.155000,147890.070000,,0.000000,,,0.000000,0.000000,,"",,
"94104202902041","Nodes","2902041",21.000000,25.788838,"Default Known Flow Node","Known Flow",517370.655000,147871.695000,,0.000000,,,0.000000,0.000000,,"",,
"94104202902052","Nodes","2902052",21.000000,25.725030,"DDS demands","Known Flow",517403.155000,147859.070000,,0.000000,,0.000000,0.000000,0.000000,,"",,"D1 PROFILE"
"94104202902051","Nodes","2902051",21.000000,25.724003,"DDS demands","Known Flow",517389.780000,147868.695000,,0.000000,,-1.370000,-1.225078,-1.370000,,"",,"D1 PROFILE"
"94104202902024","Nodes","2902024",21.000000,26.228119,"Default Known Flow Node","Known Flow",517408.405000,147996.445000,,0.000000,,,0.000000,0.000000,,"",,
"94104202902039","Nodes","2902039",21.000000,25.874696,"Default Known Flow Node","Known Flow",517369.030000,147910.195000,,0.000000,,,0.000000,0.000000,,"",,
"94104202902042","Nodes","2902042",21.000000,25.868038,"Default Known Flow Node","Known Flow",517372.280000,147893.570000,,0.000000,,,0.000000,0.000000,,"",,
"94104202902043","Nodes","2902043",21.000000,25.872986,"DDS demands","Known Flow",517386.780000,147913.820000,,0.000000,,-1.159999,-1.037292,-1.159999,,"",,"D1 PROFILE"
"94104202902037","Nodes","2902037",21.000000,25.873031,"DDS demands","Known Flow",517349.905000,147906.570000,,0.000000,,-1.309999,-1.171425,-1.309999,,"",,"D1 PROFILE"
"94104202902038","Nodes","2902038",21.000000,25.829872,"DDS demands","Known Flow",517354.030000,147880.195000,,0.000000,,-1.460000,-1.305558,-1.460000,,"",,"D1 PROFILE"
