"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"94117308102325","Nodes","8102325",21.000000,24.576885,"DDS demands","Known Flow",502889.527997,101413.554806,,0.000000,,,,-14.249250,,,-0.189000,,,,,,,,,-12.910942,-14.438251,,,"",,,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,,
"94117300000615","Nodes","-615",21.000000,24.576885,"Default Known Flow Node","Known Flow",502897.152999,101389.679799,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"94117308408241","Nodes","8408241",21.000000,25.545373,"DDS demands","Known Flow",515786.780506,102952.615224,,0.000000,,,,,,,-34.384498,,,,,,,,,-30.747235,-34.384498,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117308408244","Nodes","8408244",21.000000,25.297624,"DDS demands","Known Flow",515876.069636,102974.736797,,0.000000,,,,,,,-10.793249,,,,,,,,,-9.651517,-10.793249,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117308408130","Nodes","8408130",21.000000,24.934293,"DDS demands","Known Flow",515982.817947,103000.348886,,0.000000,,,,,,,-40.027498,,,,,,,,,-35.793305,-40.027498,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117308401102","Nodes","8401102",21.000000,26.683587,"DDS demands","Known Flow",512873.024649,106715.159097,,0.000000,,,,,,,-3.422250,,,,,,,,,-3.060237,-3.422250,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117300831001","Nodes","-831001",21.000000,26.566147,"Default Known Flow Node","Known Flow",512840.374535,106801.545619,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"94117308401108","Nodes","1108, csep Lineside Way P07113563/1",25.000000,29.634324,"CSEP DDS Matched","Known Flow",501899.419385,102769.518826,,0.000000,,,,,-30.030753,,,-42.869251,,,,,,,,-65.188490,-72.900003,,,"",,,,,"CC PROFILE",,,"DC PROFILE",,,,,,,,
"94117300005829","Nodes","-5829",21.000000,26.458509,"Default Known Flow Node","Known Flow",512795.231214,106948.664918,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"94117300831000","Nodes","-831000",21.000000,26.565519,"Default Known Flow Node","Known Flow",512844.530706,106802.681272,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"94117308401104","Nodes","8401104",21.000000,26.573941,"DDS demands","Known Flow",512847.280706,106793.431270,,0.000000,-0.033749,,,-3.867750,,,-11.340000,,,,,,,,,-13.629222,-15.241500,,,"","C1 PROFILE",,,"C4 PROFILE",,,"D1 PROFILE",,,,,,,,,
"94117300000979","Nodes","-979",21.000000,25.075291,"Default Known Flow Node","Known Flow",503609.131910,102606.934726,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"94117308101109","Nodes","8101109",21.000000,25.125362,"DDS demands","Known Flow",503604.769334,102585.807489,,0.000000,,,,,,,-6.648750,,,,,,,,,-5.945431,-6.648750,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117308101123","Nodes","8101123",21.000000,25.342998,"DDS demands","Known Flow",503595.157433,102518.429384,,0.000000,,,,,,,-10.772999,,,,,,,,,-9.633408,-10.772999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117308403013","Nodes","8403013",21.000000,28.733963,"DDS demands","Known Flow",513216.508584,103106.806783,,0.000000,,,,,,,-22.308749,,,,,,,,,-19.948883,-22.308749,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117304905022","Nodes","-4905022",21.000000,28.746220,"Default Known Flow Node","Known Flow",513231.539474,103012.194204,,0.000000,,,,,,,,,,,,,,,,0.000000,0.000000,,,"",,,,,,,,,,,,,,,,
"94117300000647","Nodes","647",21.000000,25.289035,"DDS demands","Known Flow",503540.700380,101571.844968,,0.000000,-3.645000,,,,,,-1.579499,,,,,,,,,-4.671841,-5.224499,,,"","C1 PROFILE",,,,,,"D1 PROFILE",,,,,,,,,
"94117308102273","Nodes","8102273",21.000000,25.234612,"DDS demands","Known Flow",503592.872973,101571.865742,,0.000000,,,,,,,-13.290750,,,,,,,,,-11.884827,-13.290750,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117308101288","Nodes","8101288",21.000000,26.200358,"DDS demands","Known Flow",504618.278467,101887.804935,,0.000000,,,,,,,-5.143500,,,,,,,,,-4.599410,-5.143500,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117308101287","Nodes","8101287",21.000000,26.160181,"DDS demands","Known Flow",504612.061657,101836.059982,,0.000000,,,,,,,-5.966999,,,,,,,,,-5.335798,-5.966999,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
"94117308101285","Nodes","8101285",21.000000,26.138844,"DDS demands","Known Flow",504602.653463,101594.054855,,0.000000,,,,,,,-14.289751,,,,,,,,,-12.778151,-14.289751,,,"",,,,,,,"D1 PROFILE",,,,,,,,,
