"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-DC)"
"94122407710034","Nodes","7710034",21.000000,67.766890,"DDS demands","Known Flow",512574.675000,126741.442812,,0.000000,,,-1.840000,,-1.645360,-1.840000,,"",,,"D1 PROFILE",
"94122407710050","Nodes","7710050",21.000000,67.761658,"Default Known Flow Node","Known Flow",512577.800000,126735.692812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710048","Nodes","7710048",21.000000,67.761140,"DDS demands","Known Flow",512557.175000,126739.560000,,0.000000,,,-2.109999,,-1.886799,-2.109999,,"",,,"D1 PROFILE",
"94122407710035","Nodes","7710035",21.000000,67.049367,"DDS demands","Known Flow",512608.800000,126718.942812,,0.000000,,,-11.439999,,-10.229852,-11.439999,,"",,,"D1 PROFILE",
"94122407710018","Nodes","7710018",21.000000,67.793101,"DDS demands","Known Flow",512578.675000,126758.692812,,0.000000,,,-3.059999,,-2.736306,-3.059999,,"",,,"D1 PROFILE",
"94122407710049","Nodes","7710049",21.000000,67.735303,"DDS demands","Known Flow",512573.800000,126794.560000,,0.000000,,,-6.849999,,-6.125392,-6.849999,,"",,,"D1 PROFILE",
"94122407710033","Nodes","7710033",21.000000,67.942493,"Default Known Flow Node","Known Flow",512626.925000,126791.942812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710052","Nodes","7710052",21.000000,67.939838,"DDS demands","Known Flow",512645.175000,126783.310000,,0.000000,,,-1.399999,,-1.251905,-1.399999,,"",,,"D1 PROFILE",
"94122407710015","Nodes","7710015",21.000000,68.473757,"DDS demands","Known Flow",512628.050000,126920.942812,,0.000000,,,-12.380000,,-11.070417,-12.380000,,"",,,"D1 PROFILE",
"94122407710017","Nodes","7710017",21.000000,68.135940,"DDS demands","Known Flow",512630.925000,126846.810000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710051","Nodes","7710051",21.000000,68.473058,"Default Known Flow Node","Known Flow",512630.550000,126922.560000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710036","Nodes","7710036",21.000000,67.652688,"DDS demands","Known Flow",512693.800000,126837.942812,,0.000000,,,-0.850000,,-0.760085,-0.850000,,"",,,"D1 PROFILE",
"94122407710030","Nodes","7710030",21.000000,68.469548,"DDS demands","Known Flow",512669.050000,126932.560000,,0.000000,,,-7.960000,,-7.117974,-7.960000,,"",,,"D1 PROFILE",
"94122407710038","Nodes","7710038",21.000000,67.253507,"Default Known Flow Node","Known Flow",512691.300000,126767.942812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710040","Nodes","7710040",21.000000,67.112038,"DDS demands","Known Flow",512682.425000,126727.692812,,0.000000,,,-6.679999,,-5.973375,-6.679999,,"",,,"D1 PROFILE",
"94122407710043","Nodes","7710043",21.000000,67.208679,"DDS demands","Known Flow",512663.300000,126784.942812,,0.000000,,,-4.610000,,-4.122344,-4.610000,,"",,,"D1 PROFILE",
"94122407710054","Nodes","7710054",21.000000,67.652216,"Default Known Flow Node","Known Flow",512698.800000,126838.060000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710019","Nodes","7710019",21.000000,67.304844,"DDS demands","Known Flow",512711.925000,126782.692812,,0.000000,,,-9.050000,,-8.092672,-9.050000,,"",,,"D1 PROFILE",
"94122407710053","Nodes","7710053",21.000000,67.319112,"Default Known Flow Node","Known Flow",512696.800000,126764.192812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710039","Nodes","7710039",21.000000,67.306327,"DDS demands","Known Flow",512685.675000,126750.560000,,0.000000,,,-3.289999,,-2.941976,-3.289999,,"",,,"D1 PROFILE",
"94122407710056","Nodes","7710056",21.000000,67.598470,"DDS demands","Known Flow",512757.675000,126828.942812,,0.000000,,,-3.579999,,-3.201299,-3.579999,,"",,,"D1 PROFILE",
"94122407710037","Nodes","7710037",21.000000,67.319429,"Default Known Flow Node","Known Flow",512699.425000,126767.192812,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710041","Nodes","7710041",21.000000,67.236690,"DDS demands","Known Flow",512771.300000,126826.060000,,0.000000,,,0.000000,,0.000000,0.000000,,"",,,"D1 PROFILE",
"94122407710042","Nodes","7710042",21.000000,66.244063,"DDS demands","Known Flow",512760.675000,126863.442812,,0.000000,,,-12.029999,,-10.757440,-12.029999,,"",,,"D1 PROFILE",
"94122407710028","Nodes","7710028",21.000000,68.413822,"DDS demands","Known Flow",512826.675000,126981.560000,,0.000000,,,-6.409999,,-5.731936,-6.409999,,"",,,"D1 PROFILE",
"94122407710029","Nodes","7710029",21.000000,68.197185,"DDS demands","Known Flow",512875.800000,126944.810000,,0.000000,,,-7.159999,,-6.402599,-7.159999,,"",,,"D1 PROFILE",
"94122407710031","Nodes","7710031",21.000000,67.937791,"DDS demands","Known Flow",512709.300000,127008.442812,,0.000000,,,-10.350000,,-9.255155,-10.350000,,"",,,"D1 PROFILE",
"94122407710024","Nodes","7710024",21.000000,68.885719,"DDS demands","Known Flow",512643.425000,127070.560000,,0.000000,,-3.079999,-7.289999,,-9.273039,-10.369999,,"",,"C4 PROFILE","D1 PROFILE",
"94122407710016","Nodes","7710016",21.000000,68.650597,"DDS demands","Known Flow",512562.050000,126957.060000,,0.000000,,,-8.090000,,-7.234223,-8.090000,,"",,,"D1 PROFILE",
"94122407710055","Nodes","7710055",21.000000,68.957674,"Default Known Flow Node","Known Flow",512706.675000,127137.060000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710013","Nodes","7710013",21.000000,68.958372,"DDS demands","Known Flow",512709.550000,127141.310000,,0.000000,,,-20.649998,,-18.465599,-20.649998,,"",,,"D1 PROFILE",
"94122407710023","Nodes","7710023",21.000000,68.406392,"Default Known Flow Node Sub","Known Flow",512585.550000,127198.310000,,0.000000,,,,,0.000000,0.000000,,"",,,,
"94122407710014","Nodes","7710014",21.000000,68.660858,"DDS demands","Known Flow",512853.550000,127072.310000,,0.000000,,,-1.799999,,-1.609592,-1.799999,,"",,,"D1 PROFILE",
"94122407710026","Nodes","P13132684, TWO MILE ASH ROAD CSEP, 55.20 SCMH",25.000000,68.595257,"CSEP Unmatched","Known Flow",512911.925000,127022.810000,,0.000000,,,-1.760000,-39.969999,-37.315711,-41.729999,,"",,,"D1 PROFILE","DC PROFILE"
