",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,961051_ST_NICHOLAS_AT_WADE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961051_ST_NICHOLAS_AT_WADE\FY1\961051_ST_NICHOLAS_AT_WADE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961051_ST_NICHOLAS_AT_WADE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.8574,96105105601918"
" ,961054_ASHFORD,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961054_ASHFORD\FY1\961054_ASHFORD_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961054_ASHFORD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.1916,96105400003313"
" ,961055_WILLESBOROUGH,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961055_WILLESBOROUGH\FY1\961055_Willesborough_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961055_WILLESBOROUGH_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.5717,96105500060001"
" ,961056_SINGLETON_FARM,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961056_SINGLETON_FARM\FY1\961056 Singleton Farm FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961056_SINGLETON_FARM_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,28.3213,96105600218509"
" ,961057_WYE_VILLAGE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961057_WYE_VILLAGE\FY1\961057_WYE_VILLAGE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961057_WYE_VILLAGE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.0847,96105701462471"
" ,961058_GODINGTON_PARK,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961058_GODINGTON_PARK\FY1\961058_GODINGTON_PARK_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961058_GODINGTON_PARK_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,25.0393,96105800055988"
" ,961059_HOTHFIELD,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961059_HOTHFIELD\FY1\961059_HOTHFIELD FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961059_HOTHFIELD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.7025,96105905005037"
" ,961060_BRABOURNE_LEES,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961060_BRABOURNE_LEES\FY1\961060 - Brabourne Lees - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961060_BRABOURNE_LEES_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,27.0828,96106005007073"
" ,961061_WINGHAM,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961061_WINGHAM\FY1\961061 - Wingham - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961061_WINGHAM_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2778,96106105201030"
" ,961062_AYLESHAM,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961062_AYLESHAM\FY1\961062- AYLESHAM- FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961062_AYLESHAM_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.1476,96106205204112"
" ,961063_SHEPHERDSWELL_VILLAGE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961063_SHEPHERDSWELL_VILLAGE\FY1\961063_Shepherdswell_Village_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961063_SHEPHERDSWELL_VILLAGE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0302,96106300170671"
" ,961064_ASH_VILLAGE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961064_ASH_VILLAGE\FY1\961064_ASH_VILLAGE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961064_ASH_VILLAGE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.0417,96106400243722"
" ,961065_FOLKESTONE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961065_FOLKESTONE\FY1\961065 - Folkestone - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961065_FOLKESTONE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.6696,96106504001349"
" ,961066_ELVINGTON,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961066_ELVINGTON\FY1\961066 - Elvington - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961066_ELVINGTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.573,96106605206058"
" ,961067_EYTHORNE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961067_EYTHORNE\FY1\961067_EYTHORNE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961067_EYTHORNE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2834,96106705206028"
" ,961068_SANDWICH,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961068_SANDWICH\FY1\961068_SANDWICH_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\961068_SANDWICH_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.5345,96106800003056"
" ,961069_EASTRY,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961069_EASTRY\FY1\961069 Eastry FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961069_EASTRY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.538,96106905208135"
" ,961070_DEAL,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961070_DEAL\FY1\961070 - Deal - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961070_DEAL_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.5974,96107055209787"
" ,961071_ST_MARGARETS,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961071_ST_MARGARETS\FY1\961071_ST_MARGARETS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961071_ST_MARGARETS_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.6479,96107100000067"
" ,961072_WHITFIELD,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961072_WHITFIELD\FY1\961072_WHITFIELD_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961072_WHITFIELD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.9551,96107205214291"
" ,961073_DOVER,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961073_DOVER\FY1\961073_DOVER_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961073_DOVER_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.5626,96107305214444"
" ,961074_LYDDEN,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961074_LYDDEN\FY1\961074_LYDDEN_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961074_LYDDEN_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,64.3022,96107405214262"
" ,961075_CONNAUGHT_BARRACKS,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961075_CONNAUGHT_BARRACKS\FY1\961075_CONNAUGHT_BARRACKS_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961075_CONNAUGHT_BARRACKS_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,43.7621,96107505215344"
" ,961076_PRESTON,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961076_PRESTON\FY1\961076 - Preston - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961076_PRESTON_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.1788,96107605216034"
" ,961077_REDOUBT_WAY,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961077_REDOUBT_WAY\FY1\961077_REDOUBT_WAY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961077_REDOUBT_WAY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.549,96107705304377"
" ,961078_LYMPNE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961078_LYMPNE\FY1\961078_LYMPNE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961078_LYMPNE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,28.408,96107805305026"
" ,961079_NEW_ROMNEY,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961079_NEW_ROMNEY\FY1\961079 - New Romney - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961079_NEW_ROMNEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.4374,96107901000001"
" ,961080_LYDD,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961080_LYDD\FY1\961080_Lydd_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961080_LYDD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.0855,96108001462499"
" ,961081_HAWKINGE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961081_HAWKINGE\FY1\961081_Hawkinge_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961081_HAWKINGE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.9385,96108100994630"
" ,961082_DENSOLE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961082_DENSOLE\FY1\961082_DENSOLE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961082_DENSOLE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,25.8347,96108205308036"
" ,961083_DYMCHURCH,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961083_DYMCHURCH\FY1\961083_DYMCHURCH_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961083_DYMCHURCH_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.44,96108305309024"
" ,961084_ST_MARYS_BAY,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961084_ST_MARYS_BAY\FY1\961084 ST MARYS BAY FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961084_ST_MARYS_BAY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.0305,96108400000143"
" ,961085_LYMINGE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961085_LYMINGE\FY1\961085 - Lyminge - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961085_LYMINGE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,54.7106,96108500000094"
" ,961086_WHITSTABLE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961086_WHITSTABLE\FY1\961086_WHITSTABLE_FY1.mdb,S:\TEST AREA\ac00418\ASP_models_out\961086_WHITSTABLE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.5117,96108605502263"
" ,961087_CHESTFIELD,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961087_CHESTFIELD\FY1\961087_CHESTFIELD_FY1 10 04 13.MDB,S:\TEST AREA\ac00418\ASP_models_out\961087_CHESTFIELD_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,24.2315,96108705501385"
" ,961088_HERNE_BAY,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961088_HERNE_BAY\FY1\961088 Herne Bay - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961088_HERNE_BAY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.531,96108805503269"
" ,961089_CANTERBURY_UNIVERSITY,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961089_CANTERBURY_UNIVERSITY\FY1\961089_CANTERBURY_UNIVERSITY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961089_CANTERBURY_UNIVERSITY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.0968,96108900002012"
" ,961090_CANTERBURY,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961090_CANTERBURY\FY1\961090_CANTERBURY_fy1 20 04 12.MDB,S:\TEST AREA\ac00418\ASP_models_out\961090_CANTERBURY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.3563,96109005508327"
" ,961091_BRIDGE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961091_BRIDGE\FY1\961091_BRIDGE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961091_BRIDGE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.4673,96109105509115"
" ,961092_LITTLEBOURNE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961092_LITTLEBOURNE\FY1\961092_LITTLEBOURNE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961092_LITTLEBOURNE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.753,96109205510089"
" ,961093_CHARTHAM,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961093_CHARTHAM\FY1\961093 - Chartham - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961093_CHARTHAM_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.9697,96109305511086"
" ,961094_THANET,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961094_THANET\FY1\961094_THANET_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961094_THANET_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.1128,96109405608147"
" ,961095_MINSTER,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961095_MINSTER\FY1\961095 Minster FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961095_MINSTER_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.003,96109505609136"
" ,961096_CLIFFS_END,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961096_CLIFFS_END\FY1\961096_CLIFFS_END_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961096_CLIFFS_END_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2806,96109605609235"
" ,961097_TENTERDEN,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961097_TENTERDEN\FY1\961097_TENTERDEN_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961097_TENTERDEN_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2411,96109700678055"
" ,961098_CHARING,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961098_CHARING\FY1\961098_CHARING_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961098_CHARING_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.9305,96109805702064"
" ,961099_PLUCKLEY,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961099_PLUCKLEY\FY1\961099_PLUCKLEY_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961099_PLUCKLEY_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.5884,96109905706027"
" ,961100_VIGO_VILLAGE,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961100_VIGO_VILLAGE\FY1\961100_VIGO_VILLAGE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961100_VIGO_VILLAGE_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.3288,96110000133841"
" ,961101_CULVERSTONE_GREEN,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961101_CULVERSTONE_GREEN\FY1\961101_CULVERSTONE_GREEN_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961101_CULVERSTONE_GREEN_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,40.1646,96110105803035"
" ,961102_STAPLEHURST,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961102_STAPLEHURST\FY1\961102_STAPLEHURST_FY1 03-05-13.MDB,S:\TEST AREA\ac00418\ASP_models_out\961102_STAPLEHURST_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,22.1653,96110201462469"
" ,961103_YALDING,\\vpoct502\Syn471\Southern Networks_471\S9 (96) district LP models_471\961103_YALDING\FY1\961103_YALDING_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\961103_YALDING_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.7589,96110315902272"
