",model,name,name_out,loaded,balanced,feasible,solved,min_pressure,location"
" ,621015 Eaglesham LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\621015 Eaglesham LP\FY-1\621015 _EAGLESHAM_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\621015 Eaglesham LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.7672,62101500000244"
" ,621017 Strathblane LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\621017 Strathblane LP\FY1\621017_STRATHBLANE_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\621017 Strathblane LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,41.5173,62101700000219"
" ,621018 Waterfoot LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\621018 Waterfoot LP\FY1\621018_WATERFOOT_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\621018 Waterfoot LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,23.8011,62101800000008"
" ,621019 Drymen LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\621019 Drymen LP\FY1\621019 Drymen FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\621019 Drymen LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,25.4163,62101900000032"
" ,621020 Killearn LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\621020 Killearn LP\FY1\621020-KILLEARN-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\621020 Killearn LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,25.3212,62102000000138"
" ,621021 Balfron LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\621021 Balfron LP\FY1\621021BALFRON-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\621021 Balfron LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,27.49,62102100001293"
" ,625003 Greenock - Gourock LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\625003 Greenock - Gourock LP\FY-1\625003_GREENOCK_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\625003 Greenock - Gourock LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.8806,62500300015209"
" ,625004 Paisley - Renfrew - Linwood LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\625004 Paisley - Renfrew - Linwood LP\FY-1\625004PAISLEY-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\625004 Paisley - Renfrew - Linwood LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,18.1765,625004-1463321"
" ,625005 Ayr - Prestwick LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\625005 Ayr - Prestwick LP\FY1\625005 - Ayr_Prestwick - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\625005 Ayr - Prestwick LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.4809,62500500000493"
" ,625006 Irvine LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\625006 Irvine LP\FY1\625006IRVINE-FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\625006 Irvine LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,14.657,62500600202621"
" ,625007 Johnstone - Kilbarchan LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\625007 Johnstone - Kilbarchan LP\FY-1\625007_Johnstone_Kilbarchan_FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\625007 Johnstone - Kilbarchan LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,21.2476,62500700000025"
" ,625008 Barrhead - Neilston LP,\\vpoct502\Syn471\Scotland Networks_471\West_471\625008 Barrhead - Neilston LP\FY-1\625008 - Barrhead.Neilston - FY1.MDB,S:\TEST AREA\ac00418\ASP_models_out\625008 Barrhead - Neilston LP_LRMM1415.MDB,TRUE,TRUE,TRUE,TRUE,20.8131,62500800001443"
