"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"90100600903029","Nodes","","22.999998","60.039091","Default Known Flow Node","Known Flow","539058.375000","179953.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600902560","Nodes","902560","22.999998","60.039091","Default Known Flow Node","Known Flow","538968.911569","180033.454787","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903021","Nodes","","22.999998","59.998180","Default Known Flow Node","Known Flow","538949.000000","180137.875000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903023","Nodes","","22.999998","59.998180","Default Known Flow Node","Known Flow","538980.168218","180233.336436","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600902562","Nodes","902562","22.999998","59.998180","Default Known Flow Node","Known Flow","538984.375000","180239.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903025","Nodes","","22.999998","59.998180","Default Known Flow Node","Known Flow","538985.875000","180235.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903026","Nodes","","22.999998","60.039091","Default Known Flow Node","Known Flow","538993.500000","180070.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903024","Nodes","","22.999998","60.039091","Default Known Flow Node","Known Flow","538980.625000","180066.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600902561","Nodes","902561","22.999998","59.998180","Default Known Flow Node","Known Flow","538949.036569","180135.948138","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903084","Nodes","","22.999998","60.039091","Default Known Flow Node","Known Flow","538961.286569","180051.323138","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903022","Nodes","","22.999998","60.039091","Default Known Flow Node","Known Flow","538975.875000","180065.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600902563","Nodes","902563","22.999998","59.957277","Default Known Flow Node","Known Flow","539152.500000","180309.875000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903027","Nodes","","22.999998","59.998180","Default Known Flow Node","Known Flow","539008.875000","180220.875000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903008","Nodes","","22.999998","54.849120","Default Known Flow Node","Known Flow","539677.250000","178965.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600903007","Nodes","Holiday Inn","22.999998","54.455856","DDS demands","Known Flow","539668.875000","178952.625000","","0.000000","","","-10.239999","-64.779998","","","","-67.084225","-75.019997","","","","","C3 PROFILE","C4 PROFILE","","",""
"90100600903010","Nodes","","22.999998","54.961850","Default Known Flow Node","Known Flow","539696.779920","178983.434840","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600902532","Nodes","","22.999998","55.036115","DDS demands","Known Flow","539732.327320","178946.386720","","0.000000","","","","-186.030001","","","","-166.351353","-186.030001","","","","","","C4 PROFILE","","",""
"90100600902531","Nodes","","22.999998","54.821614","DDS demands","Known Flow","539668.293218","179101.948138","","0.000000","","","","-17.090000","","","","-15.282183","-17.090000","","","","","","C4 PROFILE","","",""
"90100600903012","Nodes","75, Bugsbys Way","22.999998","54.994793","DDS demands","Known Flow","539714.875000","178923.375000","","0.000000","-39.999997","","","","","","","-35.768714","-39.999997","","","C1 PROFILE","","","","","",""
"90100600903019","Nodes","","22.999998","55.244303","Default Known Flow Node","Known Flow","539824.500000","178817.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"90100600902533","Nodes","","22.999998","56.306230","DDS demands","Known Flow","540051.794519","178808.700012","","0.000000","-26.770001","","","","","","","-23.938215","-26.770001","","","C1 PROFILE","","","","","",""
