"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"90100300311505","Nodes","""Wolfe Crescent"", 90800100140088","21.000000","24.999999","Default Known Pressure Node","Known Pressure","535775.897842","179620.650475","","399.999988","","","","","","","","","","","","17.723398","19.819999","","","","","","","","","","","","",""
"90100300311510","Nodes","","21.000000","24.981062","Default Known Flow Node","Known Flow","535761.296634","179626.205915","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"90100300311511","Nodes","","21.000000","24.980635","Default Known Flow Node","Known Flow","535760.982250","179626.772896","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"90100300311513","Nodes","","21.000000","24.931897","DDS demands","Known Flow","535756.251315","179641.660427","","0.000000","","","","","","-15.079999","","","","","","-13.484805","-15.079999","","","","","","","","D1 PROFILE","","","","",""
"90100300311514","Nodes","","21.000000","24.931897","Default Known Flow Node","Known Flow","535754.500819","179641.327617","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"90100300311516","Nodes","","21.000000","24.914115","DDS demands","Known Flow","535792.540683","179692.614044","","0.000000","","","","","","-4.739999","","","","","","-4.238592","-4.739999","","","","","","","","D1 PROFILE","","","","",""
"90100300311519","Nodes","","21.000000","24.931897","Default Known Flow Node","Known Flow","535721.085239","179647.814565","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"90100300311520","Nodes","","21.000000","24.914115","Default Known Flow Node","Known Flow","535784.254024","179715.228390","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"90100400689275","Nodes","","21.000000","24.512145","DDS demands","Known Flow","536590.905000","179205.455000","","0.000000","","","","","","-47.370000","","","","","","-42.359103","-47.370000","","","","","","","","D1 PROFILE","","","","",""
"90100400689271","Nodes","","21.000000","24.948606","Default Known Flow Node","Known Flow","536588.405000","179204.080000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"90100400689309","Nodes","","21.000000","24.718327","Default Known Flow Node","Known Flow","536620.405000","179135.080000","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
