"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"60603000001466","Nodes","-68891","21.000000","42.272385","Default Known Flow Node","Known Flow","391508.663689","795971.070800","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000296","Nodes","296","21.000000","41.676173","DDS demands","Known Flow","391623.488720","796000.945809","","0.000000","","","","","","-10.600000","","","","-9.478710","-10.600000","","","","","","","","D1 PROFILE","","",""
"60603000001470","Nodes","-68896","21.000000","41.499583","Default Known Flow Node","Known Flow","391607.977411","795970.648875","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000297","Nodes","297","21.000000","41.661358","DDS demands","Known Flow","391646.348726","795988.959805","","0.000000","","","","","","-7.739999","","","","-6.921246","-7.739999","","","","","","","","D1 PROFILE","","",""
"60603000000161","Nodes","161","21.000000","41.522959","DDS demands","Known Flow","391715.231745","795993.711807","","0.000000","","","","-5.160000","","-2.170000","","","","-6.554617","-7.329999","","","","","","C4 PROFILE","","D1 PROFILE","","",""
"60603000000211","Nodes","211","21.000000","42.315231","Default Known Flow Node","Known Flow","391529.010694","795875.991775","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000001469","Nodes","-68895","21.000000","42.315231","Default Known Flow Node","Known Flow","391545.002699","795933.615790","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000298","Nodes","298","21.000000","41.419060","DDS demands","Known Flow","391598.362713","795952.536795","","0.000000","","","","","","-8.479999","","","","-7.582967","-8.479999","","","","","","","","D1 PROFILE","","",""
"60603000001471","Nodes","-68897","21.000000","41.542496","Default Known Flow Node","Known Flow","391635.137723","795956.936797","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000126","Nodes","126","21.000000","41.876622","DDS demands","Known Flow","391398.119659","796045.078821","","0.000000","","","","","","-8.109999","","","","-7.252106","-8.109999","","","","","","","","D1 PROFILE","","",""
"60603000000284","Nodes","P14133739, BRUNTLAND ROAD CSEP, 8.03 SCMH","22.999998","42.677796","CSEP Unmatched","Known Flow","391293.527630","796016.485813","","0.000000","","","","","","-2.580000","","","-8.029999","-9.487651","-10.609999","","","","","","","","D1 PROFILE","","","PL-DC PROFILE"
"60603000000275","Nodes","275","21.000000","32.921444","DDS demands","Known Flow","391446.178672","796411.118920","","0.000000","","","","","","-13.120000","","","","-11.732139","-13.120000","","","","","","","","D1 PROFILE","","",""
"60603000000279","Nodes","279","21.000000","32.747291","DDS demands","Known Flow","391396.427658","796379.610912","","0.000000","","","","","","-6.999999","","","","-6.259525","-6.999999","","","","","","","","D1 PROFILE","","",""
"60603000000274","Nodes","274","21.000000","33.349976","DDS demands","Known Flow","391483.324682","796419.504922","","0.000000","","","","","","-6.010000","","","","-5.374249","-6.010000","","","","","","","","D1 PROFILE","","",""
"60603000000138","Nodes","138","21.000000","35.221839","DDS demands","Known Flow","391458.621675","796276.096883","","0.000000","","","","","","-15.989999","","","","-14.298544","-15.989999","","","","","","","","D1 PROFILE","","",""
"60603000000164","Nodes","164","21.000000","35.205878","DDS demands","Known Flow","391400.420659","796248.996876","","0.000000","","","","","","-10.949999","","","","-9.791686","-10.949999","","","","","","","","D1 PROFILE","","",""
"60603000000166","Nodes","166","21.000000","35.159977","DDS demands","Known Flow","391369.192651","796236.361873","","0.000000","","","","","","-19.050000","","","","-17.034851","-19.050000","","","","","","","","D1 PROFILE","","",""
"60603000000165","Nodes","165","21.000000","35.104079","DDS demands","Known Flow","391433.273668","796194.973861","","0.000000","","","","","","-1.570000","","","","-1.403922","-1.570000","","","","","","","","D1 PROFILE","","",""
"60603000000250","Nodes","250","21.000000","35.080165","DDS demands","Known Flow","391461.992676","796192.996861","","0.000000","","","","","","-3.380000","","","","-3.022456","-3.380000","","","","","","","","D1 PROFILE","","",""
"60603000000281","Nodes","281","21.000000","42.056750","DDS demands","Known Flow","391328.230640","796117.069840","","0.000000","","","","","","-9.980000","","","","-8.924294","-9.980000","","","","","","","","D1 PROFILE","","",""
"60603000000283","Nodes","283","21.000000","42.056750","Default Known Flow Node","Known Flow","391373.106652","796156.538851","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000322","Nodes","322","21.000000","42.056750","Default Known Flow Node","Known Flow","391294.973631","796170.115855","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000280","Nodes","280","21.000000","42.365307","DDS demands","Known Flow","391368.325651","796072.937828","","0.000000","","","","","","-0.860000","","","","-0.769027","-0.860000","","","","","","","","D1 PROFILE","","",""
"60603000000131","Nodes","","21.000000","41.858770","DDS demands","Known Flow","391498.057686","796168.387854","","0.000000","-2.720000","","","","","-17.159999","","","","-17.777052","-19.879999","","","C1 PROFILE","","","","","D1 PROFILE","","",""
"60603000000168","Nodes","168","21.000000","41.216642","DDS demands","Known Flow","391413.928663","796059.214824","","0.000000","","","","","","-5.810000","","","","-5.195405","-5.810000","","","","","","","","D1 PROFILE","","",""
"60603000001473","Nodes","-82512","21.000000","41.833743","Default Known Flow Node","Known Flow","391421.538665","796023.992815","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000169","Nodes","169","21.000000","41.202641","DDS demands","Known Flow","391441.961671","796099.580835","","0.000000","","","","","","-1.809999","","","","-1.618534","-1.809999","","","","","","","","D1 PROFILE","","",""
"60603000000127","Nodes","127","21.000000","39.596224","DDS demands","Known Flow","391496.022685","796023.627815","","0.000000","","","","","","-18.559999","","","","-16.596683","-18.559999","","","","","","","","D1 PROFILE","","",""
"60603000000282","Nodes","282","21.000000","42.099609","Default Known Flow Node","Known Flow","391336.729642","796221.792869","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000314","Nodes","314","21.000000","42.013891","Default Known Flow Node","Known Flow","391250.486619","796140.247847","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000170","Nodes","170","21.000000","42.341040","DDS demands","Known Flow","391546.755699","795948.997794","","0.000000","","","","","","-1.139999","","","","-1.019408","-1.139999","","","","","","","","D1 PROFILE","","",""
"60603000000288","Nodes","288","21.000000","38.738704","DDS demands","Known Flow","391975.485185","796038.490963","","0.000000","","","","","","-9.679999","","","","-8.656029","-9.679999","","","","","","","","D1 PROFILE","","",""
"60603000000139","Nodes","139","21.000000","34.922044","DDS demands","Known Flow","391542.869698","796262.176880","","0.000000","","","","","","-7.010000","","","","-6.268468","-7.010000","","","","","","","","D1 PROFILE","","",""
"60603000000269","Nodes","","21.000000","41.801277","DDS demands","Known Flow","391533.166696","796116.582840","","0.000000","-5.680000","","","","","","","","","-5.079157","-5.680000","","","C1 PROFILE","","","","","","","",""
"60603000000266","Nodes","","21.000000","39.179709","DDS demands","Known Flow","391600.655714","796229.980871","","0.000000","-2.480000","","","","","","","","","-2.217660","-2.480000","","","C1 PROFILE","","","","","","","",""
"60603000000237","Nodes","237","21.000000","25.010809","DDS demands","Known Flow","391973.666815","796413.582921","","0.000000","","-32.459998","","","","-1.370000","","","","-30.251389","-33.829997","","","","C2 PROFILE","","","","D1 PROFILE","","",""
"60603000001476","Nodes","-82516","21.000000","25.010809","Default Known Flow Node","Known Flow","391956.257699","796403.718151","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000273","Nodes","273","21.000000","33.514631","DDS demands","Known Flow","391521.553692","796435.451927","","0.000000","","","","","","-4.780000","","","","-4.274362","-4.780000","","","","","","","","D1 PROFILE","","",""
"60603000000132","Nodes","132","21.000000","35.525230","DDS demands","Known Flow","391649.559727","796356.419905","","0.000000","","","","","","-6.350000","","","","-5.678283","-6.350000","","","","","","","","D1 PROFILE","","",""
"60603000000136","Nodes","136","21.000000","35.426218","DDS demands","Known Flow","391580.629708","796326.455897","","0.000000","","","","","","-19.219999","","","","-17.186867","-19.219999","","","","","","","","D1 PROFILE","","",""
"60603000000133","Nodes","133","21.000000","33.958030","DDS demands","Known Flow","391592.694712","796464.172935","","0.000000","","","","","","-10.419999","","","","-9.317750","-10.419999","","","","","","","","D1 PROFILE","","",""
"60603000000137","Nodes","137","21.000000","35.107346","DDS demands","Known Flow","391652.772728","796286.987886","","0.000000","","","","","","-6.780000","","","","-6.062797","-6.780000","","","","","","","","D1 PROFILE","","",""
"60603000000268","Nodes","P00088030, Oak Drive CSEP, 25.20","37.000000","37.248162","CSEP DDS Matched","Known Flow","391685.328737","796281.572885","","0.000000","","","","","-25.200000","","","","","-22.534292","-25.200000","","","","","","","CC PROFILE","","","",""
"60603000001475","Nodes","-82514","21.000000","39.139817","Default Known Flow Node","Known Flow","391611.666717","796205.884864","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000271","Nodes","271","21.000000","41.760962","DDS demands","Known Flow","391565.074704","796079.630830","","0.000000","","","","-4.819999","","-9.590000","","","","-12.885679","-14.409999","","","","","","C4 PROFILE","","D1 PROFILE","","",""
"60603000000291","Nodes","291","21.000000","37.296178","DDS demands","Known Flow","391993.278874","796122.215500","","0.000000","","","","","","-12.090000","","","","-10.811094","-12.090000","","","","","","","","D1 PROFILE","","",""
"60603000000267","Nodes","267","21.000000","38.954133","DDS demands","Known Flow","391624.125720","796134.150845","","0.000000","","","","-4.790000","","","","","","-4.283303","-4.790000","","","","","","C4 PROFILE","","","","",""
"60603000001474","Nodes","-82513","21.000000","39.139817","Default Known Flow Node","Known Flow","391588.527711","796194.905861","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000101","Nodes","101","21.000000","25.145964","DDS demands","Known Flow","392057.036763","796471.464998","","0.000000","","","","","","-15.970000","","","","-14.280660","-15.970000","","","","","","","","D1 PROFILE","","",""
"60603000000265","Nodes","265","21.000000","23.897879","DDS demands","Known Flow","392086.678846","796282.240885","","0.000000","","","","","","-2.720000","","-13.850000","","-14.817191","-16.570000","","","","","","","","D1 PROFILE","","I2 PROFILE",""
"60603000000264","Nodes","264","21.000000","24.332658","DDS demands","Known Flow","392101.365850","796313.574894","","0.000000","","","","","","-9.260000","","","","-8.280457","-9.260000","","","","","","","","D1 PROFILE","","",""
"60603000000261","Nodes","261","21.000000","24.271908","DDS demands","Known Flow","392149.135531","796419.926796","","0.000000","","","","","","-11.180000","","","","-9.997356","-11.180000","","","","","","","","D1 PROFILE","","",""
"60603000000263","Nodes","263","21.000000","24.264410","DDS demands","Known Flow","392121.663856","796357.524906","","0.000000","","","","","","-11.620000","","","","-10.390811","-11.620000","","","","","","","","D1 PROFILE","","",""
"60603000001436","Nodes","-110371","21.000000","24.839573","Default Known Flow Node","Known Flow","392032.484321","796383.137192","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603000000238","Nodes","238","21.000000","24.985463","DDS demands","Known Flow","392001.588823","796366.350908","","0.000000","-64.999999","","","","","-6.869999","","","","-64.267441","-71.869999","","","C1 PROFILE","","","","","D1 PROFILE","","",""
