"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60205700000608","Nodes","608","24.000000","24.295894","DDS demands","Known Flow","318636.047006","693529.177874","","0.000000","","","","","","-10.849999","","","","","","-9.702263","-10.849999","","","","","","","","D1 PROFILE","","","","",""
"60205700000621","Nodes","621","21.000000","24.032947","DDS demands","Known Flow","318622.056372","693524.606677","","0.000000","","","","-3.390000","","-10.369999","","","","","","-12.304438","-13.759999","","","","","","C4 PROFILE","","D1 PROFILE","","","","",""
"60205700000739","Nodes","739","21.000000","23.047199","DDS demands","Known Flow","318039.441310","697956.701742","","0.000000","","","","","","-8.120000","","","","","","-7.261049","-8.120000","","","","","","","","D1 PROFILE","","","","",""
"60205700000743","Nodes","743","21.000000","23.460462","DDS demands","Known Flow","318100.504922","697946.465285","","0.000000","","","","","","-10.620000","","","","","","-9.496594","-10.620000","","","","","","","","D1 PROFILE","","","","",""
"60205700000740","Nodes","740","21.000000","23.049866","DDS demands","Known Flow","318103.742898","697941.588906","","0.000000","","","","","","-19.240000","","","","","","-17.204753","-19.240000","","","","","","","","D1 PROFILE","","","","",""
"60205700001031","Nodes","1031","21.000000","35.508019","Default Known Flow Node","Known Flow","318528.461907","694355.450842","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700001029","Nodes","1029","21.000000","29.154338","Default Known Flow Node","Known Flow","317944.155671","696179.760646","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000408","Nodes","408","21.000000","29.698820","DDS demands","Known Flow","317975.206680","696237.282662","","0.000000","","","","","","-14.659999","","","","","","-13.109234","-14.659999","","","","","","","","D1 PROFILE","","","","",""
"60205700000473","Nodes","473","21.000000","29.067071","DDS demands","Known Flow","317940.990670","696175.069645","","0.000000","","","","-2.829999","","-8.909999","","","","","","-10.498117","-11.740000","","","","","","C4 PROFILE","","D1 PROFILE","","","","",""
"60205700000562","Nodes","562","21.000000","31.538526","DDS demands","Known Flow","317998.603686","697526.629013","","0.000000","","","","","","-8.339999","","","","","","-7.457777","-8.339999","","","","","","","","D1 PROFILE","","","","",""
"60205700000421","Nodes","421","21.000000","31.064094","Default Known Flow Node","Known Flow","318110.575716","696803.113816","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000773","Nodes","773","21.000000","31.265961","DDS demands","Known Flow","318168.718852","693047.674180","","0.000000","","","","","","-14.689999","","","","","","-13.136060","-14.689999","","","","","","","","D1 PROFILE","","","","",""
"60205700000122","Nodes","122","21.000000","28.256652","DDS demands","Known Flow","318341.728336","693151.290288","","0.000000","-21.639999","","","","","-17.530000","","","","","","-35.026515","-39.169998","","","C1 PROFILE","","","","","D1 PROFILE","","","","",""
"60205700001620","Nodes","","21.000000","24.470019","Default Known Flow Node","Known Flow","318905.034109","693095.471101","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700001000","Nodes","1000","21.000000","24.470019","Default Known Flow Node","Known Flow","318918.914654","693120.393091","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000234","Nodes","234","21.000000","24.459554","DDS demands","Known Flow","318934.298250","693087.226653","","0.000000","","","","-4.369999","","-22.280000","","","","","","-23.830907","-26.650000","","","","","","C4 PROFILE","","D1 PROFILE","","","","",""
"60205700000724","Nodes","724","21.000000","24.557036","DDS demands","Known Flow","318510.962741","692964.430719","","0.000000","","","","","","-13.820000","","","","","","-12.358091","-13.820000","","","","","","","","D1 PROFILE","","","","",""
"60205700001558","Nodes","Logger 10258, 12 Stephen Place","21.000000","26.728803","Val Log Cath","Known Flow","318785.617564","693880.725346","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700001018","Nodes","1018","21.000000","25.760595","Default Known Flow Node","Known Flow","318087.342607","697299.333908","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000378","Nodes","378","21.000000","38.651868","DDS demands","Known Flow","317727.663720","696801.310926","","0.000000","","","","","","-14.290000","","","","","","-12.778373","-14.290000","","","","","","","","D1 PROFILE","","","","",""
"60205700000558","Nodes","558","21.000000","35.885979","DDS demands","Known Flow","317853.263646","697544.479018","","0.000000","","","","","","-13.739999","","","","","","-12.286554","-13.739999","","","","","","","","D1 PROFILE","","","","",""
"60205700001562","Nodes","Logger 9237, 26 Kirktoun Gardens","21.000000","35.169725","Val Log Cath","Known Flow","317856.056377","697513.020565","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700001460","Nodes","","21.000000","34.596930","Default Known Flow Node","Known Flow","317858.699648","697487.918002","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000738","Nodes","738","21.000000","25.879666","DDS demands","Known Flow","317901.366325","697884.069601","","0.000000","","","","","","-17.670000","","","","","","-15.800830","-17.670000","","","","","","","","D1 PROFILE","","","","",""
"60205700001563","Nodes","Logger 9753, 161 Navitie Park","21.000000","26.423604","Val Log Cath","Known Flow","317900.658887","697839.376899","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000745","Nodes","745","21.000000","26.956300","Default Known Flow Node","Known Flow","317913.124067","697805.330253","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000339","Nodes","339","21.000000","36.161408","DDS demands","Known Flow","317527.513558","697712.842064","","0.000000","","","","","","-18.239999","","","","","","-16.310533","-18.239999","","","","","","","","D1 PROFILE","","","","",""
"60205700001555","Nodes","Logger 9407, 109 Kirktoun Park","21.000000","36.880287","Val Log Cath","Known Flow","317527.784899","697687.414639","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000337","Nodes","337","21.000000","38.036263","DDS demands","Known Flow","317529.666558","697649.041046","","0.000000","","","","","","-8.140000","","","","","","-7.278933","-8.140000","","","","","","","","D1 PROFILE","","","","",""
"60205700001001","Nodes","1001","21.000000","41.077364","DDS demands","Known Flow","317178.508222","697590.017386","","0.000000","","","","","","-0.419999","","","","","","-0.375571","-0.419999","","","","","","","","D1 PROFILE","","","","",""
"60205700000343","Nodes","343","21.000000","40.772267","DDS demands","Known Flow","317264.298647","697552.425792","","0.000000","","","","","","-8.660000","","","","","","-7.743927","-8.660000","","","","","","","","D1 PROFILE","","","","",""
"60205700000164","Nodes","164","21.000000","35.487759","DDS demands","Known Flow","317778.665582","692853.520168","","0.000000","","","","","","-7.539999","","","","","","-6.742402","-7.539999","","","","","","","","D1 PROFILE","","","","",""
"60205700000166","Nodes","","21.000000","34.636099","DDS demands","Known Flow","317898.655014","692896.264603","","0.000000","","","","","","-9.180000","","","","","","-8.208920","-9.180000","","","","","","","","D1 PROFILE","","","","",""
"60205700000451","Nodes","451","21.000000","34.979225","DDS demands","Known Flow","317948.348220","692797.270520","","0.000000","","","","","","-18.520000","","","","","","-16.560915","-18.520000","","","","","","","","D1 PROFILE","","","","",""
"60205700000167","Nodes","","21.000000","34.279846","DDS demands","Known Flow","317948.569946","692913.976694","","0.000000","-2.529999","","","","","-9.100000","","","","","","-10.399754","-11.630000","","","C1 PROFILE","","","","","D1 PROFILE","","","","",""
"60205700000098","Nodes","","21.000000","33.941357","DDS demands","Known Flow","317998.594107","692943.547976","","0.000000","","","","","","-32.410000","","","","","","-28.981602","-32.410000","","","","","","","","D1 PROFILE","","","","",""
"60205700000019","Nodes","","21.000000","35.436767","Default Known Flow Node","Known Flow","317654.172002","692828.004793","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700002123","Nodes","","21.000000","35.474431","Default Known Flow Node","Known Flow","317707.687606","692842.695738","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700000047","Nodes","","21.000000","34.146062","Default Known Flow Node","Known Flow","317998.187685","692931.445762","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205701462799","Nodes","","21.000000","26.546888","Default Known Flow Node","Known Flow","318225.187747","692865.820744","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700001132","Nodes","","21.000000","26.497616","Default Known Flow Node","Known Flow","318231.852749","692869.465746","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60205700011115","Nodes","P11126625, Phase 1 South Street CSEP, 14.68","22.999998","24.351893","CSEP DDS Matched","Known Flow","318295.529976","692775.134966","","0.000000","","","","","","","-14.680000","","","","","-13.127118","-14.680000","","","","","","","","","DC PROFILE","","","",""
"60205700001130","Nodes","","21.000000","26.198182","Default Known Flow Node","Known Flow","318266.096344","692860.898525","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
