"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(D1)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(D1)"
"602123-1","Nodes","KILCONQUHAR DG TEL SITE ID 1903","21.000000","49.999998","Default Known Pressure Node","Known Pressure","348460.125000","702041.000000","","999998.967025","","48.207282","53.909999","","",""
"60212300000001","Nodes","1","21.000000","49.963246","DDS demands","Known Flow","348460.875000","702043.000000","","0.000000","-6.469999","-5.785589","-6.469999","","","D1 PROFILE"
"60212300000022","Nodes","22","21.000000","46.281624","DDS demands","Known Flow","348590.625000","702338.375000","","0.000000","-3.130000","-2.798902","-3.130000","","","D1 PROFILE"
"60212300000021","Nodes","21","21.000000","46.401764","DDS demands","Known Flow","348613.031250","702276.437500","","0.000000","-10.490000","-9.380345","-10.490000","","","D1 PROFILE"
"60212300000024","Nodes","24","21.000000","46.068159","Default Known Flow Node","Known Flow","348496.875000","702316.875000","","0.000000","","0.000000","0.000000","","",""
"60212300000025","Nodes","25","21.000000","45.665107","DDS demands","Known Flow","348546.500000","702282.500000","","0.000000","-1.799999","-1.609592","-1.799999","","","D1 PROFILE"
"60212300000010","Nodes","10","21.000000","48.797576","DDS demands","Known Flow","348541.625000","702063.750000","","0.000000","-1.760000","-1.573823","-1.760000","","","D1 PROFILE"
"60212300000012","Nodes","12","21.000000","47.664002","DDS demands","Known Flow","348635.250000","702060.625000","","0.000000","-16.569999","-14.817190","-16.569999","","","D1 PROFILE"
"60212300000023","Nodes","23","21.000000","46.262186","DDS demands","Known Flow","348525.125000","702323.750000","","0.000000","-0.259999","-0.232496","-0.259999","","","D1 PROFILE"
"60212300000017","Nodes","17","21.000000","49.952023","DDS demands","Known Flow","348813.375000","702253.125000","","0.000000","-3.549999","-3.174473","-3.549999","","","D1 PROFILE"
