"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60601901462508","Nodes","-1462508","21.000000","25.207608","Default Known Flow Node","Known Flow","254262.210343","858580.385837","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601900000075","Nodes","75","21.000000","25.338714","DDS demands","Known Flow","254277.535347","858573.604835","","0.000000","","","","","","-5.249999","","","","","","","","-4.694643","-5.249999","","","","","","","","D1 PROFILE","","","","","","",""
"60601900000062","Nodes","62","21.000000","26.440155","DDS demands","Known Flow","254404.085382","858705.635871","","0.000000","","","","","","-3.289999","","","","","","","","-2.941976","-3.289999","","","","","","","","D1 PROFILE","","","","","","",""
"60601900001002","Nodes","Logger 10097,","21.000000","26.655182","Val Log Cath","Known Flow","254386.680210","858711.951763","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601900000066","Nodes","66","21.000000","27.148931","DDS demands","Known Flow","254349.585367","858723.260876","","0.000000","","","","","","-2.319999","","","","","","","","-2.074585","-2.319999","","","","","","","","D1 PROFILE","","","","","","",""
"60601900001005","Nodes","1005","21.000000","43.142555","Default Known Flow Node","Known Flow","254958.861616","858821.765318","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601900001003","Nodes","1003, P11126006, DEV@JUBILEE PARK ROAD, -6.65SCMH","22.999998","24.314050","CSEP DDS Matched","Known Flow","255396.311580","858642.227078","","0.000000","","","","","","","-6.650000","","","","","","","-5.946549","-6.650000","","","","","","","","","DC PROFILE","","","","","",""
"60601900000205","Nodes","205,","21.000000","31.580670","DDS demands","Known Flow","254851.851503","859439.390071","","0.000000","","","","","","-4.139999","","","","","","","","-3.702062","-4.139999","","","","","","","","D1 PROFILE","","","","","","",""
"60601900001018","Nodes","1018","21.000000","32.741236","Default Known Flow Node","Known Flow","254872.867777","859394.393011","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601900000022","Nodes","22","21.000000","44.954163","DDS demands","Known Flow","254932.489525","859071.999971","","0.000000","-8.279999","","","-4.839999","","-2.329999","","","","","","","","-13.815666","-15.449999","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","","","","",""
"60601900001010","Nodes","1010","21.000000","44.029261","Default Known Flow Node","Known Flow","254976.259918","858985.136622","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601900000023","Nodes","23","21.000000","43.868675","DDS demands","Known Flow","254986.962540","858965.056942","","0.000000","-6.000000","","","","","","","","","","","","","-5.365307","-6.000000","","","C1 PROFILE","","","","","","","","","","","",""
"60601900002033","Nodes","-86","21.000000","43.850412","DDS demands","Known Flow","254985.338440","858963.747185","","0.000000","","","","","","-1.690000","","","","","","","","-1.511228","-1.690000","","","","","","","","D1 PROFILE","","","","","","",""
"60601900001011","Nodes","Logger 10123, Post 0/s monumental sculptor, Tulloch Street","21.000000","42.525992","Val Log Post","Known Flow","255006.883569","858917.885609","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601900000111","Nodes","","21.000000","41.035212","DDS demands","Known Flow","255021.648550","858851.766911","","0.000000","-18.040000","-1.169999","","-6.260000","","","","","","","","","","-22.775731","-25.470001","","","C1 PROFILE","C2 PROFILE","","C4 PROFILE","","","","","","","","",""
"60601900000027","Nodes","","21.000000","39.487410","DDS demands","Known Flow","255057.137559","858741.073881","","0.000000","-24.680000","","","-5.449999","","-0.319999","","","","","","","","-27.228936","-30.450000","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","","","","",""
"60601900001012","Nodes","","21.000000","40.716204","DDS demands","Known Flow","255039.448554","858743.520881","","0.000000","-6.000000","","","","","","","","","","","","","-5.365307","-6.000000","","","C1 PROFILE","","","","","","","","","","","",""
