"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IC)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IC)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60600400002238","Nodes","2238","21.000000","27.793840","DDS demands","Known Flow","268015.839085","843840.131826","","0.000000","","","","","","","-4.199999","","","","","","","","","","","-3.755714","-4.199999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400010475","Nodes","-1462562","21.000000","27.834334","Default Known Flow Node","Known Flow","268061.214098","843988.256866","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011413","Nodes","-2221","21.000000","38.497972","Default Known Flow Node","Known Flow","268608.950941","843985.853703","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001982","Nodes","1982","21.000000","38.540777","Default Known Flow Node","Known Flow","268623.464251","843953.631857","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011591","Nodes","-326874","21.000000","22.555449","Default Known Flow Node","Known Flow","263953.685980","844471.908998","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400003091","Nodes","P00088928, Leachkin Road, -564.09 - CP1","26.000000","22.644007","CSEP DDS Matched","Known Flow","263952.866126","844476.469078","","0.000000","","","","","0.000000","","","-117.992993","","","","","","","","","","-105.511435","-117.992993","","","","","","","","CC PROFILE","","","DC PROFILE","","","","","","","","","",""
"60600400011755","Nodes","-678","21.000000","21.039269","Default Known Flow Node","Known Flow","265825.088489","844382.506974","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400000501","Nodes","501","21.000000","21.083115","DDS demands","Known Flow","265824.088489","844381.131973","","0.000000","","","","","","","-19.429999","","","","","","","","","","","-17.374650","-19.429999","","","","","","","","","","D1 PROFILE","","","","","","","","","","",""
"60600400011756","Nodes","-680","21.000000","21.147845","Default Known Flow Node","Known Flow","265817.588487","844384.381974","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400010929","Nodes","-1463479","21.000000","20.646869","Default Known Flow Node","Known Flow","265825.213489","844162.006914","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400001491","Nodes","1491","21.000000","20.771326","DDS demands","Known Flow","265886.213506","844300.881951","","0.000000","","","-2.279999","","","","-7.489999","","","","","","","","","","","-8.736507","-9.769999","","","","","","C3 PROFILE","","","","D1 PROFILE","","","","","","","","","","",""
"60600400010555","Nodes","-1462715","21.000000","20.771326","Default Known Flow Node","Known Flow","265937.963520","844284.506947","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011750","Nodes","-669","21.000000","20.873618","Default Known Flow Node","Known Flow","265910.163512","844358.606967","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400000503","Nodes","503","21.000000","20.875966","DDS demands","Known Flow","265910.463512","844359.506967","","0.000000","","","-4.539999","","","","-13.800000","","","","","","","","","","","-16.399955","-18.340000","","","","","","C3 PROFILE","","","","D1 PROFILE","","","","","","","","","","",""
"60600400011754","Nodes","-676","21.000000","21.034792","Default Known Flow Node","Known Flow","265825.463489","844379.756973","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011748","Nodes","-667","21.000000","20.851751","Default Known Flow Node","Known Flow","265906.588511","844350.381965","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
"60600400011751","Nodes","-672","21.000000","20.873470","Default Known Flow Node","Known Flow","265890.838507","844360.131968","","0.000000","","","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","","","","",""
