"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C2)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)"
"60603900000038","Nodes","38,","21.000000","24.927054","DDS demands","Known Flow","332596.856658","860038.886234","","0.000000","","-8.310000","","","-7.430950","-8.310000","","","","D1 PROFILE","",""
"60603900000039","Nodes","39,","21.000000","24.877685","DDS demands","Known Flow","332605.606661","860086.761247","","0.000000","","-5.500000","","","-4.918198","-5.500000","","","","D1 PROFILE","",""
"60603900000087","Nodes","87,","21.000000","33.213408","Default Known Flow Node","Known Flow","332802.856714","859940.886207","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000088","Nodes","88,","21.000000","33.213408","Default Known Flow Node","Known Flow","332797.981713","859939.386207","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000089","Nodes","89,","21.000000","26.504721","DDS demands","Known Flow","332404.231606","860144.136263","","0.000000","","-6.809999","","","-6.089623","-6.809999","","","","D1 PROFILE","",""
"60603900000090","Nodes","90,","21.000000","26.461038","Default Known Flow Node","Known Flow","332386.481601","860184.386274","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000049","Nodes","49,","21.000000","30.021810","Default Known Flow Node","Known Flow","332876.606734","860059.136239","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000048","Nodes","48,","21.000000","32.076568","Default Known Flow Node","Known Flow","332847.981727","859952.136210","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603910000045","Nodes","10000045,","21.000000","30.264900","Default Known Flow Node","Known Flow","332867.981732","860050.011237","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000013","Nodes","13,","21.000000","25.871221","DDS demands","Known Flow","332937.606751","860046.511236","","0.000000","","-6.530000","","","-5.839243","-6.530000","","","","D1 PROFILE","",""
"60603900000011","Nodes","11,","21.000000","26.462709","DDS demands","Known Flow","332876.981735","860061.011240","","0.000000","","-4.090000","","","-3.657351","-4.090000","","","","D1 PROFILE","",""
"60603900000036","Nodes","36,","21.000000","26.664917","DDS demands","Known Flow","332491.481630","860101.511251","","0.000000","","-5.090000","","","-4.551569","-5.090000","","","","D1 PROFILE","",""
"60603900000035","Nodes","35,","21.000000","26.754465","DDS demands","Known Flow","332500.231632","860154.136265","","0.000000","","-14.569999","","","-13.028754","-14.569999","","","","D1 PROFILE","",""
"60603900000014","Nodes","14,","21.000000","25.822997","DDS demands","Known Flow","332921.231747","859972.386216","","0.000000","","-4.650000","","","-4.158113","-4.650000","","","","D1 PROFILE","",""
"60603901462502","Nodes","1462502,","21.000000","30.264900","Default Known Flow Node","Known Flow","332860.231730","860051.886237","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000012","Nodes","12,","21.000000","26.462709","Default Known Flow Node","Known Flow","332879.981735","860072.886243","","0.000000","","","","","0.000000","0.000000","","","","","",""
"60603900000091","Nodes","91,","21.000000","24.699703","DDS demands","Known Flow","332381.231600","860078.886245","","0.000000","","-6.350000","","","-5.678283","-6.350000","","","","D1 PROFILE","",""
"60603901462477","Nodes","1462477,","21.000000","24.699703","Default Known Flow Node","Known Flow","332392.481603","860097.886250","","0.000000","","","","","0.000000","0.000000","","","","","",""
