"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60210700000059","Nodes","","21.000000","72.217315","Default Known Flow Node","Known Flow","344966.033024","719423.622971","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000045","Nodes","","21.000000","74.818302","Default Known Flow Node","Known Flow","344980.755028","719614.902023","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000063","Nodes","","21.000000","74.296252","DDS demands","Known Flow","344928.365014","719568.249011","","0.000000","","","","","-1.019999","","-0.912102","-1.019999","","","","","","","D1 PROFILE",""
"60210700000064","Nodes","","21.000000","49.651003","Default Known Flow Node","Known Flow","345028.633041","720180.375177","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000066","Nodes","","21.000000","49.802467","Default Known Flow Node","Known Flow","345087.507057","720090.719153","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000067","Nodes","","21.000000","49.765628","Default Known Flow Node","Known Flow","345090.633058","720125.612162","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000068","Nodes","","21.000000","41.014191","Default Known Flow Node","Known Flow","344960.707023","720138.405166","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000069","Nodes","","21.000000","41.124714","Default Known Flow Node","Known Flow","344975.381027","720144.330167","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000071","Nodes","-67085","21.000000","72.696255","DDS demands","Known Flow","344910.133713","719680.039147","","0.000000","","","","","-3.119999","","-2.789959","-3.119999","","","","","","","D1 PROFILE",""
"60210700000070","Nodes","","21.000000","43.892535","Default Known Flow Node","Known Flow","345046.649046","720074.960148","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000072","Nodes","-67089","21.000000","41.010283","Default Known Flow Node","Known Flow","344958.056666","720137.955327","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000073","Nodes","-67097","21.000000","66.594891","Default Known Flow Node","Known Flow","345396.200348","718932.528361","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000034","Nodes","","21.000000","66.594891","Default Known Flow Node","Known Flow","345400.178142","718931.555837","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700000074","Nodes","-67098","21.000000","66.761781","Default Known Flow Node","Known Flow","345467.531113","718846.145163","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60210700100047","Nodes","","21.000000","42.426375","Default Known Flow Node","Known Flow","345039.736044","719989.080125","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
