"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60205100003904","Nodes","-54329","21.000000","27.169707","Default Known Flow Node","Known Flow","314676.434078","693420.697064","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003807","Nodes","-54108","21.000000","33.003777","DDS demands","Known Flow","313801.475926","694465.421800","","0.000000","","","","","-2.430000","","","","","-2.172949","-2.430000","","","","","","","D1 PROFILE","","","",""
"60205100003808","Nodes","-54109","21.000000","32.975629","Default Known Flow Node","Known Flow","313802.870824","694462.152956","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100000267","Nodes","267","21.000000","34.286795","DDS demands","Known Flow","313990.711595","694527.841197","","0.000000","","","","","-7.150000","","","","","-6.393657","-7.150000","","","","","","","D1 PROFILE","","","",""
"60205100003656","Nodes","-108980","21.000000","34.289725","Default Known Flow Node","Known Flow","313991.362596","694526.068196","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003744","Nodes","-54001","21.000000","33.423336","DDS demands","Known Flow","313623.528495","693992.301051","","0.000000","","","","","-2.009999","","","","","-1.797377","-2.009999","","","","","","","D1 PROFILE","","","",""
"60205100000089","Nodes","89","21.000000","33.385721","DDS demands","Known Flow","313637.723499","693978.495047","","0.000000","","","","","-13.170000","","","","","-11.776849","-13.170000","","","","","","","D1 PROFILE","","","",""
"60205100003745","Nodes","-54003","21.000000","33.318049","DDS demands","Known Flow","313676.821510","693978.336047","","0.000000","","","","","-6.040000","","","","","-5.401076","-6.040000","","","","","","","D1 PROFILE","","","",""
"60205100003747","Nodes","-54006","21.000000","32.684071","Default Known Flow Node","Known Flow","313786.281540","693979.466048","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60205100003746","Nodes","-54005","21.000000","32.684071","DDS demands","Known Flow","313783.073539","693989.779050","","0.000000","","","","","-4.630000","","","","","-4.140228","-4.630000","","","","","","","D1 PROFILE","","","",""
"60205100000091","Nodes","91","21.000000","32.721154","DDS demands","Known Flow","313754.070531","693969.088045","","0.000000","","","","","-1.299999","","","","-6.619999","-7.082205","-7.919999","","","","","","","D1 PROFILE","","","","I2 PROFILE"
"60205100000261","Nodes","261","21.000000","24.827840","DDS demands","Known Flow","313454.846450","694249.731121","","0.000000","","","","","-30.669999","","","","","-27.425662","-30.669999","","","","","","","D1 PROFILE","","","",""
"60205100000260","Nodes","260","21.000000","24.756797","DDS demands","Known Flow","313471.715454","694386.205158","","0.000000","","","","","-32.410000","","","","","-28.981602","-32.410000","","","","","","","D1 PROFILE","","","",""
"60205100003753","Nodes","-54039","21.000000","23.788739","Default Known Flow Node","Known Flow","313385.223431","694115.474085","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
