"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-CC)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-CC)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60201200001438","Nodes","1438","21.000000","29.175492","DDS demands","Known Flow","325479.375000","701129.000000","","0.000000","","","","","","","-13.449999","","","","","","","-12.027230","-13.449999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200001439","Nodes","1439","21.000000","28.980888","DDS demands","Known Flow","325487.625000","701158.750000","","0.000000","","","","","","","-1.720000","","","","","","","-1.538054","-1.720000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000159","Nodes","159","21.000000","30.092176","DDS demands","Known Flow","325364.250000","701070.750000","","0.000000","","","","","","","-3.130000","","","","","","","-2.798902","-3.130000","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000152","Nodes","152","21.000000","28.983192","DDS demands","Known Flow","325495.750000","701010.875000","","0.000000","","","","","","","-10.169999","","","","","","","-9.094195","-10.169999","","","","","","","","","D1 PROFILE","","","","","",""
"60201200000154","Nodes","154","21.000000","35.159546","DDS demands","Known Flow","325264.125000","701052.625000","","0.000000","","-3.739999","","","","","","","","","","","","-3.344374","-3.739999","","","","C2 PROFILE","","","","","","","","","","",""
"602012-296442","Nodes","-296442","21.000000","33.909652","Default Known Flow Node","Known Flow","325267.125000","701071.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000158","Nodes","158","21.000000","33.909596","DDS demands","Known Flow","325264.625000","701072.875000","","0.000000","","-8.390000","","","","","","","","","","","","-7.502488","-8.390000","","","","C2 PROFILE","","","","","","","","","","",""
"602012-296444","Nodes","-296444","21.000000","28.593140","Default Known Flow Node","Known Flow","325311.000000","701371.375000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200000652","Nodes","652","21.000000","28.585395","DDS demands","Known Flow","325309.375000","701373.250000","","0.000000","","","","","","","-7.329999","","","","","","","-6.554617","-7.329999","","","","","","","","","D1 PROFILE","","","","","",""
"602012-296443","Nodes","-296443","21.000000","28.593140","Default Known Flow Node","Known Flow","325301.125000","701369.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-296445","Nodes","-296445","21.000000","28.607005","Default Known Flow Node","Known Flow","325313.375000","701367.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-296447","Nodes","-296447","21.000000","28.474257","Default Known Flow Node","Known Flow","325331.000000","701379.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"602012-296446","Nodes","-296446","21.000000","31.214392","DDS demands","Known Flow","325320.500000","701048.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60201200001844","Nodes","1844","21.000000","27.746581","DDS demands","Known Flow","325331.500000","701072.625000","","0.000000","","-190.500000","","","","","","","","","","","","-170.348511","-190.500000","","","","C2 PROFILE","","","","","","","","","","",""
"602012-296453","Nodes","-296453","21.000000","28.597993","Default Known Flow Node","Known Flow","325381.000000","701410.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
