"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60603700000368","Nodes","368","21.000000","32.791065","DDS demands","Known Flow","389254.497076","803272.370787","","0.000000","","","","","","-14.579999","","","","","","","-13.037696","-14.579999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001351","Nodes","-1351","21.000000","32.914083","Default Known Flow Node","Known Flow","389252.622075","803275.870788","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000369","Nodes","369","21.000000","32.778212","DDS demands","Known Flow","389214.372065","803242.370779","","0.000000","","","","","","-6.999999","","","","","","","-6.259525","-6.999999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603701462665","Nodes","-1462665","21.000000","32.778212","Default Known Flow Node","Known Flow","389221.122066","803232.495776","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603701462699","Nodes","-1462699","21.000000","32.778212","Default Known Flow Node","Known Flow","389210.372064","803247.245780","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700001372","Nodes","1372","21.000000","22.799087","DDS demands","Known Flow","389378.247109","803350.745809","","0.000000","","","","","","-10.880000","","","","","","","-9.729090","-10.880000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000367","Nodes","367","21.000000","33.072956","DDS demands","Known Flow","389287.122083","803251.995779","","0.000000","","","","","","-1.019999","","","","","","","-0.912102","-1.019999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603701462700","Nodes","-1462700","21.000000","33.072956","Default Known Flow Node","Known Flow","389284.997084","803253.370782","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000044","Nodes","44","21.000000","33.136858","DDS demands","Known Flow","389306.622090","803234.620777","","0.000000","","","","","","-4.010000","","","","","","","-3.585814","-4.010000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000045","Nodes","","21.000000","29.213602","DDS demands","Known Flow","389385.622111","803112.995744","","0.000000","","","","","","-7.659999","","","","","","","-6.849708","-7.659999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000187","Nodes","187","21.000000","34.444815","DDS demands","Known Flow","389153.247048","803187.495764","","0.000000","","","","","","-11.390000","","","","","","","-10.185142","-11.390000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000046","Nodes","46","21.000000","34.368299","DDS demands","Known Flow","389204.872062","803158.745756","","0.000000","","","","","","-12.090000","","","","","","","-10.811094","-12.090000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000188","Nodes","188","21.000000","34.293192","DDS demands","Known Flow","389144.872046","803237.120778","","0.000000","","","","","","-8.590000","","","","","","","-7.681332","-8.590000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000048","Nodes","48","21.000000","38.034837","DDS demands","Known Flow","389073.747026","803027.245721","","0.000000","","","","","","-15.449999","","","","","","","-13.815665","-15.449999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000349","Nodes","349","21.000000","38.945873","Default Known Flow Node","Known Flow","389021.372012","803053.120728","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000228","Nodes","228","21.000000","37.627284","DDS demands","Known Flow","389101.997034","803003.245714","","0.000000","","","","","","-14.290000","","","","","","","-12.778373","-14.290000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700000229","Nodes","229","21.000000","37.146618","DDS demands","Known Flow","389142.247045","802927.620693","","0.000000","","","","","","-6.610000","","","","","","","-5.910780","-6.610000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001287","Nodes","-1287","21.000000","37.456448","Default Known Flow Node","Known Flow","389159.747050","803047.495726","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603701462657","Nodes","1462657","21.000000","36.211113","DDS demands","Known Flow","389144.474090","803080.907023","","0.000000","","","","","","-20.560000","","","","","","","-18.385120","-20.560000","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001278","Nodes","-1278","21.000000","39.154348","Default Known Flow Node","Known Flow","389054.122021","803018.245718","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603700000348","Nodes","348","21.000000","39.178492","DDS demands","Known Flow","389052.625651","803016.749348","","0.000000","","","","","","-10.079999","","","","","","","-9.013715","-10.079999","","","","","","","","","D1 PROFILE","","","","","","",""
"60603700001371","Nodes","-1371","21.000000","29.030433","Default Known Flow Node","Known Flow","389127.372041","803343.370807","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"60603701462516","Nodes","-1462516","21.000000","29.030433","Default Known Flow Node","Known Flow","389141.622045","803325.620802","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
