"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60205200000149","Nodes","149","21.000000","49.352840","DDS demands","Known Flow","294371.766826","757435.270862","","0.000000","","","","","","-10.229999","","","","","","","-9.147848","-10.229999","","","","","","","","D1 PROFILE","","","","","",""
"60205200001010","Nodes","","21.000000","36.076984","DDS demands","Known Flow","294024.189162","758311.637553","","0.000000","-17.719999","","","","","","","","","","","","-15.845541","-17.719999","","","C1 PROFILE","","","","","","","","","","",""
"60205200000080","Nodes","80","21.000000","36.154245","DDS demands","Known Flow","294094.992629","758355.917398","","0.000000","","","","","","-12.930000","","","","","","","-11.562238","-12.930000","","","","","","","","D1 PROFILE","","","","","",""
"60205200000197","Nodes","197","21.000000","33.731439","DDS demands","Known Flow","294229.370564","758509.398228","","0.000000","","","-12.109999","","","-6.769999","","","","","","","-16.882833","-18.879998","","","","","C3 PROFILE","","","D1 PROFILE","","","","","",""
"60205200002517","Nodes","-316817","21.000000","31.544803","Default Known Flow Node","Known Flow","294530.770300","758202.284523","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60205200000207","Nodes","207","21.000000","31.227351","DDS demands","Known Flow","294535.033301","758288.640547","","0.000000","","","","","","-11.539999","","","","","","","-10.319274","-11.539999","","","","","","","","D1 PROFILE","","","","","",""
"60205200000206","Nodes","206","21.000000","30.789367","DDS demands","Known Flow","294636.268329","758341.387561","","0.000000","","","","","","-5.229999","","","","","","","-4.676759","-5.229999","","","","","","","","D1 PROFILE","","","","","",""
"60205200000109","Nodes","109","21.000000","33.581406","DDS demands","Known Flow","293659.725800","758290.496742","","0.000000","","","-6.000000","","","-1.339999","","","","","","","-6.563559","-7.340000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","",""
"60205200000221","Nodes","221","21.000000","32.888910","DDS demands","Known Flow","293573.317720","758306.770550","","0.000000","","","-14.310000","","","-4.719999","","","","","","","-17.016967","-19.030000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","",""
"60205200001005","Nodes","","21.000000","31.151418","DDS demands","Known Flow","294546.071816","757854.831150","","0.000000","","","","","","-4.340000","","","","","","","-3.880905","-4.340000","","","","","","","","D1 PROFILE","","","","","",""
"60205200000198","Nodes","","21.000000","48.690780","DDS demands","Known Flow","293787.448098","757785.374410","","0.000000","","","","","","-10.229999","","","","","","","-9.147848","-10.229999","","","","","","","","D1 PROFILE","","","","","",""
