"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60203200000036","Nodes","36","21.000000","25.678740","DDS demands","Known Flow","301875.973299","714476.471625","","0.000000","","","","-9.359999","","","-8.369879","-9.359999","","","","","","D1 PROFILE","",""
"60203200000035","Nodes","35","21.000000","28.374737","DDS demands","Known Flow","301937.098315","714442.596616","","0.000000","","","-4.320000","-4.199999","","","-7.618736","-8.519999","","","","","C4 PROFILE","D1 PROFILE","",""
"60203200358147","Nodes","358147","21.000000","23.234174","Default Known Flow Node","Known Flow","301979.848327","714182.846545","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000151","Nodes","151","21.000000","23.509802","Default Known Flow Node","Known Flow","302008.726413","714049.648021","","0.000000","","","","","","0.000000","0.000000","0.000000","","","","","","","","I2 PROFILE"
"60203200001003","Nodes","1003","21.000000","23.509214","DDS demands","Known Flow","302008.681622","714048.974282","","0.000000","","","","","","-29.290001","-26.191643","-29.290001","","","","","","","","I2 PROFILE"
"60203200000085","Nodes","85","21.000000","23.458853","DDS demands","Known Flow","301890.473303","714417.971609","","0.000000","-0.829999","","-3.890000","-10.699999","","","-13.788840","-15.419998","","","C1 PROFILE","","C4 PROFILE","D1 PROFILE","",""
"60203210000086","Nodes","10000086","21.000000","23.064725","Default Known Flow Node","Known Flow","301916.245929","714326.752322","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200358159","Nodes","358159","21.000000","23.001507","Default Known Flow Node","Known Flow","301929.098313","714308.971579","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200358185","Nodes","358185","21.000000","24.792532","Default Known Flow Node","Known Flow","301859.598294","714473.221624","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200358182","Nodes","358182","21.000000","24.467537","DDS demands","Known Flow","301832.098287","714457.346620","","0.000000","","","","-6.860000","","","-6.134335","-6.860000","","","","","","D1 PROFILE","",""
"60203200000082","Nodes","82","21.000000","25.249065","DDS demands","Known Flow","301884.848301","714489.721629","","0.000000","","","","-1.919999","","","-1.716898","-1.919999","","","","","","D1 PROFILE","",""
"60203200000083","Nodes","83","21.000000","24.985030","DDS demands","Known Flow","301849.348292","714476.096625","","0.000000","","","","-3.270000","","","-2.924092","-3.270000","","","","","","D1 PROFILE","",""
"60203200000044","Nodes","44","21.000000","24.836190","DDS demands","Known Flow","301861.791583","714469.562629","","0.000000","","","","-5.339999","","","-4.775123","-5.339999","","","","","","D1 PROFILE","",""
"60203200358179","Nodes","358179","21.000000","29.061541","Default Known Flow Node","Known Flow","301964.723323","714430.346613","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000043","Nodes","43","21.000000","23.421768","DDS demands","Known Flow","301713.848255","714420.471610","","0.000000","","","","-11.499999","","","-10.283505","-11.499999","","","","","","D1 PROFILE","",""
"60203200358180","Nodes","358180","21.000000","23.245413","Default Known Flow Node","Known Flow","301665.973242","714430.971613","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000081","Nodes","81","21.000000","21.491841","DDS demands","Known Flow","301851.848292","714347.096590","","0.000000","","","","-8.649999","","","-7.734984","-8.649999","","","","","","D1 PROFILE","",""
"60203200000086","Nodes","86","21.000000","21.747014","DDS demands","Known Flow","301921.348311","714329.596585","","0.000000","","","","-6.119999","","","-5.472613","-6.119999","","","","","","D1 PROFILE","",""
"60203200358158","Nodes","358158","21.000000","21.559310","DDS demands","Known Flow","301916.348310","714280.221572","","0.000000","","","","-3.250000","","","-2.906208","-3.250000","","","","","","D1 PROFILE","",""
"60203200000098","Nodes","98","21.000000","21.683707","Default Known Flow Node","Known Flow","301961.848322","714279.721572","","0.000000","","","","0.000000","","","0.000000","0.000000","","","","","","D1 PROFILE","",""
"60203200613640","Nodes","613640","21.000000","21.559310","Default Known Flow Node","Known Flow","301916.723310","714276.596571","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000032","Nodes","32","21.000000","29.593185","DDS demands","Known Flow","301977.609233","714423.366745","","0.000000","","","","-5.300000","","","-4.739355","-5.300000","","","","","","D1 PROFILE","",""
"60203200000087","Nodes","87","21.000000","21.614576","DDS demands","Known Flow","302034.723342","714236.096560","","0.000000","","","","-2.039999","","","-1.824204","-2.039999","","","","","","D1 PROFILE","",""
"60203200000033","Nodes","33","21.000000","33.292964","DDS demands","Known Flow","302012.598336","714463.346622","","0.000000","","","","-8.899999","","","-7.958538","-8.899999","","","","","","D1 PROFILE","",""
"60203200000115","Nodes","115","21.000000","29.161499","DDS demands","Known Flow","302131.223368","714361.846594","","0.000000","","","","-2.829999","","","-2.530636","-2.829999","","","","","","D1 PROFILE","",""
"60203200358162","Nodes","358162","21.000000","29.010044","Default Known Flow Node","Known Flow","302100.598360","714333.346586","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000095","Nodes","95","21.000000","24.178970","DDS demands","Known Flow","302285.473410","714122.221529","","0.000000","","","","-13.369999","","","-11.955693","-13.369999","","","","","","D1 PROFILE","",""
"60203200000096","Nodes","96","21.000000","21.299240","DDS demands","Known Flow","302329.473422","714001.721496","","0.000000","","","","-13.159999","","","-11.767906","-13.159999","","","","","","D1 PROFILE","",""
"60203200000049","Nodes","49","21.000000","24.661050","DDS demands","Known Flow","302246.223400","714165.471540","","0.000000","","","","-15.909999","","","-14.227006","-15.909999","","","","","","D1 PROFILE","",""
"60203200000048","Nodes","48","21.000000","25.381571","DDS demands","Known Flow","302208.473389","714206.596552","","0.000000","","","","-6.469999","","","-5.785589","-6.469999","","","","","","D1 PROFILE","",""
"60203200000101","Nodes","101","21.000000","24.980324","DDS demands","Known Flow","302168.223378","714168.096541","","0.000000","","","","-3.390000","","","-3.031398","-3.390000","","","","","","D1 PROFILE","",""
"60203200000102","Nodes","102","21.000000","24.935934","DDS demands","Known Flow","302146.473372","714219.221555","","0.000000","","","","-0.249999","","","-0.223554","-0.249999","","","","","","D1 PROFILE","",""
"60203200000029","Nodes","29","21.000000","29.378510","DDS demands","Known Flow","302043.473344","714390.846602","","0.000000","","","","-2.460000","","","-2.199776","-2.460000","","","","","","D1 PROFILE","",""
"60203200358167","Nodes","358167","21.000000","29.381880","DDS demands","Known Flow","302050.461410","714391.747310","","0.000000","","","","-2.650000","","","-2.369677","-2.650000","","","","","","D1 PROFILE","",""
"60203200000028","Nodes","28","21.000000","30.748138","DDS demands","Known Flow","302120.598365","714421.846610","","0.000000","","","","-8.720000","","","-7.797580","-8.720000","","","","","","D1 PROFILE","",""
"60203200000034","Nodes","34","21.000000","33.690218","DDS demands","Known Flow","302056.098348","714493.096630","","0.000000","","","","-10.800000","","","-9.657553","-10.800000","","","","","","D1 PROFILE","",""
"60203200000030","Nodes","30","21.000000","29.449536","DDS demands","Known Flow","302009.723335","714405.971606","","0.000000","","","","-6.540000","","","-5.848185","-6.540000","","","","","","D1 PROFILE","",""
"60203200000031","Nodes","31","21.000000","29.430624","DDS demands","Known Flow","301985.598329","714358.221593","","0.000000","","","","-2.250000","","","-2.011990","-2.250000","","","","","","D1 PROFILE","",""
"60203200613991","Nodes","613991","21.000000","21.868329","DDS demands","Known Flow","302355.048190","714046.273487","","0.000000","","","","-10.020000","","","-8.960063","-10.020000","","","","","","D1 PROFILE","",""
"60203200000052","Nodes","52","21.000000","28.889530","Default Known Flow Node","Known Flow","302112.598363","714320.471583","","0.000000","","","","0.000000","","","0.000000","0.000000","","","","","","D1 PROFILE","",""
"60203200358190","Nodes","358190","21.000000","23.832350","DDS demands","Known Flow","301828.473286","714500.971632","","0.000000","","","","-2.039999","","","-1.824204","-2.039999","","","","","","D1 PROFILE","",""
"60203200000090","Nodes","90","21.000000","23.036481","DDS demands","Known Flow","301951.223319","714679.846680","","0.000000","","","","-11.390000","","","-10.185142","-11.390000","","","","","","D1 PROFILE","",""
"60203200000103","Nodes","103","21.000000","23.326103","DDS demands","Known Flow","301923.973312","714645.596671","","0.000000","","","","-7.050000","","","-6.304236","-7.050000","","","","","","D1 PROFILE","",""
"60203200000104","Nodes","104","21.000000","21.823111","DDS demands","Known Flow","301882.598301","714664.721676","","0.000000","","","","-4.010000","","","-3.585814","-4.010000","","","","","","D1 PROFILE","",""
"60203200000089","Nodes","89","21.000000","24.139043","DDS demands","Known Flow","301923.348312","714607.721661","","0.000000","","","","-4.770000","","","-4.265419","-4.770000","","","","","","D1 PROFILE","",""
"60203200000084","Nodes","84,","21.000000","22.604043","Default Known Flow Node","Known Flow","301809.598281","714532.596640","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000114","Nodes","114","21.000000","23.830016","DDS demands","Known Flow","301867.598297","714524.346638","","0.000000","","","","-0.850000","","","-0.760085","-0.850000","","","","","","D1 PROFILE","",""
"60203200000106","Nodes","106","21.000000","38.274558","DDS demands","Known Flow","302200.098387","714512.971635","","0.000000","","","","-5.859999","","","-5.240117","-5.859999","","","","","","D1 PROFILE","",""
"60203200000105","Nodes","105","21.000000","38.337607","DDS demands","Known Flow","302187.223384","714599.096658","","0.000000","","","","-9.390000","","","-8.396706","-9.390000","","","","","","D1 PROFILE","",""
"60203200000108","Nodes","Dunning District DG, Tel, Two-Stage Clock, Site ID 1531","21.000000","40.000000","Default Known Pressure Node","Known Pressure","302169.098379","714765.346704","","999998.967025","","","","","","","378.540331","423.319988","","","","","","","",""
"60203200358208","Nodes","358208","21.000000","39.814074","Default Known Flow Node","Known Flow","302167.035942","714765.612825","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000022","Nodes","22","21.000000","37.724456","DDS demands","Known Flow","302081.723355","714704.846687","","0.000000","","","","-4.990000","","","-4.462147","-4.990000","","","","","","D1 PROFILE","",""
"60203200000093","Nodes","93","21.000000","37.373184","DDS demands","Known Flow","302064.098350","714742.471697","","0.000000","","","","-5.489999","","","-4.909256","-5.489999","","","","","","D1 PROFILE","",""
"60203200613999","Nodes","613999","21.000000","37.251416","Default Known Flow Node","Known Flow","302081.223355","714790.346710","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000112","Nodes","112","21.000000","37.251416","DDS demands","Known Flow","302095.098358","714780.596708","","0.000000","","","","-7.719999","","","-6.903361","-7.719999","","","","","","D1 PROFILE","",""
"60203200000113","Nodes","113","21.000000","37.925949","DDS demands","Known Flow","302140.723371","714819.471718","","0.000000","","","","-6.079999","","","-5.436844","-6.079999","","","","","","D1 PROFILE","",""
"60203200358219","Nodes","358219","21.000000","38.041844","Default Known Flow Node","Known Flow","302154.348375","714863.221730","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000107","Nodes","107","21.000000","38.321867","DDS demands","Known Flow","302085.848356","714654.221673","","0.000000","","","","-5.650000","","","-5.052331","-5.650000","","","","","","D1 PROFILE","",""
"60203200000021","Nodes","21","21.000000","37.948844","DDS demands","Known Flow","302062.098349","714604.346660","","0.000000","","","","-6.760000","","","-6.044912","-6.760000","","","","","","D1 PROFILE","",""
"60203200000109","Nodes","109","21.000000","38.455487","DDS demands","Known Flow","302184.598383","714850.221727","","0.000000","","","","-4.230000","","","-3.782541","-4.230000","","","","","","D1 PROFILE","",""
"60203200000094","Nodes","94","21.000000","36.781505","DDS demands","Known Flow","301980.848327","714667.221677","","0.000000","","","","-10.390000","","","-9.290924","-10.390000","","","","","","D1 PROFILE","",""
"60203200000023","Nodes","23","21.000000","37.074844","DDS demands","Known Flow","302030.737437","714520.096338","","0.000000","","","","-9.909999","","","-8.861699","-9.909999","","","","","","D1 PROFILE","",""
"60203200000092","Nodes","92","21.000000","35.385179","DDS demands","Known Flow","301933.848315","714632.596668","","0.000000","","","","-4.269999","","","-3.818310","-4.269999","","","","","","D1 PROFILE","",""
"60203200614000","Nodes","614000","21.000000","37.251416","Default Known Flow Node","Known Flow","302116.473364","714765.096704","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000110","Nodes","110","21.000000","37.673431","DDS demands","Known Flow","302097.223359","714876.971734","","0.000000","","","","-8.399999","","","-7.511430","-8.399999","","","","","","D1 PROFILE","",""
"60203200000111","Nodes","111","21.000000","39.662237","Default Known Flow Node","Known Flow","302165.720512","714767.131041","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000099","Nodes","99","21.000000","22.170846","Default Known Flow Node","Known Flow","301962.598322","714218.721555","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000097","Nodes","97","21.000000","21.566019","DDS demands","Known Flow","301880.973300","714244.846562","","0.000000","","","","-3.280000","","","-2.933034","-3.280000","","","","","","D1 PROFILE","",""
"60203200613642","Nodes","613642","21.000000","21.566019","Default Known Flow Node","Known Flow","301895.598304","714236.096560","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200358155","Nodes","358155","21.000000","21.578380","DDS demands","Known Flow","301874.598298","714259.846566","","0.000000","","","","-2.200000","","","-1.967279","-2.200000","","","","","","D1 PROFILE","",""
"60203200613641","Nodes","613641","21.000000","21.574676","DDS demands","Known Flow","301865.348296","714267.721568","","0.000000","","","","-1.890000","","","-1.690071","-1.890000","","","","","","D1 PROFILE","",""
"60203201601128","Nodes","1601128","21.000000","22.170846","Default Known Flow Node","Known Flow","301969.348324","714207.971552","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000100","Nodes","100","21.000000","22.126533","Default Known Flow Node","Known Flow","301990.598330","714126.971530","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000152","Nodes","Auchterarder Road RRI,","21.000000","40.000000","Default Known Pressure Node","Known Pressure","301622.848230","714396.346603","","999998.967025","","","","","","","21.631131","24.190001","","","","","","","",""
"60203201601131","Nodes","1601131","21.000000","39.926755","Default Known Flow Node","Known Flow","301622.265281","714399.377938","","0.000000","","","","","0.000000","","0.000000","0.000000","","","","","","","DM PROFILE",""
"60203200000154","Nodes","154","21.000000","39.211439","DDS demands","Known Flow","301650.473237","714398.971604","","0.000000","","","","-1.519999","","","-1.359211","-1.519999","","","","","","D1 PROFILE","",""
"60203200000155","Nodes","155","21.000000","38.023038","DDS demands","Known Flow","301684.473247","714348.721590","","0.000000","","","","-11.470000","","","-10.256680","-11.470000","","","","","","D1 PROFILE","",""
"60203200000153","Nodes","153","21.000000","39.254368","Default Known Flow Node","Known Flow","301677.348245","714410.596607","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200000157","Nodes","157","21.000000","37.590364","DDS demands","Known Flow","301752.348265","714290.346574","","0.000000","","","","-9.119999","","","-8.155266","-9.119999","","","","","","D1 PROFILE","",""
"60203200000156","Nodes","156","21.000000","38.013409","DDS demands","Known Flow","301710.598254","714355.596592","","0.000000","","","","-2.079999","","","-1.859973","-2.079999","","","","","","D1 PROFILE","",""
"60203200358153","Nodes","358153","21.000000","26.293494","DDS demands","Known Flow","302185.098383","714236.221560","","0.000000","","","","-2.089999","","","-1.868915","-2.089999","","","","","","D1 PROFILE","",""
"60203200358156","Nodes","358156","21.000000","27.417956","DDS demands","Known Flow","302155.348375","714272.346570","","0.000000","","","","-1.940000","","","-1.734782","-1.940000","","","","","","D1 PROFILE","",""
"60203200000150","Nodes","150","21.000000","22.436842","Default Known Flow Node","Known Flow","302021.723338","714046.221508","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200358197","Nodes","358197","21.000000","37.945872","Default Known Flow Node","Known Flow","302064.814810","714603.269030","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200613996","Nodes","613996","21.000000","39.770085","Default Known Flow Node","Known Flow","302165.973378","714767.721704","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200358209","Nodes","358209","21.000000","39.647931","Default Known Flow Node","Known Flow","302163.979658","714766.923416","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200614001","Nodes","614001","21.000000","39.735881","Default Known Flow Node","Known Flow","302163.915773","714768.632328","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200358207","Nodes","358207","21.000000","39.662237","Default Known Flow Node","Known Flow","302165.417060","714766.332484","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200358194","Nodes","358194","21.000000","36.890873","Default Known Flow Node","Known Flow","302032.483262","714522.218084","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60203200614002","Nodes","614002","21.000000","35.600617","DDS demands","Known Flow","301981.472164","714577.954462","","0.000000","","","","-14.319999","","","-12.805199","-14.319999","","","","","","D1 PROFILE","",""
"60203200358174","Nodes","358174","21.000000","23.016607","DDS demands","Known Flow","301891.848303","714412.971608","","0.000000","","","","-1.779999","","","-1.591707","-1.779999","","","","","","D1 PROFILE","",""
"60203200358193","Nodes","358193","21.000000","36.947647","DDS demands","Known Flow","302033.948693","714520.820787","","0.000000","","","","-1.789999","","","-1.600649","-1.789999","","","","","","D1 PROFILE","",""
"60203200358152","Nodes","358152","21.000000","23.406018","Default Known Flow Node","Known Flow","301955.348320","714220.346555","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
