"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60601600000318","Nodes","318","21.000000","33.171100","Default Known Flow Node","Known Flow","343620.500000","849942.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000317","Nodes","317","21.000000","35.287145","DDS demands","Known Flow","343678.000000","849911.750000","","0.000000","","","","","","-56.189998","","","","","","","","-50.246104","-56.189998","","","","","","","","D1 PROFILE","","","","","","",""
"606016-1462576","Nodes","-1462576","21.000000","36.802094","Default Known Flow Node","Known Flow","342728.687500","850435.937500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000312","Nodes","312","21.000000","36.889961","DDS demands","Known Flow","342753.750000","850424.875000","","0.000000","","","","","","-10.369999","","","","","","","","-9.273039","-10.369999","","","","","","","","D1 PROFILE","","","","","","",""
"606016-99","Nodes","-99","21.000000","37.079565","Default Known Flow Node","Known Flow","342766.750000","850490.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"606016-84","Nodes","-84","21.000000","25.601716","Default Known Flow Node","Known Flow","342388.750000","850421.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000180","Nodes","180","21.000000","26.970751","DDS demands","Known Flow","342431.218750","850505.750000","","0.000000","","","","","","-7.499999","","","","","","","","-6.706634","-7.499999","","","","","","","","D1 PROFILE","","","","","","",""
"606016-103","Nodes","-103 Logger ID 9263","21.000000","27.079269","Val Log Cath","Known Flow","342434.375000","850511.500000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"606016-180","Nodes","-180","21.000000","31.481688","Default Known Flow Node","Known Flow","342381.125000","850823.875000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000053","Nodes","53 logger ID 9628","21.000000","31.496035","Val Log Cath","Known Flow","342399.281250","850857.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000181","Nodes","181","21.000000","31.620463","DDS demands","Known Flow","342461.125000","850970.625000","","0.000000","","","","","","-28.450000","","","","","","","","-25.440499","-28.450000","","","","","","","","D1 PROFILE","","","","","","",""
"60601600000032","Nodes","32","21.000000","37.652632","DDS demands","Known Flow","343346.500000","850562.375000","","0.000000","","","-15.569999","","","-36.630001","","","","-5.639999","","","","-51.721566","-57.840001","","","","","C3 PROFILE","","","D1 PROFILE","","","","I2 PROFILE","","",""
"60601600001000","Nodes","1000 Logger ID 9792","21.000000","37.797865","Val Log Cath","Known Flow","343351.562500","850605.187500","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000031","Nodes","31","21.000000","38.129140","DDS demands","Known Flow","343357.875000","850660.125000","","0.000000","-0.300000","","","-1.729999","","-19.680000","","","","","","","","-19.413470","-21.710000","","","C1 PROFILE","","","C4 PROFILE","","D1 PROFILE","","","","","","",""
"60601600000212","Nodes","212","21.000000","34.956573","DDS demands","Known Flow","343462.125000","850182.625000","","0.000000","","","","","","-8.180000","","","","","","","","-7.314702","-8.180000","","","","","","","","D1 PROFILE","","","","","","",""
"60601600001001","Nodes","1001, logger ID 9159","21.000000","34.912518","Val Log Cath","Known Flow","343483.343750","850180.375000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600001005","Nodes","1005","21.000000","34.912518","Default Known Flow Node","Known Flow","343495.125000","850194.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"606016-42","Nodes","-42","21.000000","28.141846","Default Known Flow Node","Known Flow","343192.625000","850189.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000052","Nodes","52 Logger ID 9174","21.000000","28.018154","Val Log Cath","Known Flow","343190.718750","850171.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"606016-54","Nodes","-54","21.000000","36.396567","Default Known Flow Node","Known Flow","342827.125000","850240.375000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000051","Nodes","51 Logger ID 9321","21.000000","37.296647","Val Log Cath","Known Flow","342840.343750","850311.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000204","Nodes","204","21.000000","37.797672","DDS demands","Known Flow","342843.250000","850359.625000","","0.000000","","","","","","-29.709999","","","","","","","","-26.567213","-29.709999","","","","","","","","D1 PROFILE","","","","","","",""
"60601600000243","Nodes","243","21.000000","73.186489","DDS demands","Known Flow","343719.750000","849810.625000","","0.000000","","","","","","-6.130000","","","","","","","","-5.481555","-6.130000","","","","","","","","D1 PROFILE","","","","","","",""
"60601600000242","Nodes","DEN CRESCENT D.G.","21.000000","74.999996","Default Known Pressure Node","Known Pressure","343735.625000","849799.750000","","999998.967025","","","","","","","","","","","","","","107.502858","120.219999","","","","","","","","","","","","","","",""
"60601600000309","Nodes","309","21.000000","23.177835","DDS demands","Known Flow","342164.000000","850243.625000","","0.000000","","","","","","-3.140000","","","","","","","","-2.807844","-3.140000","","","","","","","","D1 PROFILE","","","","","","",""
"60601600000186","Nodes","186","21.000000","23.487916","Default Known Flow Node","Known Flow","342230.125000","850320.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60601600000187","Nodes","P07115935/1 FIFE ST","22.999998","23.140462","CSEP DDS Matched","Known Flow","342151.859701","850229.161279","","0.000000","","","","","","","-49.599999","","","","","","","-44.353206","-49.599999","","","","","","","","","DC PROFILE","","","","","",""
