"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60202000000505","Nodes","505","21.000000","49.440078","DDS demands","Known Flow","317227.770476","742135.514151","","0.000000","","","","","","-14.489999","","","","","-12.957217","-14.489999","","","","","","","","D1 PROFILE","","","",""
"60202000005120","Nodes","5120","21.000000","49.440078","Default Known Flow Node","Known Flow","317218.672474","742082.454137","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60202000000506","Nodes","506","21.000000","45.018881","DDS demands","Known Flow","317242.154877","742607.943090","","0.000000","","","","","","-3.609999","","","","","-3.228126","-3.609999","","","","","","","","D1 PROFILE","","","",""
"60202000005333","Nodes","5333","21.000000","46.285208","Default Known Flow Node","Known Flow","318518.488394","745553.455594","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60202000000460","Nodes","460","21.000000","39.016562","DDS demands","Known Flow","318231.543749","745168.232977","","0.000000","-24.230000","","","","","","","","","","-21.666900","-24.230000","","","C1 PROFILE","","","","","","","","",""
"60202000000418","Nodes","418","21.000000","38.315448","DDS demands","Known Flow","318008.794689","745371.025032","","0.000000","","","","","","-1.019999","","","","","-0.912102","-1.019999","","","","","","","","D1 PROFILE","","","",""
"60202000000519","Nodes","P00097484 - PJD1168, UPPER MILL STREET, 49.80 (SSE)","24.000000","36.993046","CSEP DDS Matched","Known Flow","317973.006679","745455.165055","","0.000000","","","","-5.760000","","-0.090000","-49.799999","","","","-49.763226","-55.650001","","","","","","C4 PROFILE","","D1 PROFILE","DC PROFILE","","",""
"60202000005279","Nodes","5279","21.000000","36.923125","Default Known Flow Node","Known Flow","317960.858469","745495.849281","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60202000005321","Nodes","5321","21.000000","38.332824","Default Known Flow Node","Known Flow","318418.842412","745385.474840","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60202000005361","Nodes","5361","21.000000","38.332824","Default Known Flow Node","Known Flow","318421.390801","745386.837036","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60202000005324","Nodes","5324","21.000000","36.552884","Default Known Flow Node","Known Flow","318516.227827","745435.980049","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60202000000107","Nodes","107","21.000000","38.294132","DDS demands","Known Flow","318422.605058","745384.600460","","0.000000","","","","","","-18.669999","","","","","-16.695048","-18.669999","","","","","","","","D1 PROFILE","","","",""
"60202000005305","Nodes","5305","21.000000","30.758471","DDS demands","Known Flow","318356.327783","744277.489734","","0.000000","","","","","","-1.019999","","","","","-0.912102","-1.019999","","","","","","","","D1 PROFILE","","","",""
"60202000000607","Nodes","607","21.000000","31.459093","Default Known Flow Node","Known Flow","318312.065758","744344.096305","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
