"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60606400000110","Nodes","110,","21.000000","49.646614","Default Known Flow Node","Known Flow","409863.674544","852057.247018","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000033","Nodes","33,","21.000000","33.042157","DDS demands","Known Flow","409623.535000","852240.030000","","0.000000","","","-1.409999","","","","","-1.260847","-1.409999","","","","","D1 PROFILE","","","",""
"60606400000034","Nodes","34,","21.000000","32.711254","DDS demands","Known Flow","409631.785000","852256.905000","","0.000000","","","-10.069999","","","","","-9.004774","-10.069999","","","","","D1 PROFILE","","","",""
"60606400000035","Nodes","P00088636, Cowie Cres, 34.20","22.999998","31.230598","CSEP DDS Matched","Known Flow","409593.001798","852268.458770","","0.000000","","","","-34.200000","","","","-30.582253","-34.200000","","","","","","DC PROFILE","","",""
"60606400000013","Nodes","13,","21.000000","49.641995","DDS demands","Known Flow","409838.347386","852082.961209","","0.000000","","","-1.370000","","","","","-1.225078","-1.370000","","","","","D1 PROFILE","","","",""
"60606400000019","Nodes","19,","21.000000","42.327918","DDS demands","Known Flow","409590.285000","852177.780000","","0.000000","","","-6.789999","","","","","-6.071739","-6.789999","","","","","D1 PROFILE","","","",""
"60606400000038","Nodes","38,","21.000000","74.661439","Default Known Flow Node","Known Flow","409190.540073","852046.461715","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000039","Nodes","39,","21.000000","74.661423","DDS demands","Known Flow","409193.729332","852046.575617","","0.000000","","","-0.259999","","","","","-0.232496","-0.259999","","","","","D1 PROFILE","","","",""
"60606400000040","Nodes","40,","21.000000","39.319899","Default Known Flow Node","Known Flow","409503.109439","852272.951848","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000095","Nodes","95,","21.000000","39.319899","Default Known Flow Node","Known Flow","409498.396669","852268.264691","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000076","Nodes","76,","21.000000","38.532229","DDS demands","Known Flow","409480.800623","852297.002339","","0.000000","","","-2.039999","","","","","-1.824204","-2.039999","","","","","D1 PROFILE","","","",""
"60606400000042","Nodes","42,","21.000000","72.641014","Default Known Flow Node","Known Flow","409330.981366","852035.071505","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000079","Nodes","79,","21.000000","74.901760","Default Known Flow Node","Known Flow","409193.307593","852071.441441","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000073","Nodes","73,","21.000000","72.943053","Default Known Flow Node","Known Flow","409307.728595","852000.398679","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000049","Nodes","49,","21.000000","37.042571","Default Known Flow Node","Known Flow","409394.793556","852425.060162","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000074","Nodes","74,","21.000000","68.110341","DDS demands","Known Flow","408922.642024","851991.877115","","0.000000","","","-9.060000","","","","","-8.101614","-9.060000","","","","","D1 PROFILE","","","",""
"60606400000077","Nodes","77,","21.000000","41.017479","Default Known Flow Node","Known Flow","409502.873800","852152.070047","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000075","Nodes","75,","21.000000","73.151607","Default Known Flow Node","Known Flow","409288.443368","851971.893470","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000094","Nodes","94,","21.000000","43.550025","Default Known Flow Node","Known Flow","409652.150402","852132.918567","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000082","Nodes","82,","21.000000","49.757705","Default Known Flow Node","Known Flow","409819.192418","851969.655966","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000093","Nodes","93,","21.000000","40.098039","Default Known Flow Node","Known Flow","409700.055017","852173.059265","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000092","Nodes","92,","21.000000","49.714435","Default Known Flow Node","Known Flow","409745.591210","852118.016708","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000083","Nodes","83,","21.000000","49.692042","Default Known Flow Node","Known Flow","409829.007240","851965.667054","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000090","Nodes","90,","21.000000","49.680818","Default Known Flow Node","Known Flow","409705.036402","852056.281455","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"60606400000063","Nodes","63,","21.000000","49.646614","Default Known Flow Node","Known Flow","409870.999017","852060.253968","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
