"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"60600800000732","Nodes","732","21.000000","23.581219","DDS demands","Known Flow","412200.120319","844398.873978","","0.000000","","","","","-35.359999","","","","","","","-31.619544","-35.359999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800000731","Nodes","731","21.000000","23.955714","Default Known Flow Node","Known Flow","412370.480366","844293.729950","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800001019","Nodes","1019","21.000000","25.402347","Default Known Flow Node","Known Flow","412064.935178","844429.487211","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800001018","Nodes","Logger, 33 Glenugie View, 9051","21.000000","24.194804","Default Known Flow Node","Known Flow","412143.592440","844401.887016","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800000689","Nodes","689","21.000000","31.233499","DDS demands","Known Flow","412226.003326","845154.757184","","0.000000","","","","","-9.100000","","","","","","","-8.137383","-9.100000","","","","","","","","D1 PROFILE","","","","","","",""
"60600800001016","Nodes","Logger, 34 South Road,10358","21.000000","31.699340","Val Log Cath","Known Flow","412246.073048","845194.403011","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800000281","Nodes","281","21.000000","34.216784","Default Known Flow Node","Known Flow","412348.378360","845383.507246","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800000108","Nodes","108","21.000000","36.550467","DDS demands","Known Flow","412318.641117","846124.646895","","0.000000","","","","","-4.929999","","","","","","","-4.408494","-4.929999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800001015","Nodes","Logger, 37 Cairntrodlie,10366","21.000000","35.859431","Val Log Cath","Known Flow","412257.559103","846112.789178","","0.000000","","","","","-14.409999","","","","","","","-12.885679","-14.409999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800000104","Nodes","104","21.000000","35.082138","DDS demands","Known Flow","412197.176601","846092.593176","","0.000000","","","","","-8.869999","","","","","","","-7.931712","-8.869999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800000708","Nodes","708","21.000000","26.826387","DDS demands","Known Flow","412372.128366","844601.382033","","0.000000","","","","","-9.469999","","","","","","","-8.468243","-9.469999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800001014","Nodes","Logger, 2 Towerhill Place,10361","21.000000","26.910336","Val Log Cath","Known Flow","412377.468315","844615.187678","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800000707","Nodes","707,","21.000000","28.731335","DDS demands","Known Flow","412375.003367","844801.382088","","0.000000","","-7.070000","","","-29.579999","","","","","","","-32.773085","-36.649998","","","","","C2 PROFILE","","","D1 PROFILE","","","","","","",""
"60600800000248","Nodes","248","21.000000","34.254282","DDS demands","Known Flow","412231.003328","845657.257321","","0.000000","","","","","-34.549999","","","","","","","-30.895227","-34.549999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800001013","Nodes","Logger, 59 Forman Drive,10280","21.000000","34.753045","Val Log Cath","Known Flow","412262.378593","845620.086075","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800000252","Nodes","252","21.000000","35.681210","DDS demands","Known Flow","412353.753361","845569.882297","","0.000000","","","","","-23.409999","","","","","","","-20.933639","-23.409999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800000111","Nodes","111","21.000000","34.142195","DDS demands","Known Flow","412304.753348","846258.507484","","0.000000","","","","","-39.330003","","","","","","","-35.169594","-39.330003","","","","","","","","D1 PROFILE","","","","","","",""
"60600800001012","Nodes","Logger, 21 West Road,10276","21.000000","35.909798","Val Log Cath","Known Flow","412409.401131","846229.296242","","0.000000","","","","","-1.970000","","","","","","","-1.761609","-1.970000","","","","","","","","D1 PROFILE","","","","","","",""
"60600800005272","Nodes","5272","21.000000","27.856279","DDS demands","Known Flow","411176.502041","847723.632883","","0.000000","","","","","-3.229999","","","","","","","-2.888323","-3.229999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800001011","Nodes","Logger, 2 River View,10367","21.000000","27.678021","Val Log Cath","Known Flow","411193.168418","847730.863642","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800005273","Nodes","5273","21.000000","27.278527","DDS demands","Known Flow","411179.753042","847797.257903","","0.000000","","","","","-14.760000","","","","","","","-13.198656","-14.760000","","","","","","","","D1 PROFILE","","","","","","",""
"60600800000377","Nodes","377","21.000000","27.437532","DDS demands","Known Flow","411996.253264","845055.507157","","0.000000","","","","","-6.469999","","","","","","","-5.785589","-6.469999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800001010","Nodes","Logger, 63 Aalesund Place,10360","21.000000","27.501510","Val Log Post","Known Flow","411955.912989","845042.167119","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800005312","Nodes","5312","21.000000","27.510705","DDS demands","Known Flow","411937.628248","845037.507152","","0.000000","","","","","-5.199999","","","","","","","-4.649932","-5.199999","","","","","","","","D1 PROFILE","","","","","","",""
"60600800000208","Nodes","208","21.000000","29.712883","DDS demands","Known Flow","411891.878235","846170.132460","","0.000000","","","","","-23.250000","","","","","","","-20.790566","-23.250000","","","","","","","","D1 PROFILE","","","","","","",""
"60600800001009","Nodes","Logger, 1 Eden Drive,10289","21.000000","31.421059","Val Log Cath","Known Flow","411927.302382","846028.739635","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60600800000677","Nodes","677","21.000000","26.504337","DDS demands","Known Flow","412975.878530","846114.882445","","0.000000","","","-1.929999","","-8.709999","","","","","","","-9.514478","-10.639999","","","","","","C3 PROFILE","","D1 PROFILE","","","","","","",""
