"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60604200000074","Nodes","74","21.000000","32.633312","DDS demands","Known Flow","388637.287908","811954.555150","","0.000000","","-0.289999","","","","","","","","","","","-0.259323","-0.289999","","","","C2 PROFILE","","","","","","","","","",""
"60604200001007","Nodes","1007","21.000000","40.267929","DDS demands","Known Flow","388952.094242","812318.508165","","0.000000","","","","","","-3.769999","","","","","","","-3.371201","-3.769999","","","","","","","","D1 PROFILE","","","","","",""
"60604200000042","Nodes","42","21.000000","40.259316","DDS demands","Known Flow","388954.746994","812323.123250","","0.000000","","","","","","-14.129999","","","","","","","-12.635299","-14.129999","","","","","","","","D1 PROFILE","","","","","",""
"60604210000099","Nodes","99","21.000000","40.855639","Default Known Flow Node","Known Flow","388945.871992","812291.623241","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60604200000068","Nodes","68","21.000000","36.227679","DDS demands","Known Flow","388800.246952","812308.998246","","0.000000","","","","","","-10.379999","","","","","","","-9.281981","-10.379999","","","","","","","","D1 PROFILE","","","","","",""
"60604200000039","Nodes","39","21.000000","40.303991","DDS demands","Known Flow","388961.246996","812314.498248","","0.000000","","","","","","-3.930000","","","","","","","-3.514276","-3.930000","","","","","","","","D1 PROFILE","","","","","",""
"60604200000242","Nodes","242","21.000000","28.018372","DDS demands","Known Flow","388787.871949","813139.373472","","0.000000","","","","","","-8.149999","","","","","","","-7.287875","-8.149999","","","","","","","","D1 PROFILE","","","","","",""
"60604200000243","Nodes","243","21.000000","28.006610","DDS demands","Known Flow","388799.365561","813139.372194","","0.000000","","","","","","-3.890000","","","","","","","-3.478507","-3.890000","","","","","","","","D1 PROFILE","","","","","",""
"60604200000241","Nodes","241","21.000000","28.003287","DDS demands","Known Flow","388803.871953","813138.623472","","0.000000","","","","","","-5.810000","","","","","","","-5.195405","-5.810000","","","","","","","","D1 PROFILE","","","","","",""
"60604200000188","Nodes","188","21.000000","27.452694","DDS demands","Known Flow","388977.622000","813458.123559","","0.000000","","","","","","-13.689999","","","","","","","-12.241842","-13.689999","","","","","","","","D1 PROFILE","","","","","",""
