"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"60204800000096","Nodes","96","21.000000","33.344416","DDS demands","Known Flow","328377.480510","706743.344521","","0.000000","","","-0.889999","","-11.220000","","-10.828979","-12.110000","","","","","C3 PROFILE","","D1 PROFILE",""
"60204800000098","Nodes","98","21.000000","38.530380","DDS demands","Known Flow","328457.605532","706758.969525","","0.000000","","","","","-2.059999","","-1.842088","-2.059999","","","","","","","D1 PROFILE",""
"60204800000030","Nodes","30","21.000000","33.140537","DDS demands","Known Flow","328378.489860","706762.220928","","0.000000","","","","","-18.149999","","-16.230054","-18.149999","","","","","","","D1 PROFILE",""
"60204800000032","Nodes","32","21.000000","32.792201","DDS demands","Known Flow","328461.230533","706783.719532","","0.000000","","","","-1.539999","-4.999999","","-5.848184","-6.539999","","","","","","C4 PROFILE","D1 PROFILE",""
"60204800009456","Nodes","-58","21.000000","33.196522","Default Known Flow Node","Known Flow","328376.230510","706762.094526","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000050","Nodes","","21.000000","34.260311","DDS demands","Known Flow","328420.244392","706882.968843","","0.000000","","","","","-8.159999","","-7.296817","-8.159999","","","","","","","D1 PROFILE",""
"60204800000097","Nodes","97","21.000000","38.505184","DDS demands","Known Flow","328480.951389","706778.003970","","0.000000","","","","","-6.710000","","-6.000202","-6.710000","","","","","","","D1 PROFILE",""
"60204800009426","Nodes","-1462472","21.000000","38.505184","Default Known Flow Node","Known Flow","328478.855538","706780.844531","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"60204800000207","Nodes","207","21.000000","38.274878","DDS demands","Known Flow","328485.194481","706796.539534","","0.000000","","","","","-4.139999","","-3.702062","-4.139999","","","","","","","D1 PROFILE",""
"60204800000099","Nodes","99","21.000000","21.083567","DDS demands","Known Flow","327934.105390","706940.469574","","0.000000","","","","","-11.600000","","-10.372928","-11.600000","","","","","","","D1 PROFILE",""
"60204800009450","Nodes","","21.000000","29.968843","DDS demands","Known Flow","328306.955837","706768.236637","","0.000000","","","-13.910000","","","","-12.438570","-13.910000","","","","","C3 PROFILE","","",""
"60204800000026","Nodes","26","21.000000","25.244964","DDS demands","Known Flow","328121.230440","706702.719510","","0.000000","","","","","-7.280000","","-6.509906","-7.280000","","","","","","","D1 PROFILE",""
