"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60603100000039","Nodes","39","21.000000","26.644815","DDS demands","Known Flow","394735.893567","829974.983053","","0.000000","","","","","-14.600000","","","","","-13.055581","-14.600000","","","","","","","D1 PROFILE","","","",""
"60603100000038","Nodes","38, Logger 9418, 4 Knockothie Cottages","21.000000","66.055268","Val Log Post","Known Flow","395575.956876","831253.497345","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000050","Nodes","50","21.000000","26.482568","DDS demands","Known Flow","394707.465559","829889.772030","","0.000000","","","","","-21.139998","","","","","-18.903766","-21.139998","","","","","","","D1 PROFILE","","","",""
"60603100009323","Nodes","-1462629","21.000000","26.610071","Default Known Flow Node","Known Flow","394700.561557","829971.518052","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100009331","Nodes","-1462683","21.000000","25.379426","Default Known Flow Node","Known Flow","394815.995589","829829.282014","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100009365","Nodes","-4904583","21.000000","27.074519","Default Known Flow Node","Known Flow","394956.643890","829985.292766","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000046","Nodes","46","21.000000","27.341587","DDS demands","Known Flow","395013.503643","829947.366046","","0.000000","","","","","-16.219999","","","","","-14.504213","-16.219999","","","","","","","D1 PROFILE","","","",""
"60603100000160","Nodes","160","21.000000","25.022199","DDS demands","Known Flow","395046.082651","829819.814011","","0.000000","","","","","-10.670000","","","","","-9.541305","-10.670000","","","","","","","D1 PROFILE","","","",""
"60603100000218","Nodes","218","21.000000","24.822549","DDS demands","Known Flow","395019.641644","829778.493000","","0.000000","","","","","-1.070000","","","","","-0.956813","-1.070000","","","","","","","D1 PROFILE","","","",""
"60603100009303","Nodes","-1","21.000000","25.161399","Default Known Flow Node","Known Flow","395008.907993","829704.348088","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60603100000163","Nodes","163","21.000000","24.911930","DDS demands","Known Flow","395025.016646","829786.751002","","0.000000","","","","","-13.359999","","","","","-11.946751","-13.359999","","","","","","","D1 PROFILE","","","",""
"60603100000164","Nodes","164","21.000000","25.252930","DDS demands","Known Flow","395184.356689","829763.946996","","0.000000","","","","","-19.120001","","","","","-17.097448","-19.120001","","","","","","","D1 PROFILE","","","",""
"60603100000161","Nodes","161","21.000000","24.728182","DDS demands","Known Flow","395059.128655","829839.892016","","0.000000","","","","","-16.399999","","","","","-14.665173","-16.399999","","","","","","","D1 PROFILE","","","",""
"60603100000062","Nodes","62","21.000000","24.507577","DDS demands","Known Flow","395114.737670","829902.091033","","0.000000","","","","","-9.039999","","","","","-8.083729","-9.039999","","","","","","","D1 PROFILE","","","",""
"60603100000162","Nodes","162","21.000000","24.841319","DDS demands","Known Flow","395188.777690","829848.412019","","0.000000","","","","","-19.260000","","","","","-17.222636","-19.260000","","","","","","","D1 PROFILE","","","",""
"60603100000063","Nodes","63","21.000000","24.322177","DDS demands","Known Flow","395159.910682","829910.636036","","0.000000","","","","","-10.660000","","","","","-9.532363","-10.660000","","","","","","","D1 PROFILE","","","",""
