"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"60601800000001","Nodes","1,","21.000000","43.913313","DDS demands","Known Flow","369540.961229","795585.428832","","0.000000","","","","","-7.600000","","","","","-6.796056","-7.600000","","","","","","","D1 PROFILE","","","",""
"60601800001005","Nodes","Old Works DG, Clocked, Site ID 1439","21.000000","44.000001","Default Known Pressure Node","Known Pressure","369540.241711","795581.368694","","4797.499989","","","","","","","","","","1057.854113","1182.993670","","","","","","","","","","",""
"60601800009269","Nodes","9269,","21.000000","33.405034","Default Known Flow Node","Known Flow","370192.925889","796619.633977","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60601800000335","Nodes","P00079741, Raemoir Road, 67.7","22.999998","32.217039","CSEP DDS Matched","Known Flow","370049.116850","796823.244032","","0.000000","","","","","","-67.699998","-49.999998","","","-60.538550","-67.699998","","","","","","","","DC PROFILE","DH PROFILE","",""
"60601800001001","Nodes","1001,","21.000000","33.180071","Default Known Flow Node","Known Flow","370197.431438","796600.488579","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60601800000028","Nodes","28,","21.000000","40.837869","DDS demands","Known Flow","369198.866618","795762.243744","","0.000000","","","-2.750000","","-15.959999","","","","","-16.730816","-18.709999","","","","","C3 PROFILE","","D1 PROFILE","","","",""
"60601800001004","Nodes","1004,","21.000000","41.440442","DDS demands","Known Flow","369259.434046","795751.346790","","0.000000","-10.450000","","","","","","","","","-9.344577","-10.450000","","","C1 PROFILE","","","","","","","",""
"60601800000236","Nodes","236,","21.000000","42.096876","DDS demands","Known Flow","369317.741651","795740.993738","","0.000000","","","","","-2.329999","","","","","-2.083527","-2.329999","","","","","","","D1 PROFILE","","","",""
"60601800000285","Nodes","285,","21.000000","49.247314","Default Known Flow Node","Known Flow","367190.991072","796757.244014","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60601800001003","Nodes","P00104314, Garden Wood, 36.92","28.000000","49.288208","CSEP DDS Matched","Known Flow","367310.720793","796674.053364","","0.000000","","","","","","-36.919997","","","","-33.014522","-36.919997","","","","","","","","DC PROFILE","","",""
