"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60200600000365","Nodes","365","21.000000","27.418839","DDS","Known Flow","364633.218750","742017.750000","","0.000000","","","","","-3.130000","","","","","","","","-2.798901","-3.130000","","","","","","","D1 PROFILE","","","","","","",""
"60200600000950","Nodes","950","21.000000","27.304839","DDS","Known Flow","364608.125000","741988.375000","","0.000000","","","","","-3.150000","","","","","","","","-2.816786","-3.150000","","","","","","","D1 PROFILE","","","","","","",""
"60200600000948","Nodes","948","21.000000","27.592447","DDS","Known Flow","364657.906250","742065.937500","","0.000000","","","","","-0.762999","","","","","","","","-0.682288","-0.762999","","","","","","","D1 PROFILE","","","","","","",""
"602006-1660","Nodes","-1660","21.000000","27.910041","Default Known Flow Node","Known Flow","364612.625000","742084.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000047","Nodes","47","21.000000","27.890802","DDS","Known Flow","364608.375000","742075.500000","","0.000000","","","","","-5.617999","","","","","","","","-5.023715","-5.617999","","","","","","","D1 PROFILE","","","","","","",""
"602006-1463097","Nodes","-1463097","21.000000","27.760125","Default Known Flow Node","Known Flow","364560.375000","742021.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000283","Nodes","283","21.000000","40.216814","DDS","Known Flow","364105.750000","741591.500000","","0.000000","","","","","-10.284000","","","","","","","","-9.196136","-10.284000","","","","","","","D1 PROFILE","","","","","","",""
"60200600001036","Nodes","1036","21.000000","40.034763","Default Known Flow Node","Known Flow","364123.375000","741568.875000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000702","Nodes","702","21.000000","40.382747","DDS","Known Flow","364126.250000","741576.375000","","0.000000","","","","","-2.368000","","","","","","","","-2.117507","-2.368000","","","","","","","D1 PROFILE","","","","","","",""
"60200600000287","Nodes","287","21.000000","40.479496","DDS","Known Flow","364188.375000","741593.250000","","0.000000","","","","","-21.350000","","","","","","","","-19.091551","-21.350000","","","","","","","D1 PROFILE","","","","","","",""
"60200600000132","Nodes","132","21.000000","40.485939","DDS","Known Flow","362980.375000","741897.875000","","0.000000","","","","","-13.514000","","","","","","","","-12.084459","-13.514000","","","","","","","D1 PROFILE","","","","","","",""
"60200600001037","Nodes","Logger 9079, Post, Elmbank Crescent","21.000000","40.593853","Val Log Post","Known Flow","362976.812500","741871.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000129","Nodes","129","21.000000","40.792322","DDS","Known Flow","362972.500000","741840.375000","","0.000000","","","","","-3.110000","","","","","","","","-2.781017","-3.110000","","","","","","","D1 PROFILE","","","","","","",""
"602006-1531","Nodes","-1531","21.000000","26.887485","Default Known Flow Node","Known Flow","365449.500000","741655.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001078","Nodes","Logger 9797, Catheter, St Murdoch Crescent","21.000000","26.894407","Val Log Cath","Known Flow","365468.125000","741665.187500","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000414","Nodes","414","21.000000","26.723298","DDS","Known Flow","365548.875000","741559.500000","","0.000000","","","","","-7.485000","","","","","","","","-6.693220","-7.485000","","","","","","","D1 PROFILE","","","","","","",""
"60200600001014","Nodes","1014","21.000000","42.932127","DDS","Known Flow","362346.000000","741357.500000","","0.000000","","","","","-10.253999","","","","","","","","-9.169309","-10.253999","","","","","","","D1 PROFILE","","","","","","",""
"60200600000072","Nodes","72","21.000000","43.233977","DDS","Known Flow","362377.625000","741325.125000","","0.000000","","","","","-5.487999","","","","","","","","-4.907466","-5.487999","","","","","","","D1 PROFILE","","","","","","",""
"60200600001489","Nodes","1489","21.000000","41.846659","Default Known Flow Node","Known Flow","364365.375000","741014.625000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000251","Nodes","251","21.000000","42.215685","DDS","Known Flow","364396.875000","741023.875000","","0.000000","","","","-3.920000","-13.824999","","","","","","","","-15.867894","-17.744999","","","","","","C4 PROFILE","D1 PROFILE","","","","","","",""
"602006-1021","Nodes","-1021","21.000000","44.808946","Default Known Flow Node","Known Flow","363634.625000","741766.000000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000172","Nodes","172","21.000000","44.809320","DDS","Known Flow","363630.875000","741766.375000","","0.000000","","","","","-18.230000","","","","","","","","-16.301589","-18.230000","","","","","","","D1 PROFILE","","","","","","",""
"602006-1187","Nodes","-1187","21.000000","44.085842","Default Known Flow Node","Known Flow","364203.125000","742433.750000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000028","Nodes","28","21.000000","44.187855","DDS","Known Flow","364200.500000","742380.375000","","0.000000","","","","","-18.089001","","","","","","","","-16.175506","-18.089001","","","","","","","D1 PROFILE","","","","","","",""
"602006-1462537","Nodes","-1462537","21.000000","28.376276","Default Known Flow Node","Known Flow","361869.750000","740464.500000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000144","Nodes","144","21.000000","28.376276","DDS","Known Flow","361892.375000","740472.750000","","0.000000","","","","","-14.427000","","","","","","","","-12.900880","-14.427000","","","","","","","D1 PROFILE","","","","","","",""
"60200600000916","Nodes","916","21.000000","38.074186","Default Known Flow Node","Known Flow","363372.375000","740173.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-477","Nodes","-477","21.000000","38.116708","Default Known Flow Node","Known Flow","363377.125000","740174.500000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-2","Nodes","-2","21.000000","27.591925","Default Known Flow Node","Known Flow","363067.000000","740415.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000945","Nodes","945","21.000000","27.455852","DDS","Known Flow","363071.875000","740403.375000","","0.000000","","","","","-2.288000","","","","","","","","-2.045970","-2.288000","","","","","","","D1 PROFILE","","","","","","",""
"602006-1463230","Nodes","-1463230","21.000000","27.751700","Default Known Flow Node","Known Flow","363130.250000","740446.125000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000944","Nodes","944","21.000000","27.751700","DDS","Known Flow","363142.750000","740450.125000","","0.000000","","-6.000000","","","-7.975999","","","","","","","","-12.497587","-13.975999","","","","C2 PROFILE","","","D1 PROFILE","","","","","","",""
"602006-1462812","Nodes","-1462812","21.000000","36.121450","Default Known Flow Node","Known Flow","363381.750000","740393.250000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600001209","Nodes","1209","21.000000","36.121450","Default Known Flow Node","Known Flow","363383.625000","740392.500000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000530","Nodes","530","21.000000","30.857414","DDS","Known Flow","363217.375000","740471.875000","","0.000000","","","","","-5.629000","","","","","","","","-5.033552","-5.629000","","","","","","","D1 PROFILE","","","","","","",""
"60200600000531","Nodes","531","21.000000","30.871610","DDS","Known Flow","363207.125000","740494.875000","","0.000000","","","","","-7.022999","","","","","","","","-6.280091","-7.022999","","","","","","","D1 PROFILE","","","","","","",""
"602006-1463196","Nodes","-1463196","21.000000","30.871610","Default Known Flow Node","Known Flow","363206.000000","740497.375000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000529","Nodes","529","21.000000","35.344211","DDS","Known Flow","363290.375000","740489.500000","","0.000000","","","","","-13.725000","","","","","","","","-12.273139","-13.725000","","","","","","","D1 PROFILE","","","","","","",""
"602006-509","Nodes","-509","21.000000","35.605470","Default Known Flow Node","Known Flow","363294.250000","740482.125000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-478","Nodes","-478","21.000000","38.201760","Default Known Flow Node","Known Flow","363426.875000","740188.000000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"602006-1463006","Nodes","-1463006","21.000000","38.116708","Default Known Flow Node","Known Flow","363378.750000","740165.750000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000536","Nodes","536","21.000000","38.201760","DDS","Known Flow","363456.000000","740196.125000","","0.000000","-9.130000","","","","","","","","","","","","-8.164208","-9.130000","","","C1 PROFILE","","","","","","","","","","",""
"602006-483","Nodes","-483","21.000000","38.347409","Default Known Flow Node","Known Flow","363524.750000","740234.375000","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200600000586","Nodes","586","21.000000","38.347811","DDS","Known Flow","363520.750000","740230.250000","","0.000000","","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","C3 PROFILE","","","","","","","","",""
