"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"60601300000155","Nodes","","21.000000","36.955641","DDS demands","Known Flow","368798.502509","864274.410386","","0.000000","","","","","","-3.749999","","","","","","-3.353317","-3.749999","","","","","","","","D1 PROFILE","","","","",""
"60601300000072","Nodes","72","21.000000","26.575254","DDS demands","Known Flow","369079.344332","864022.734308","","0.000000","-2.619999","","","-1.990000","","","","","","","","-4.122344","-4.609999","","","C1 PROFILE","","","C4 PROFILE","","","","","","",""
"60601300000164","Nodes","","21.000000","31.237784","DDS demands","Known Flow","368647.270468","863950.808298","","0.000000","","","","","","-3.910000","","","","","","-3.496392","-3.910000","","","","","","","","D1 PROFILE","","","","",""
"60601300000070","Nodes","","21.000000","26.766560","DDS demands","Known Flow","369022.511570","864001.323312","","0.000000","-39.999997","","","","","-23.669999","","","","","","-56.934849","-63.669997","","","C1 PROFILE","","","","","D1 PROFILE","","","","",""
"60601300000131","Nodes","131","21.000000","31.952079","DDS demands","Known Flow","368723.626738","864027.601987","","0.000000","","","","","","-0.410000","","","","","","-0.366629","-0.410000","","","","","","","","D1 PROFILE","","","","",""
"60601300000175","Nodes","175","21.000000","31.935724","DDS demands","Known Flow","368715.792814","864031.269370","","0.000000","","","","","","-11.920000","","","","","","-10.659077","-11.920000","","","","","","","","D1 PROFILE","","","","",""
"60601300000214","Nodes","","21.000000","27.648015","DDS demands","Known Flow","368637.532465","863761.428247","","0.000000","","","","","","-3.589999","","","","","","-3.210242","-3.589999","","","","","","","","D1 PROFILE","","","","",""
"60601300010241","Nodes","-326847","21.000000","34.971651","Default Known Flow Node","Known Flow","368805.359830","864143.104844","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"60601300000157","Nodes","157","21.000000","37.293038","DDS demands","Known Flow","368607.333346","864350.674573","","0.000000","","","","","","-14.009999","","","","","","-12.527992","-14.009999","","","","","","","","D1 PROFILE","","","","",""
"60601300000174","Nodes","","21.000000","30.777347","DDS demands","Known Flow","368658.705471","864168.670358","","0.000000","","","","","","-10.750000","","","","","","-9.612842","-10.750000","","","","","","","","D1 PROFILE","","","","",""
