"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60604710000023","Nodes","10000023,","21.000000","55.656668","Default Known Flow Node","Known Flow","378434.615000","815148.490000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60604700000169","Nodes","66,","21.000000","74.355102","Default Known Flow Node","Known Flow","378850.740000","816573.490000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60604710000025","Nodes","10000025,","21.000000","55.656668","Default Known Flow Node","Known Flow","378425.365000","815166.990000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60604700000047","Nodes","47,","21.000000","58.322792","DDS demands","Known Flow","378728.240000","815365.615000","","0.000000","","","","-12.479999","","","","","","","-11.159838","-12.479999","","","","","","D1 PROFILE","","","","","",""
"60604700000049","Nodes","49,","21.000000","58.323401","DDS demands","Known Flow","378758.865000","815319.115000","","0.000000","","","","-3.289999","","","","","","","-2.941976","-3.289999","","","","","","D1 PROFILE","","","","","",""
"60604710000035","Nodes","10000035,","21.000000","59.645334","DDS demands","Known Flow","378755.865000","815381.365000","","0.000000","","","","","","-20.399999","","","","","-18.242045","-20.399999","","","","","","","","","","","",""
"60604701462498","Nodes","1462498,","21.000000","59.387149","Default Known Flow Node","Known Flow","378866.240000","815297.865000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60604700000013","Nodes","13,","21.000000","40.726523","DDS demands","Known Flow","379448.615000","815940.865000","","0.000000","","","","-13.800000","","","","","","","-12.340207","-13.800000","","","","","","D1 PROFILE","","","","","",""
"60604700000016","Nodes","16,","21.000000","40.156469","DDS demands","Known Flow","379320.865000","815940.365000","","0.000000","","","","-7.519999","","","","","","","-6.724518","-7.519999","","","","","","D1 PROFILE","","","","","",""
"60604700000009","Nodes","9,","21.000000","53.496340","DDS demands","Known Flow","379209.615000","815872.740000","","0.000000","","","","-16.070000","","","","","","","-14.370081","-16.070000","","","","","","D1 PROFILE","","","","","",""
"60604701462477","Nodes","1462477,","21.000000","53.496340","Default Known Flow Node","Known Flow","379207.990000","815870.115000","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"60604700000008","Nodes","8,","21.000000","56.743787","DDS demands","Known Flow","379137.490000","815904.740000","","0.000000","","","","-2.559999","","","","","","","-2.289197","-2.559999","","","","","","D1 PROFILE","","","","","",""
"60604700000023","Nodes","23,","21.000000","55.610977","DDS demands","Known Flow","379140.865000","815927.115000","","0.000000","","","","-16.610000","","","","","","","-14.852959","-16.610000","","","","","","D1 PROFILE","","","","","",""
"60604700000024","Nodes","24,","21.000000","55.380721","DDS demands","Known Flow","379011.740000","815883.365000","","0.000000","","-2.289999","","-2.869999","","","","","","","-4.614164","-5.159999","","","","C3 PROFILE","","D1 PROFILE","","","","","",""
"60604700000007","Nodes","7,","21.000000","63.062188","DDS demands","Known Flow","379121.490000","815863.490000","","0.000000","","","","-1.379999","","","","","","","-1.234020","-1.379999","","","","","","D1 PROFILE","","","","","",""
"60604700000050","Nodes","50,","21.000000","64.140151","DDS demands","Known Flow","379092.740000","815788.865000","","0.000000","","","","-2.480000","","","","","","","-2.217660","-2.480000","","","","","","D1 PROFILE","","","","","",""
"60604700000051","Nodes","51,","21.000000","62.810746","DDS demands","Known Flow","379063.365000","815803.615000","","0.000000","","","","-5.119999","","","","","","","-4.578395","-5.119999","","","","","","D1 PROFILE","","","","","",""
"60604700000052","Nodes","52,","21.000000","62.736498","DDS demands","Known Flow","379069.740000","815872.740000","","0.000000","","","","-5.460000","","","","","","","-4.882429","-5.460000","","","","","","D1 PROFILE","","","","","",""
