"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"60601000000293","Nodes","293","21.000000","32.788597","DDS demands","Known Flow","286448.000000","855406.250000","","0.000000","","","","","-9.469999","","","","-8.468243","-9.469999","","","","","","","D1 PROFILE","","",""
"60601000000294","Nodes","294","21.000000","32.874894","Default Known Flow Node","Known Flow","286361.375000","855362.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000001031","Nodes","1031","21.000000","29.437855","Default Known Flow Node","Known Flow","288013.562500","856886.437500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000001032","Nodes","1032","21.000000","29.221854","Default Known Flow Node","Known Flow","288044.000000","857018.937500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000399","Nodes","399","21.000000","29.144257","Default Known Flow Node","Known Flow","287958.343750","856879.937500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000697","Nodes","697","21.000000","31.584642","Default Known Flow Node","Known Flow","288342.625000","856766.125000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000001028","Nodes","1028","21.000000","24.290301","Default Known Flow Node","Known Flow","289012.781250","856006.437500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000001029","Nodes","1029","21.000000","24.203124","Default Known Flow Node","Known Flow","288982.125000","855972.187500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000547","Nodes","547","21.000000","24.302307","DDS demands","Known Flow","289012.250000","856004.750000","","0.000000","","","","","-3.700000","","","","-3.308606","-3.700000","","","","","","","D1 PROFILE","","",""
"60601000000545","Nodes","545","21.000000","24.242746","DDS demands","Known Flow","289014.875000","856013.125000","","0.000000","","","","","-6.119999","","","","-5.472613","-6.119999","","","","","","","D1 PROFILE","","",""
"606010-1462496","Nodes","-1462496","21.000000","24.242746","Default Known Flow Node","Known Flow","289018.750000","856012.750000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000001027","Nodes","1027","21.000000","24.329952","Default Known Flow Node","Known Flow","289021.093750","856062.062500","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"60601000000312","Nodes","312","21.000000","30.817427","DDS demands","Known Flow","288237.000000","856341.375000","","0.000000","-13.409999","","","","-9.819999","","","","-20.772680","-23.229999","","","C1 PROFILE","","","","D1 PROFILE","","",""
"60601000001026","Nodes","1026","21.000000","30.817497","Default Known Flow Node","Known Flow","288238.187500","856343.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-236","Nodes","-236","21.000000","30.817842","Default Known Flow Node","Known Flow","288240.375000","856347.375000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-336","Nodes","-336","21.000000","29.187504","Default Known Flow Node","Known Flow","287958.000000","856864.625000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"606010-340","Nodes","-340","21.000000","28.553833","Default Known Flow Node","Known Flow","287856.250000","856908.500000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
