"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60200800004161","Nodes","-316425","21.000000","37.278577","Default Known Flow Node","Known Flow","344956.750000","750202.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004164","Nodes","-316431","21.000000","33.911811","Default Known Flow Node","Known Flow","344971.750000","750418.125000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000448","Nodes","448","21.000000","37.261316","Default Known Flow Node","Known Flow","344976.125000","750237.875000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000271","Nodes","271","21.000000","34.903567","DDS demands","Known Flow","344637.964334","750096.252758","","0.000000","","","","","","-6.560000","","","","","","","","-5.866069","-6.560000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800004222","Nodes","-317812","21.000000","34.872367","Default Known Flow Node","Known Flow","344655.444205","750053.503765","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004293","Nodes","-317904","21.000000","35.954950","Default Known Flow Node","Known Flow","345287.244424","750000.872783","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000031","Nodes","31","21.000000","34.814591","DDS demands","Known Flow","345171.375000","750491.875000","","0.000000","","","","","","-0.990000","","","","","","","","-0.885275","-0.990000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000585","Nodes","585","21.000000","34.912494","DDS demands","Known Flow","345112.750000","750442.125000","","0.000000","","","","","","-0.600000","","","","","","","","-0.536530","-0.600000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000511","Nodes","511","21.000000","34.913204","DDS demands","Known Flow","345089.875000","750435.250000","","0.000000","","","","","","-1.999999","","","","","","","","-1.788435","-1.999999","","","","","","","","D1 PROFILE","","","","","","",""
"60200800004170","Nodes","-316445","21.000000","35.819440","Default Known Flow Node","Known Flow","345039.750000","750290.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000522","Nodes","522","21.000000","34.054414","DDS demands","Known Flow","345395.000000","750275.125000","","0.000000","","","","","","-6.969999","","","","","","","","-6.232698","-6.969999","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000444","Nodes","444","21.000000","36.149634","DDS demands","Known Flow","345248.000000","750366.625000","","0.000000","-3.790000","","","","","-20.969999","","","","","","","","-22.140835","-24.759998","","","C1 PROFILE","","","","","D1 PROFILE","","","","","","",""
"60200800004185","Nodes","-316493","21.000000","36.149178","Default Known Flow Node","Known Flow","345260.375000","750373.375000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000487","Nodes","487","21.000000","35.511607","Default Known Flow Node","Known Flow","345252.269949","750419.331657","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004175","Nodes","-316472","21.000000","36.007988","Default Known Flow Node","Known Flow","345165.750000","750340.250000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004171","Nodes","-316462","21.000000","35.396320","Default Known Flow Node","Known Flow","345120.875000","750346.625000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000386","Nodes","386","21.000000","36.111493","DDS demands","Known Flow","345122.125000","750306.000000","","0.000000","","","-5.969999","","","-12.390000","","","","","","","","-16.417840","-18.360000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","",""
"60200800000446","Nodes","446","21.000000","36.014761","DDS demands","Known Flow","345169.625000","750328.875000","","0.000000","","","","","","-8.359999","","","","","","","","-7.475661","-8.359999","","","","","","","","D1 PROFILE","","","","","","",""
"60200800004169","Nodes","-316443","21.000000","35.799357","Default Known Flow Node","Known Flow","345037.625000","750291.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000409","Nodes","409","21.000000","37.380421","DDS demands","Known Flow","345090.250000","750183.500000","","0.000000","","","","","","-8.270000","","","","","","","","-7.395182","-8.270000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800004178","Nodes","-316476","21.000000","34.857861","Default Known Flow Node","Known Flow","345178.000000","750480.750000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000588","Nodes","588","21.000000","35.185030","Default Known Flow Node","Known Flow","345209.828841","750391.710307","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000584","Nodes","584","21.000000","34.958574","DDS demands","Known Flow","345098.000000","750411.625000","","0.000000","","","","","","-6.520000","","","","","","","","-5.830300","-6.520000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000806","Nodes","806","21.000000","35.035744","DDS demands","Known Flow","345138.125000","750409.000000","","0.000000","","","","","","-6.329999","","","","","","","","-5.660399","-6.329999","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000704","Nodes","704","21.000000","34.853767","DDS demands","Known Flow","345307.000000","750197.500000","","0.000000","","","","-1.929999","","-26.849999","","","","","","","","-25.735590","-28.779999","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","",""
"60200800000063","Nodes","63","21.000000","35.015443","DDS demands","Known Flow","345333.875000","750080.125000","","0.000000","","","","","","-22.020000","","","","","","","","-19.690679","-22.020000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000637","Nodes","637","21.000000","34.548252","Default Known Flow Node","Known Flow","345396.741474","750111.648536","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800004198","Nodes","-316518","21.000000","34.317814","Default Known Flow Node","Known Flow","345374.375000","750151.000000","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60200800000065","Nodes","65","21.000000","34.509786","DDS demands","Known Flow","345430.121349","750130.672991","","0.000000","","","","","","-4.670000","","","","","","","","-4.175997","-4.670000","","","","","","","","D1 PROFILE","","","","","","",""
"60200800000520","Nodes","","21.000000","34.552949","DDS demands","Known Flow","345486.750000","750156.875000","","0.000000","","","","","","-4.320000","","","","","","","","-3.863021","-4.320000","","","","","","","","D1 PROFILE","","","","","","",""
