"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60207300007781","Nodes","-1116456","21.000000","30.915612","Default Known Flow Node","Known Flow","345906.110280","730984.601117","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300008145","Nodes","-291071","21.000000","30.872527","Default Known Flow Node","Known Flow","345902.610279","730971.101113","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300008239","Nodes","-294095","21.000000","36.116543","Default Known Flow Node","Known Flow","346673.755136","732221.606486","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300001076","Nodes","1076","21.000000","38.540946","DDS demands","Known Flow","346703.359997","732249.354023","","0.000000","","","","","","","-31.199999","","","","","","","-27.899599","-31.199999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300007777","Nodes","Balgillo Road DG, PROFILED, SITE ID 1623","21.000000","39.000000","Default Known Pressure Node","Known Pressure","346701.360496","732259.601464","","17000.000183","","","","","","","","","","","","","","3963.784602","4432.683709","","","","","","","","","","","","","","",""
"60207300001101","Nodes","Logger 10220,131 Hamilton Street","21.000000","28.384824","Val Log Cath","Known Flow","347723.730258","731879.495093","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300001202","Nodes","P11125905, Albert Road CSEP, 11.81 SCMH","22.999998","27.250224","CSEP Unmatched","Known Flow","345450.891490","731297.173474","","0.000000","","","","","","","","-11.819999","","","","","","-10.569655","-11.819999","","","","","","","","","","DC PROFILE","","","","",""
"60207300000371","Nodes","371","21.000000","28.716454","Default Known Flow Node","Known Flow","347769.958266","731909.605717","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300007794","Nodes","-1244","21.000000","27.511798","Default Known Flow Node","Known Flow","347340.860670","732511.976533","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300001201","Nodes","1201","21.000000","27.475303","Default Known Flow Node","Known Flow","347339.587670","732511.654533","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300007907","Nodes","-1586185","21.000000","27.518869","Default Known Flow Node","Known Flow","347321.235665","732488.851526","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000454","Nodes","454","21.000000","28.316328","DDS demands","Known Flow","345051.527934","731377.856563","","0.000000","-16.479999","","","","","","-9.000000","","","","","","","-22.784672","-25.480000","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","",""
"60207300000290","Nodes","290","21.000000","28.877980","DDS demands","Known Flow","347320.360665","732343.976487","","0.000000","","","","","","","-10.130000","","","","","","","-9.058427","-10.130000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300001150","Nodes","Logger 10234, Balgillo Road","21.000000","28.996501","Val Log Post","Known Flow","347362.608496","732360.694344","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000837","Nodes","837","21.000000","29.010866","DDS demands","Known Flow","347410.793978","732372.397402","","0.000000","","","","","","","-20.009999","","","","","","","-17.893300","-20.009999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300000043","Nodes","43","21.000000","28.677734","DDS demands","Known Flow","344983.485029","731543.976269","","0.000000","","","","","","","-14.319999","","","","","","","-12.805199","-14.319999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300001137","Nodes","Logger 9697,12 Elislea Road","21.000000","28.726948","Val Log Cath","Known Flow","345001.247923","731504.108453","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300008593","Nodes","-3903160","21.000000","28.665160","Default Known Flow Node","Known Flow","345027.735041","731449.226244","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300007730","Nodes","P10124542, Brown Street CSEP, 14.77 SCMH","22.999998","26.827409","CSEP Unmatched","Known Flow","346059.460106","730862.675290","","0.000000","","","","","-11.069999","","","-3.700000","","","","","","-13.207598","-14.770000","","","","","","","CC PROFILE","","","DC PROFILE","","","","",""
"60207300001103","Nodes","Logger 9793,32 Seafield Road","21.000000","24.476619","Val Log Cath","Known Flow","346003.770722","731442.229990","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000639","Nodes","639","21.000000","24.335262","DDS demands","Known Flow","346004.110307","731422.351236","","0.000000","","","","","","","-28.569999","","","","","","","-25.547804","-28.569999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300008324","Nodes","-299432","21.000000","27.349950","Default Known Flow Node","Known Flow","347596.360740","731795.851338","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300007733","Nodes","7733","21.000000","28.556268","Default Known Flow Node","Known Flow","346747.557343","731589.530926","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300001069","Nodes","Logger 9636,46 Portree Avenue","21.000000","28.540303","Val Log Post","Known Flow","346741.224317","731586.880305","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000208","Nodes","208","21.000000","28.434817","DDS demands","Known Flow","346703.860497","731616.851289","","0.000000","","","","","","","-1.209999","","","","","","","-1.082003","-1.209999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300001181","Nodes","1181","21.000000","30.752052","DDS demands","Known Flow","345431.485151","731122.476155","","0.000000","","","","","","","-4.230000","","","","","","","-3.782541","-4.230000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300001036","Nodes","Logger 10205, Douglas Terrace","21.000000","30.444233","Val Log Post","Known Flow","345447.602051","731069.882502","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300001034","Nodes","Logger 10232,6 Bridge Street","21.000000","25.333297","Val Log Cath","Known Flow","347984.594770","731510.784377","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300008211","Nodes","-291881","21.000000","25.785930","Default Known Flow Node","Known Flow","346552.610456","731125.601155","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300007783","Nodes","Logger7848,47 Camphill Road","21.000000","25.835011","Low Point","Known Flow","346602.117592","731135.967620","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300007732","Nodes","7732","21.000000","25.754317","DDS demands","Known Flow","346660.300605","731153.298296","","0.000000","0.000000","","","","","","-26.169999","","","","","","","-23.401681","-26.169999","","","C1 PROFILE","","","","","","D1 PROFILE","","","","","",""
"60207300007813","Nodes","-1274315","21.000000","30.476220","Default Known Flow Node","Known Flow","346324.235394","732096.476420","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000119","Nodes","119","21.000000","30.438950","DDS demands","Known Flow","346316.627085","732091.212532","","0.000000","","","","","","","-40.080000","","","","","","","-35.840253","-40.080000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300007862","Nodes","-1449310","21.000000","30.391412","Default Known Flow Node","Known Flow","346305.244910","732083.337654","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300008487","Nodes","-311785","21.000000","31.182990","Default Known Flow Node","Known Flow","344698.359951","731179.851170","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000469","Nodes","469","21.000000","31.049303","DDS demands","Known Flow","344692.798206","731209.605715","","0.000000","","","","","","","-8.369999","","","","","","","-7.484603","-8.369999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300000470","Nodes","470","21.000000","31.184408","DDS demands","Known Flow","344780.859974","731290.601200","","0.000000","","","","","","","-4.790000","","","","","","","-4.283303","-4.790000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300007802","Nodes","-1268596","21.000000","29.605397","Default Known Flow Node","Known Flow","344087.505288","731070.612679","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000499","Nodes","499","21.000000","29.586587","DDS demands","Known Flow","344072.212863","731070.633132","","0.000000","","","","","","","-5.219999","","","","","","","-4.667817","-5.219999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300007800","Nodes","-1268594","21.000000","29.572826","Default Known Flow Node","Known Flow","344057.609777","731071.601141","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300007735","Nodes","Logger 9999,1 Albany Park","21.000000","26.667040","Val Log Cath","Known Flow","344927.546527","731414.852945","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300008374","Nodes","-299914","21.000000","26.731464","Default Known Flow Node","Known Flow","344921.485012","731432.476239","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300001183","Nodes","1183","21.000000","29.543179","Default Known Flow Node","Known Flow","345756.610239","730805.601068","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000179","Nodes","179","21.000000","24.709527","DDS demands","Known Flow","346002.235306","731555.726272","","0.000000","","","","","","","-22.049998","","","","","","","-19.717504","-22.049998","","","","","","","","","D1 PROFILE","","","","","",""
"60207300008218","Nodes","-291890","21.000000","26.104147","Default Known Flow Node","Known Flow","346808.985526","731224.351182","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300001305","Nodes","1305","21.000000","26.260685","DDS demands","Known Flow","346491.996470","730943.890362","","0.000000","","","","","","","-3.430000","","","","","","","-3.067167","-3.430000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300001306","Nodes","1306","21.000000","26.089983","DDS demands","Known Flow","346500.929693","730971.354252","","0.000000","","","","","","","-2.759999","","","","","","","-2.468041","-2.759999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300000569","Nodes","569","21.000000","26.052002","DDS demands","Known Flow","346510.610444","731004.976123","","0.000000","","","","","","","-7.979999","","","","","","","-7.135858","-7.979999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300000704","Nodes","704","21.000000","25.813093","DDS demands","Known Flow","347398.485686","731429.976238","","0.000000","","","","","","","-4.439999","","","","","","","-3.970327","-4.439999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300000703","Nodes","703","21.000000","25.258838","DDS demands","Known Flow","347434.641170","731371.457553","","0.000000","","","","","","","-10.300000","","","","","","","-9.210445","-10.300000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300007847","Nodes","-1386879","21.000000","25.258838","Default Known Flow Node","Known Flow","347444.360699","731355.726218","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000233","Nodes","233","21.000000","28.607137","DDS demands","Known Flow","346767.735514","731597.976284","","0.000000","","","","","","","-10.580000","","","","","","","-9.460826","-10.580000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300000105","Nodes","105","21.000000","29.831431","DDS demands","Known Flow","346182.360355","732209.101450","","0.000000","","","","","","","-21.010000","","","","","","","-18.787518","-21.010000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300007729","Nodes","Logger 9851,47 Rossie Avenue","21.000000","29.648387","Val Log Post","Known Flow","346056.489588","732186.733687","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
"60207300000103","Nodes","103","21.000000","29.569175","DDS demands","Known Flow","346006.735307","732166.476439","","0.000000","","","","","","","-15.699999","","","","","","","-14.039220","-15.699999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300001229","Nodes","1229","21.000000","29.602949","DDS demands","Known Flow","348369.735950","732088.476417","","0.000000","","","","","","","-3.029999","","","","","","","-2.709480","-3.029999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300007759","Nodes","7759","21.000000","27.756679","DDS demands","Known Flow","348464.360976","731986.351390","","0.000000","","","","","","","-6.650000","","-61.199999","","","","","-5.946549","-6.650000","","","","","","","","","D1 PROFILE","","DM PROFILE","","","",""
"60207300001019","Nodes","1019","21.000000","29.538936","DDS demands","Known Flow","345991.985303","730961.851111","","0.000000","","","","","","","-2.300000","","","","","","","-2.056701","-2.300000","","","","","","","","","D1 PROFILE","","","","","",""
"60207300000610","Nodes","610,","21.000000","29.403174","DDS demands","Known Flow","345979.985300","730913.851098","","0.000000","-24.999999","","","","","","","","","","","","","-22.355447","-24.999999","","","C1 PROFILE","","","","","","","","","","","",""
"60207300000615","Nodes","615","21.000000","27.579417","DDS demands","Known Flow","345952.485293","730699.476039","","0.000000","","","","","","","-20.999999","","","","","","","-18.778575","-20.999999","","","","","","","","","D1 PROFILE","","","","","",""
"60207300008154","Nodes","-291081","21.000000","27.579417","Default Known Flow Node","Known Flow","345959.360294","730729.101048","","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","",""
