"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"60200200009805","Nodes","9805","21.000000","42.651166","Default Known Flow Node","Known Flow","311305.942245","683609.011168","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200200001033","Nodes","1033","21.000000","34.267973","DDS demands","Known Flow","311393.668889","683425.306176","","0.000000","","","","","","-4.280000","","","","","","","-3.827252","-4.280000","","","","","","","","D1 PROFILE","","","","","",""
"60200200000941","Nodes","941","21.000000","30.457014","DDS demands","Known Flow","311129.725817","683125.213094","","0.000000","","","","","","-26.559999","","","","","","","-23.750427","-26.559999","","","","","","","","D1 PROFILE","","","","","",""
"60200200008169","Nodes","8169","21.000000","34.265023","DDS demands","Known Flow","311397.291890","683434.991178","","0.000000","","","","","","-1.700000","","","","","","","-1.520170","-1.700000","","","","","","","","D1 PROFILE","","","","","",""
"60200200000939","Nodes","939","21.000000","30.395156","DDS demands","Known Flow","311067.850800","683135.338097","","0.000000","","","","","","-12.210000","","","","","","","-10.918401","-12.210000","","","","","","","","D1 PROFILE","","","","","",""
"60200200000593","Nodes","593","21.000000","40.760288","DDS demands","Known Flow","311358.100879","683645.588236","","0.000000","","","","","","-26.190000","","","","","","","-23.419567","-26.190000","","","","","","","","D1 PROFILE","","","","","",""
"60200200001035","Nodes","1035","21.000000","34.284346","DDS demands","Known Flow","311362.149880","683404.198170","","0.000000","","","","","","-2.130000","","","","","","","-1.904684","-2.130000","","","","","","","","D1 PROFILE","","","","","",""
"60200200000024","Nodes","24","21.000000","38.794697","DDS demands","Known Flow","311158.225825","684396.713440","","0.000000","","","","","","-4.969999","","","","","","","-4.444263","-4.969999","","","","","","","","D1 PROFILE","","","","","",""
"60200200009718","Nodes","9718","21.000000","34.271321","Default Known Flow Node","Known Flow","311182.475831","683892.213303","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200200001017","Nodes","1017","21.000000","34.208579","DDS demands","Known Flow","311367.200076","683432.658906","","0.000000","","","","","","-3.749999","","","","","","","-3.353317","-3.749999","","","","","","","","D1 PROFILE","","","","","",""
"60200200000105","Nodes","105","21.000000","34.487200","DDS demands","Known Flow","311159.475825","683894.088303","","0.000000","","","","","","-11.220000","","","","","","","-10.033124","-11.220000","","","","","","","","D1 PROFILE","","","","","",""
"60200200000589","Nodes","589","21.000000","34.212617","DDS demands","Known Flow","311179.528830","683895.042304","","0.000000","","","","","","-3.880000","","","","","","","-3.469565","-3.880000","","","","","","","","D1 PROFILE","","","","","",""
"60200200009720","Nodes","9720","21.000000","34.212617","Default Known Flow Node","Known Flow","311176.100829","683895.463304","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200200000680","Nodes","680, S10123626, 4-6 Parkgate, -2.77 SCMHS, 342861 & 342529","22.999998","27.808758","Point Loads","Known Flow","311642.600956","683848.338291","","0.000000","","","","","","","","","","-2.769999","","","-2.476983","-2.769999","","","","","","","","","","","","PL-AF PROFILE","",""
"60200200000003","Nodes","3,Hilton Road DG, Tel, Profiled, Site ID 2011","21.000000","45.999998","Default Known Pressure Node","Known Pressure","310609.725675","682973.338053","","1387.699904","","","","","","","","","","","","","701.005634","783.931549","","","","","","","","","","","","","",""
"60200200010047","Nodes","10047","21.000000","31.416832","Default Known Flow Node","Known Flow","311096.725808","682614.087955","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200200000554","Nodes","554","21.000000","31.189212","DDS demands","Known Flow","311123.350815","682536.712934","","0.000000","","","","","","-17.150000","","","","","","","-15.335837","-17.150000","","","","","","","","D1 PROFILE","","","","","",""
"60200200009978","Nodes","9978","21.000000","31.858252","Default Known Flow Node","Known Flow","311779.100994","683160.213104","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200200008168","Nodes","8168","21.000000","34.591649","DDS demands","Known Flow","311400.910891","683392.287167","","0.000000","","","","","","-7.010000","","","","","","","-6.268467","-7.010000","","","","","","","","D1 PROFILE","","","","","",""
"60200200000456","Nodes","456","21.000000","32.114551","DDS demands","Known Flow","311839.851010","683152.463102","","0.000000","","","","","","-16.889998","","","","","","","-15.103339","-16.889998","","","","","","","","D1 PROFILE","","","","","",""
"60200200010091","Nodes","10091","21.000000","26.946018","Default Known Flow Node","Known Flow","312049.851067","684037.088342","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200200008167","Nodes","8167","21.000000","34.696234","DDS demands","Known Flow","311432.662899","683399.384169","","0.000000","","","","","","-5.739999","","","","","","","-5.132810","-5.739999","","","","","","","","D1 PROFILE","","","","","",""
"60200200000054","Nodes","54","21.000000","28.672356","DDS demands","Known Flow","311952.976041","684140.088370","","0.000000","","","","","","-13.159999","","","","","","","-11.767906","-13.159999","","","","","","","","D1 PROFILE","","","","","",""
"60200200000638","Nodes","638","21.000000","40.733218","DDS demands","Known Flow","310505.975647","684208.463389","","0.000000","","","","","","-8.189999","","","","","","","-7.323644","-8.189999","","","","","","","","D1 PROFILE","","","","","",""
"60200200008166","Nodes","8166","21.000000","34.947162","DDS demands","Known Flow","311466.172084","683402.662168","","0.000000","","","","","","-4.909999","","","","","","","-4.390609","-4.909999","","","","","","","","D1 PROFILE","","","","","",""
"60200200000571","Nodes","571","21.000000","40.758245","DDS demands","Known Flow","310559.725662","684229.338395","","0.000000","","","","","","-5.810000","","","","","","","-5.195405","-5.810000","","","","","","","","D1 PROFILE","","","","","",""
"60200200000555","Nodes","555","21.000000","30.910857","DDS demands","Known Flow","311169.850828","682469.462916","","0.000000","","","","","","-5.559999","","","","","","","-4.971851","-5.559999","","","","","","","","D1 PROFILE","","","","","",""
"60200200009880","Nodes","9880","21.000000","30.971502","Default Known Flow Node","Known Flow","311192.850834","682477.587918","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"60200200000292","Nodes","292","21.000000","34.381119","DDS demands","Known Flow","311434.576317","683324.132126","","0.000000","","","","","","-12.329999","","","","","","","-11.025706","-12.329999","","","","","","","","D1 PROFILE","","","","","",""
"60200200009856","Nodes","9856","21.000000","30.795073","Default Known Flow Node","Known Flow","311202.475837","682447.462910","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
