"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"96112500273427","Nodes","273427","21.000000","22.870612","Default Known Flow Node","Known Flow","603706.305429","169977.698462","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500273428","Nodes","273428","21.000000","22.870612","Default Known Flow Node","Known Flow","603711.305430","169990.323466","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500273429","Nodes","273429","21.000000","22.870612","Default Known Flow Node","Known Flow","603722.805433","169984.948464","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317104","Nodes","6317104","21.000000","25.624773","DDS demands","Known Flow","601435.381889","170414.086368","","0.000000","","","-29.349999","","","-26.245294","-29.349999","","","","","D1 PROFILE","",""
"96112500204417","Nodes","204417","21.000000","25.624773","Default Known Flow Node","Known Flow","601423.304808","170368.823569","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317101","Nodes","6317101","21.000000","29.249224","DDS demands","Known Flow","601783.054906","170466.073595","","0.000000","","","-28.730000","","","-25.690879","-28.730000","","","","","D1 PROFILE","",""
"96112500204428","Nodes","204428","21.000000","29.881422","Default Known Flow Node","Known Flow","601802.429911","170370.698569","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317108","Nodes","6317108","21.000000","28.025481","DDS demands","Known Flow","601870.429929","170472.448597","","0.000000","","","-9.209999","","","-8.235746","-9.209999","","","","","D1 PROFILE","",""
"96112500204436","Nodes","204436","21.000000","28.062640","Default Known Flow Node","Known Flow","601880.804932","170421.448583","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500204595","Nodes","204595","21.000000","25.993995","Default Known Flow Node","Known Flow","602779.305177","170251.448537","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500204594","Nodes","204594","21.000000","25.949883","DDS demands","Known Flow","602707.555157","170240.073534","","0.000000","","","-0.239999","","","-0.214612","-0.239999","","","","","D1 PROFILE","",""
"96112500204598","Nodes","204598","21.000000","25.957874","DDS demands","Known Flow","602809.055185","170317.448555","","0.000000","","","-2.069999","","","-1.851031","-2.069999","","","","","D1 PROFILE","",""
"96112500204596","Nodes","204596","21.000000","26.003246","Default Known Flow Node","Known Flow","602780.430177","170315.698554","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500204600","Nodes","204600","21.000000","26.006198","Default Known Flow Node","Known Flow","602825.305189","170399.323577","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500204597","Nodes","204597","21.000000","26.005109","DDS demands","Known Flow","602800.805182","170325.198557","","0.000000","","","-0.990000","","","-0.885275","-0.990000","","","","","D1 PROFILE","",""
"96112500204604","Nodes","204604","21.000000","26.014699","Default Known Flow Node","Known Flow","602871.180202","170465.198595","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500204601","Nodes","204601","21.000000","26.012153","DDS demands","Known Flow","602830.305190","170379.573572","","0.000000","","","-0.479999","","","-0.429224","-0.479999","","","","","D1 PROFILE","",""
"96112500204611","Nodes","204611","21.000000","26.016668","Default Known Flow Node","Known Flow","602899.055209","170471.573597","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500204602","Nodes","204602","21.000000","26.015642","DDS demands","Known Flow","602868.430201","170406.573579","","0.000000","","","-0.349999","","","-0.312976","-0.349999","","","","","D1 PROFILE","",""
"96112500201790","Nodes","201790","21.000000","23.901103","Default Known Flow Node","Known Flow","603486.680369","170442.448589","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317113","Nodes","6317113","21.000000","24.044943","DDS demands","Known Flow","603442.805357","170473.323597","","0.000000","","-3.430000","-5.700000","","","-8.164209","-9.130000","","","","C4 PROFILE","D1 PROFILE","",""
"96112500201807","Nodes","201807","21.000000","23.488878","Default Known Flow Node","Known Flow","603796.805453","170141.323507","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500201805","Nodes","201805","21.000000","23.283178","Default Known Flow Node","Known Flow","603763.430444","170101.073496","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317122","Nodes","6317122","21.000000","23.010211","DDS demands","Known Flow","603580.930395","170041.073480","","0.000000","","","-6.010000","","","-5.374249","-6.010000","","","","","D1 PROFILE","",""
"96112500201791","Nodes","201791","21.000000","22.966421","Default Known Flow Node","Known Flow","603562.805390","170010.323471","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500201793","Nodes","201793","21.000000","23.027596","Default Known Flow Node","Known Flow","603609.930403","170071.323488","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317121","Nodes","6317121","21.000000","23.030825","DDS demands","Known Flow","603615.305404","170065.698486","","0.000000","","","-7.679999","","","-6.867593","-7.679999","","","","","D1 PROFILE","",""
"96112500201795","Nodes","201795","21.000000","22.608498","Default Known Flow Node","Known Flow","603646.555412","170100.448496","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317123","Nodes","6317123","21.000000","22.383767","DDS demands","Known Flow","603680.805422","170139.073506","","0.000000","","","-8.949999","","","-8.003250","-8.949999","","","","","D1 PROFILE","",""
"96112500201798","Nodes","201798","21.000000","22.383767","Default Known Flow Node","Known Flow","603706.680429","170166.448514","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317118","Nodes","6317118","21.000000","23.020064","DDS demands","Known Flow","603715.906859","170040.459313","","0.000000","","","-9.409999","","","-8.414590","-9.409999","","","","","D1 PROFILE","",""
"96112506317119","Nodes","6317119","21.000000","22.870612","DDS demands","Known Flow","603693.930425","170001.448469","","0.000000","","","-7.230000","","","-6.465195","-7.230000","","","","","D1 PROFILE","",""
"96112500201797","Nodes","201797","21.000000","23.020064","Default Known Flow Node","Known Flow","603693.180425","170051.323482","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500201800","Nodes","201800","21.000000","23.036882","Default Known Flow Node","Known Flow","603717.930432","170044.948481","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500201804","Nodes","201804","21.000000","22.993146","Default Known Flow Node","Known Flow","603747.180440","170032.948477","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317117","Nodes","6317117","21.000000","23.133139","DDS demands","Known Flow","603742.930439","170077.198490","","0.000000","","","-9.869999","","","-8.825930","-9.869999","","","","","D1 PROFILE","",""
"96112500201801","Nodes","201801","21.000000","23.176865","Default Known Flow Node","Known Flow","603721.805433","170096.448495","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112500201802","Nodes","201802","21.000000","23.283178","Default Known Flow Node","Known Flow","603735.805437","170113.573499","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96112506317116","Nodes","6317116","21.000000","23.651100","DDS demands","Known Flow","603780.555449","170168.323514","","0.000000","","","-1.860000","","","-1.663245","-1.860000","","","","","D1 PROFILE","",""
