"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"96113600093605","Nodes","-93605","21.000000","28.847094","Default Known Flow Node","Known Flow","557972.375000","137466.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600093603","Nodes","P11126510, (BROADWATER MEWS) 46 FRANT ROAD, -8.68SCMH","22.999998","30.138594","CSEP Unmatched","Known Flow","558230.619018","137813.046319","0.000000","","","","","","","","","","","","-8.680000","","-7.761811","-8.680000","","","","","","","","","","","","","","DC PROFILE","",""
"96113600093598","Nodes","93598","21.000000","26.918872","DDS demands","Known Flow","557877.250000","137465.125000","0.000000","","","","","","-18.139999","","","","","","","","-16.221111","-18.139999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600093601","Nodes","-93601","21.000000","26.918872","Default Known Flow Node","Known Flow","557894.375000","137450.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600093599","Nodes","-93599","21.000000","26.918872","Default Known Flow Node","Known Flow","557881.375000","137482.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600093602","Nodes","-93602","21.000000","28.634525","Default Known Flow Node","Known Flow","557931.750000","137421.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600093604","Nodes","-93604","21.000000","28.668164","Default Known Flow Node","Known Flow","557972.125000","137418.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335013","Nodes","-335013","21.000000","28.878750","Default Known Flow Node","Known Flow","557973.625000","137468.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335014","Nodes","-335014","21.000000","29.545456","DDS demands","Known Flow","558022.375000","137457.250000","0.000000","","","","","","-36.439998","","","","","","","","-32.585298","-36.439998","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600335015","Nodes","-335015","21.000000","29.797767","Default Known Flow Node","Known Flow","558024.750000","137405.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335017","Nodes","-335017","21.000000","29.883522","Default Known Flow Node","Known Flow","558032.000000","137405.250000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335024","Nodes","-335024","21.000000","29.705490","Default Known Flow Node","Known Flow","558072.375000","137408.500000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113606802003","Nodes","ST MARKS ROAD DG","21.000000","30.000000","Default Known Pressure Node","Known Pressure","558079.625000","137379.000000","8534.000223","","","","","","","","","","","","","","88.831606","99.339994","","","","","","","","","","","","","","","",""
"96113600335031","Nodes","-335031","21.000000","28.598751","Default Known Flow Node","Known Flow","558133.500000","137407.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335029","Nodes","335029","21.000000","28.061572","DDS demands","Known Flow","558122.625000","137424.500000","0.000000","","","","","","-20.869999","","","","","","","","-18.662327","-20.869999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600335028","Nodes","-335028","21.000000","28.061572","Default Known Flow Node","Known Flow","558113.750000","137414.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335030","Nodes","-335030","21.000000","28.150602","Default Known Flow Node","Known Flow","558125.625000","137449.250000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335032","Nodes","-335032","21.000000","28.598751","Default Known Flow Node","Known Flow","558136.625000","137393.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335012","Nodes","335012","21.000000","26.075811","DDS demands","Known Flow","557895.000000","137492.500000","0.000000","","","","","","-21.299998","","","","","","","","-19.046840","-21.299998","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600335018","Nodes","335018","21.000000","29.541443","DDS demands","Known Flow","558034.000000","137506.375000","0.000000","","","","","","-2.589999","","","","","","","","-2.316024","-2.589999","","","","","","","","D1 PROFILE","","","","","","","",""
"96113600335019","Nodes","-335019","21.000000","29.541443","Default Known Flow Node","Known Flow","558035.125000","137508.875000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335021","Nodes","-335021","21.000000","29.541443","Default Known Flow Node","Known Flow","558040.875000","137502.750000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335016","Nodes","-335016","21.000000","29.497047","Default Known Flow Node","Known Flow","558030.250000","137531.625000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600335022","Nodes","-335022","21.000000","29.541443","Default Known Flow Node","Known Flow","558048.125000","137510.250000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96113600366985","Nodes","-366985","21.000000","29.585847","Default Known Flow Node","Known Flow","558075.375000","137514.250000","0.000000","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
