"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(PL-AF)"
"96110105803046","Nodes","5803046","21.000000","41.260315","DDS demands","Known Flow","563321.465000","161744.735000","","0.000000","-8.569999","-13.560000","","-19.789041","-22.130000","","","C4 PROFILE","D1 PROFILE",""
"96110105803047","Nodes","5803047","21.000000","41.358185","DDS demands","Known Flow","563274.840000","161596.360000","","0.000000","","-1.700000","","-1.520170","-1.700000","","","","D1 PROFILE",""
"96110105803019","Nodes","5803019","21.000000","57.359738","DDS demands","Known Flow","563903.965000","162165.860000","","0.000000","","-16.860000","","-15.076514","-16.860000","","","","D1 PROFILE",""
"96110105803011","Nodes","5803011","21.000000","59.576486","DDS demands","Known Flow","563987.715000","162108.063125","","0.000000","","-14.380000","","-12.858853","-14.380000","","","","D1 PROFILE",""
"96110105803001","Nodes","WHITE POST LANE DG, Site ID: 4451","21.000000","60.000001","Default Known Pressure Node","Known Pressure","563991.215000","162089.360000","","99999.002583","","","","404.991237","452.900008","","","","",""
"96110105803023","Nodes","5803023","21.000000","54.581524","DDS demands","Known Flow","563860.465000","162389.735000","","0.000000","","-23.760000","","-21.246617","-23.760000","","","","D1 PROFILE",""
"96110105803012","Nodes","5803012","21.000000","55.305277","DDS demands","Known Flow","563881.902500","162329.656875","","0.000000","","-7.629999","","-6.822882","-7.629999","","","","D1 PROFILE",""
"96110105803042","Nodes","5803042","21.000000","50.182316","DDS demands","Known Flow","563420.090000","162474.235000","","0.000000","","-6.880000","","-6.152219","-6.880000","","","","D1 PROFILE",""
"96110105803051","Nodes","5803051","21.000000","50.467802","Default Known Flow Node","Known Flow","563410.215000","162387.735000","","0.000000","","","","0.000000","0.000000","","","","",""
"96110105803044","Nodes","5803044","21.000000","45.153404","Default Known Flow Node","Known Flow","563052.340000","162277.485000","","0.000000","","","","0.000000","0.000000","","","","",""
"96110105803045","Nodes","5803045","21.000000","41.966651","DDS demands","Known Flow","563219.965000","162006.985000","","0.000000","","-23.959999","","-21.425460","-23.959999","","","","D1 PROFILE",""
"96110105803048","Nodes","5803048","21.000000","49.190971","Default Known Flow Node","Known Flow","563380.715000","162007.985000","","0.000000","","","","0.000000","0.000000","","","","",""
"96110105803049","Nodes","5803049","21.000000","49.176559","DDS demands","Known Flow","563370.465000","161886.485000","","0.000000","","-4.139999","","-3.702062","-4.139999","","","","D1 PROFILE",""
"96110105803050","Nodes","5803050","21.000000","49.317456","Default Known Flow Node","Known Flow","563384.215000","162221.985000","","0.000000","","","","0.000000","0.000000","","","","",""
