"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)"
"96105500188883","Nodes","188883","21.000000","22.579934","Default Known Flow Node","Known Flow","604244.625000","141396.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105505002285","Nodes","5002285","21.000000","22.754444","DDS demands","Known Flow","604190.000000","141434.625000","","0.000000","","-50.040002","-0.499999","","-3.469999","","","-48.296711","-54.010003","","","","C2 PROFILE","C3 PROFILE","","D1 PROFILE","",""
"96105500228700","Nodes","228700","21.000000","29.778705","Default Known Flow Node","Known Flow","603659.375000","141869.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500003754","Nodes","3754","21.000000","29.778705","Default Known Flow Node","Known Flow","603658.625000","141859.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500228702","Nodes","228702","21.000000","29.822277","Default Known Flow Node","Known Flow","603688.625000","141830.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500110358","Nodes","110358","21.000000","25.922564","DDS demands","Known Flow","603435.375000","142360.875000","","0.000000","","","","","-2.669999","","","-2.387561","-2.669999","","","","","","","D1 PROFILE","",""
"96105500003752","Nodes","3752","21.000000","25.904406","Default Known Flow Node","Known Flow","603440.625000","142363.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105505002379","Nodes","5002379","21.000000","25.825878","DDS demands","Known Flow","603477.375000","142368.625000","","0.000000","","","","","-7.710000","","","-6.894420","-7.710000","","","","","","","D1 PROFILE","",""
"96105505002362","Nodes","5002362","21.000000","27.784108","DDS demands","Known Flow","603474.375000","142261.375000","","0.000000","","","","","-9.960000","","","-8.906410","-9.960000","","","","","","","D1 PROFILE","",""
"96105505002276","Nodes","5002276","21.000000","26.164792","DDS demands","Known Flow","603440.312500","142344.406250","","0.000000","","","","","-9.439999","","","-8.441416","-9.439999","","","","","","","D1 PROFILE","",""
"96105505002378","Nodes","5002378","21.000000","25.957346","DDS demands","Known Flow","603436.250000","142358.125000","","0.000000","","","","","-8.449999","","","-7.556141","-8.449999","","","","","","","D1 PROFILE","",""
"96105505002322","Nodes","5002322","21.000000","29.798987","DDS demands","Known Flow","604024.187500","141796.203125","","0.000000","","","","","-17.309999","","","-15.478911","-17.309999","","","","","","","D1 PROFILE","",""
"96105500188868","Nodes","188868","21.000000","29.756887","DDS demands","Known Flow","603996.250000","141811.375000","","0.000000","","","","-8.669999","-3.579999","","","-10.954168","-12.249999","","","","","","C4 PROFILE","D1 PROFILE","",""
"96105505002286","Nodes","5002286","21.000000","28.824898","DDS demands","Known Flow","604148.000000","141465.000000","","0.000000","-6.000000","","","","-1.879999","","","-7.046437","-7.880000","","","C1 PROFILE","","","","D1 PROFILE","",""
"96105500188881","Nodes","188881","21.000000","22.710358","Default Known Flow Node","Known Flow","604154.750000","141423.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500188864","Nodes","188864","21.000000","29.378346","Default Known Flow Node","Known Flow","603947.875000","141739.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500188863","Nodes","188863","21.000000","28.572855","DDS demands","Known Flow","603889.250000","141752.375000","","0.000000","","","","","-13.829999","","","-12.367033","-13.829999","","","","","","","D1 PROFILE","",""
"96105505002291","Nodes","5002291","21.000000","29.450611","Default Known Flow Node","Known Flow","603985.625000","141754.250000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500188867","Nodes","188867","21.000000","29.409846","Default Known Flow Node","Known Flow","603991.625000","141750.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105505002321","Nodes","5002321","21.000000","29.746446","DDS demands","Known Flow","603839.375000","141849.750000","","0.000000","","","","","-17.660000","","","-15.791888","-17.660000","","","","","","","D1 PROFILE","",""
"96105505002301","Nodes","5002301","21.000000","29.754744","DDS demands","Known Flow","603998.000000","141810.250000","","0.000000","","","","","-1.479999","","","-1.323442","-1.479999","","","","","","","D1 PROFILE","",""
"96105500228672","Nodes","228672","21.000000","30.008959","Default Known Flow Node","Known Flow","603553.570379","141882.820910","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500228653","Nodes","228653","21.000000","29.931699","DDS demands","Known Flow","603510.500000","141929.500000","","0.000000","","","","","-6.510000","","","-5.821358","-6.510000","","","","","","","D1 PROFILE","",""
"96105500228696","Nodes","228696","21.000000","29.909437","Default Known Flow Node","Known Flow","603656.500000","141880.625000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500228697","Nodes","228697","21.000000","29.908767","Default Known Flow Node","Known Flow","603656.750000","141877.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500228698","Nodes","228698","21.000000","29.778033","Default Known Flow Node","Known Flow","603657.250000","141869.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500228701","Nodes","228701","21.000000","29.778705","Default Known Flow Node","Known Flow","603659.625000","141867.375000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500228703","Nodes","228703","21.000000","29.822277","Default Known Flow Node","Known Flow","603698.250000","141844.875000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500188866","Nodes","188866","21.000000","28.861677","DDS demands","Known Flow","603987.750000","141678.875000","","0.000000","","","","","-10.390000","","","-9.290924","-10.390000","","","","","","","D1 PROFILE","",""
"96105500188870","Nodes","188870","21.000000","28.457211","Default Known Flow Node","Known Flow","604009.750000","141576.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500188871","Nodes","188871","21.000000","28.413538","Default Known Flow Node","Known Flow","604012.245718","141545.207817","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500188878","Nodes","188878","21.000000","28.413538","Default Known Flow Node","Known Flow","604102.218924","141480.502904","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105505002287","Nodes","5002287","21.000000","28.457211","Default Known Flow Node","Known Flow","604023.500000","141591.750000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105502292000","Nodes","2292000","21.000000","28.457211","Default Known Flow Node","Known Flow","604024.250000","141591.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500188876","Nodes","188876","21.000000","30.322673","Default Known Flow Node","Known Flow","604059.750000","141564.000000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500188877","Nodes","188877","21.000000","30.244482","Default Known Flow Node","Known Flow","604064.331533","141595.284456","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105505002323","Nodes","5002323","21.000000","30.217141","Default Known Flow Node","Known Flow","604059.441948","141597.316492","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500110367","Nodes","110367","21.000000","25.738327","Default Known Flow Node","Known Flow","603457.125000","142401.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500110368","Nodes","110368","21.000000","30.196876","Default Known Flow Node","Known Flow","603457.625000","142017.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105505002372","Nodes","5002372","21.000000","30.284125","DDS demands","Known Flow","603491.500000","142025.625000","","0.000000","","","","","-15.829999","","","-14.155468","-15.829999","","","","","","","D1 PROFILE","",""
"96105505002273","Nodes","5002273","21.000000","25.248282","DDS demands","Known Flow","603332.125000","142123.875000","","0.000000","","","","","-12.399999","","","-11.088301","-12.399999","","","","","","","D1 PROFILE","",""
"96105500110329","Nodes","110329","21.000000","25.248282","Default Known Flow Node","Known Flow","603331.750000","142117.125000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96105500110348","Nodes","110348","21.000000","25.738787","DDS demands","Known Flow","603388.652324","142096.314740","","0.000000","","","","","-6.260000","","","-5.597804","-6.260000","","","","","","","D1 PROFILE","",""
"96105505002278","Nodes","P00089811, Old Ambulance Station, Silver Rd, 16.62","24.000000","25.007302","CSEP DDS Matched","Known Flow","603334.500000","142163.000000","","0.000000","","","","","","-16.620000","","-14.861901","-16.620000","","","","","","","","DC PROFILE",""
