"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DH)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(PL-AF)"
"96108400000258","Nodes","258,","21.000000","29.725828","DDS demands","Known Flow","609202.764971","128324.714735","","0.000000","","","-4.159999","","","-3.719946","-4.159999","","","","","D1 PROFILE","",""
"96108405310053","Nodes","5310053,","21.000000","29.730162","DDS demands","Known Flow","609270.014989","128385.839752","","0.000000","","","-14.449999","","","-12.921448","-14.449999","","","","","D1 PROFILE","",""
"96108400000252","Nodes","252,","21.000000","29.750359","DDS demands","Known Flow","609249.639983","128291.714726","","0.000000","","","-3.950000","","","-3.532160","-3.950000","","","","","D1 PROFILE","",""
"96108405310052","Nodes","5310052,","21.000000","29.753207","DDS demands","Known Flow","609290.889995","128278.339723","","0.000000","","","-4.309999","","","-3.854079","-4.309999","","","","","D1 PROFILE","",""
"96108400000234","Nodes","234,","21.000000","29.773561","DDS demands","Known Flow","609296.514996","128161.714691","","0.000000","","","-6.929999","","","-6.196929","-6.929999","","","","","D1 PROFILE","",""
"96108400000235","Nodes","235,","21.000000","29.773847","Default Known Flow Node","Known Flow","609317.265002","128165.464692","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000271","Nodes","271,","21.000000","29.728699","Default Known Flow Node","Known Flow","609291.389995","128445.714768","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000266","Nodes","266,","21.000000","29.719409","DDS demands","Known Flow","609312.765000","128383.339751","","0.000000","","","-3.920000","","","-3.505334","-3.920000","","","","","D1 PROFILE","",""
"96108400000269","Nodes","269,","21.000000","29.723149","Default Known Flow Node","Known Flow","609420.390030","128396.964755","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000264","Nodes","264,","21.000000","29.687585","DDS demands","Known Flow","609316.390001","128364.214746","","0.000000","","","-4.670000","","","-4.175997","-4.670000","","","","","D1 PROFILE","",""
"96108400000268","Nodes","268,","21.000000","29.692861","Default Known Flow Node","Known Flow","609420.640030","128389.839753","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000233","Nodes","233,","21.000000","29.771492","DDS demands","Known Flow","609318.640002","128158.964690","","0.000000","","","-7.369999","","","-6.590385","-7.369999","","","","","D1 PROFILE","",""
"96108400000236","Nodes","236,","21.000000","29.761027","Default Known Flow Node","Known Flow","609420.653576","128200.831053","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310050","Nodes","5310050,","21.000000","29.656261","DDS demands","Known Flow","609408.640027","128294.339727","","0.000000","","","-1.429999","","","-1.278731","-1.429999","","","","","D1 PROFILE","",""
"96108405310051","Nodes","5310051,","21.000000","29.591375","DDS demands","Known Flow","609307.515404","128302.841055","","0.000000","","","-9.350000","","","-8.360937","-9.350000","","","","","D1 PROFILE","",""
"96108405310047","Nodes","5310047,","21.000000","29.871341","DDS demands","Known Flow","609412.390028","128286.839725","","0.000000","","","-18.740000","","","-16.757644","-18.740000","","","","","D1 PROFILE","",""
"96108400000260","Nodes","260,","21.000000","29.737623","Default Known Flow Node","Known Flow","609279.139991","128341.089740","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000272","Nodes","272,","21.000000","29.727037","Default Known Flow Node","Known Flow","609368.265016","128449.964769","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000256","Nodes","256,","21.000000","29.591235","DDS demands","Known Flow","609306.014999","128309.714731","","0.000000","","","-3.710000","","","-3.317548","-3.710000","","","","","D1 PROFILE","",""
"96108405310049","Nodes","5310049,","21.000000","29.780815","DDS demands","Known Flow","609328.265005","128219.089707","","0.000000","","","-4.320000","","","-3.863021","-4.320000","","","","","D1 PROFILE","",""
"96108400000237","Nodes","237,","21.000000","29.760674","DDS demands","Known Flow","609415.015028","128204.714703","","0.000000","","","-6.419999","","","-5.740878","-6.419999","","","","","D1 PROFILE","",""
"96108405310054","Nodes","5310054,","21.000000","29.725925","DDS demands","Known Flow","609369.125966","128442.919668","","0.000000","","","-9.840000","","","-8.799104","-9.840000","","","","","D1 PROFILE","",""
"96108405310048","Nodes","5310048,","21.000000","29.693578","DDS demands","Known Flow","609431.265033","128381.714751","","0.000000","","","-11.890000","","","-10.632251","-11.890000","","","","","D1 PROFILE","",""
"96108405310055","Nodes","5310055,","21.000000","29.736702","DDS demands","Known Flow","609287.139993","128342.089740","","0.000000","","","-1.949999","","","-1.743724","-1.949999","","","","","D1 PROFILE","",""
"96108400000254","Nodes","254,","21.000000","29.871045","Default Known Flow Node","Known Flow","609421.765030","128300.214729","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000259","Nodes","259,","21.000000","29.784511","Default Known Flow Node","Known Flow","609461.890041","128339.089739","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000263","Nodes","263,","21.000000","29.777776","Default Known Flow Node","Known Flow","609463.015041","128345.964741","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310044","Nodes","5310044,","21.000000","23.187717","DDS demands","Known Flow","608779.932596","127498.726867","","0.000000","","","-5.780000","","","-5.168579","-5.780000","","","","","D1 PROFILE","",""
"96108400000107","Nodes","107,","21.000000","23.185368","Default Known Flow Node","Known Flow","608778.605690","127498.158193","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400000110","Nodes","110,","21.000000","23.176641","Default Known Flow Node","Known Flow","608787.388540","127502.202095","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108400002606","Nodes","Logger 2606,","21.000000","23.143545","Default Known Flow Node","Known Flow","608609.710742","127403.787895","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108401462504","Nodes","1462504,","21.000000","26.469767","Default Known Flow Node","Known Flow","609391.286138","128035.799537","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
"96108405310037","Nodes","5310037,","21.000000","26.469767","DDS demands","Known Flow","609389.569705","128036.594957","","0.000000","","","","","","0.000000","0.000000","","","","","","",""
