"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96121909710059","Nodes","9710059","21.000000","62.671612","Default Known Flow Node","Known Flow","582570.705000","124982.900000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710063","Nodes","9710063","21.000000","62.478206","DDS demands","Known Flow","582760.455000","124961.532812","","0.000000","","","","","","-4.839999","","","","-4.328014","-4.839999","","","","","","","","D1 PROFILE","","",""
"96121909710035","Nodes","9710035","21.000000","63.828097","DDS demands","Known Flow","582586.080000","124674.900000","","0.000000","","","","","","-0.529999","","","","-0.473935","-0.529999","","","","","","","","D1 PROFILE","","",""
"96121909710060","Nodes","9710060","21.000000","63.787067","Default Known Flow Node","Known Flow","582579.955000","124659.400000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710061","Nodes","9710061","21.000000","63.787067","Default Known Flow Node","Known Flow","582589.455000","124671.782812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710062","Nodes","9710062","21.000000","63.832663","Default Known Flow Node","Known Flow","582590.705000","124681.400000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710104","Nodes","9710104","21.000000","63.839238","DDS demands","Known Flow","582670.455000","124691.532812","","0.000000","","","","","","-4.829999","","","","-4.319072","-4.829999","","","","","","","","D1 PROFILE","","",""
"96121909710066","Nodes","9710066","21.000000","63.097506","DDS demands","Known Flow","583073.080000","124587.032812","","0.000000","","","-3.160000","","","-13.480000","","","","-14.879786","-16.639999","","","","","C3 PROFILE","","","D1 PROFILE","","",""
"96121909710040","Nodes","9710040","21.000000","61.822504","DDS demands","Known Flow","582369.955000","125045.650000","","0.000000","","","","","","-4.019999","","","","-3.594755","-4.019999","","","","","","","","D1 PROFILE","","",""
"96121909710097","Nodes","9710097","21.000000","61.592679","Default Known Flow Node","Known Flow","582432.330000","125002.532812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710026","Nodes","9710026","21.000000","61.787864","DDS demands","Known Flow","582338.955000","125069.650000","","0.000000","","","","","","0.000000","","","","0.000000","0.000000","","","","","","","","D1 PROFILE","","",""
"96121909710041","Nodes","9710041","21.000000","61.756935","DDS demands","Known Flow","582317.830000","125086.282812","","0.000000","","","","","","-7.320000","","","","-6.545675","-7.320000","","","","","","","","D1 PROFILE","","",""
"96121909710072","Nodes","9710072","21.000000","57.407618","DDS demands","Known Flow","582331.830000","125028.400000","","0.000000","","","","","","-8.029999","","","","-7.180569","-8.029999","","","","","","","","D1 PROFILE","","",""
"96121909710039","Nodes","9710039","21.000000","60.731085","DDS demands","Known Flow","582480.205000","125084.282812","","0.000000","","","","","","-7.369999","","","","-6.590385","-7.369999","","","","","","","","D1 PROFILE","","",""
"96121909710096","Nodes","9710096","21.000000","60.810717","DDS demands","Known Flow","582430.955000","125083.650000","","0.000000","","","","","","-3.640000","","","","-3.254953","-3.640000","","","","","","","","D1 PROFILE","","",""
"96121909710100","Nodes","9710100","21.000000","60.813709","Default Known Flow Node","Known Flow","582494.830000","125155.282812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"96121909710025","Nodes","P07115718, MAIN STREET, 22.34 SCMH","24.000000","62.525512","CSEP DDS Matched","Known Flow","582573.042293","125038.321027","","0.000000","","","","","-11.079999","","-11.260000","","","-19.976828","-22.340001","","","","","","","CC PROFILE","","DC PROFILE","",""
"96121909710070","Nodes","9710070","21.000000","61.682864","Default Known Flow Node","Known Flow","582293.205000","125112.282812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
