"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96121000100009","Nodes","","21.000000","28.738151","Default Known Flow Node","Known Flow","571043.671542","106490.181187","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121000000008","Nodes","","21.000000","28.738151","Default Known Flow Node","Known Flow","571040.546541","106489.181187","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121009702299","Nodes","","21.000000","31.038573","DDS demands","Known Flow","576313.422976","108149.181638","","0.000000","","-17.790001","","","","-38.780000","","","","","","","","","-50.585907","-56.570004","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","","",""
"96121000001011","Nodes","","21.000000","30.950083","Default Known Flow Node","Known Flow","576332.858298","108112.274327","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121009702301","Nodes","P09121466, 26-33 BROOMGROVE ROAD CSEP, -15.88SCMH","24.000000","29.593481","CSEP DDS Matched","Known Flow","582632.629971","110735.361651","","0.000000","","","","","","","-15.880000","","","","","","","","-14.200180","-15.880000","","","","","","","","","DC PROFILE","","","","","","",""
"96121009702432","Nodes","","21.000000","31.275748","Default Known Flow Node","Known Flow","576205.047946","108786.931812","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121000002311","Nodes","","21.000000","34.301189","Default Known Flow Node","Known Flow","576189.047942","108706.306790","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121009702266","Nodes","","21.000000","36.657600","DDS demands","Known Flow","576188.162430","108596.811465","","0.000000","","","","","","-29.639999","","","","","","","","","-26.504619","-29.639999","","","","","","","","D1 PROFILE","","","","","","","",""
"96121000010067","Nodes","","21.000000","37.341338","Default Known Flow Node","Known Flow","576141.236133","108594.299686","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121009702294","Nodes","","21.000000","37.727246","Default Known Flow Node","Known Flow","576118.302433","108600.934228","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121009702293","Nodes","","21.000000","31.577563","DDS demands","Known Flow","576219.297950","108838.056826","","0.000000","","","","","","-19.680000","","","","","","","","","-17.598209","-19.680000","","","","","","","","D1 PROFILE","","","","","","","",""
"96121000001009","Nodes","","21.000000","30.968430","Default Known Flow Node","Known Flow","576339.422983","108099.681625","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121000002339","Nodes","","21.000000","31.554627","Default Known Flow Node","Known Flow","576212.535901","108842.538650","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121009603352","Nodes","","21.000000","29.701600","Default Known Flow Node","Known Flow","578828.988657","110472.742917","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121000002988","Nodes","","21.000000","29.918618","Default Known Flow Node","Known Flow","578804.298654","110498.932278","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121000004340","Nodes","","21.000000","27.235370","DDS demands","Known Flow","579700.310865","112220.001579","","0.000000","","","","","","-7.150000","","","","","","","","","-6.393657","-7.150000","","","","","","","","D1 PROFILE","","","","","","","",""
"96121000004355","Nodes","","21.000000","27.763400","DDS demands","Known Flow","579752.891842","112313.105766","","0.000000","","","","","","-8.479999","","","","","","","","","-7.582967","-8.479999","","","","","","","","D1 PROFILE","","","","","","","",""
"96121009605193","Nodes","","21.000000","36.202627","Default Known Flow Node","Known Flow","582994.689931","110837.188681","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121000006525","Nodes","","21.000000","37.274241","Default Known Flow Node","Known Flow","583081.973677","110881.156411","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121009605155","Nodes","","21.000000","36.067002","DDS demands","Known Flow","582994.424794","110756.557348","","0.000000","","","","","","-25.670000","","","","","","","","","-22.954573","-25.670000","","","","","","","","D1 PROFILE","","","","","","","",""
"96121000006527","Nodes","","21.000000","37.336469","DDS demands","Known Flow","583084.674818","110886.057383","","0.000000","","","","-5.530000","","-16.479999","","","","","","","","","-19.681736","-22.009999","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","","",""
"96121009701007","Nodes","WESTCOURT DRIVE DG, SITE ID 1905","21.000000","39.000000","Default Known Pressure Node","Known Pressure","572764.615509","107269.232242","","7395.000131","","","","","","","","","","","","","","","1161.489668","1298.888912","","","","","","","","","","","","","","","",""
"96121009701330","Nodes","","21.000000","30.641335","DDS demands","Known Flow","572788.228017","107248.445393","","0.000000","","","","","","-0.950000","","","","","","","","","-0.849506","-0.950000","","","","","","","","D1 PROFILE","","","","","","","",""
"96121000000462","Nodes","","21.000000","27.511792","Default Known Flow Node","Known Flow","572827.797027","107137.806363","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"96121009702091","Nodes","","21.000000","24.914879","DDS demands","Known Flow","574411.547458","107183.431376","","0.000000","","","-3.319999","","","-48.119998","","","","","","","","","-45.998568","-51.439997","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","","",""
