"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"96112800000326","Nodes","326","21.000000","22.908320","Default Known Flow Node","Known Flow","568693.295903","129115.312343","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112800000325","Nodes","325","21.000000","22.908320","Default Known Flow Node","Known Flow","568692.795902","129104.687341","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112806905022","Nodes","6905022","21.000000","43.469765","DDS demands","Known Flow","562678.169266","133096.313427","","0.000000","","","-8.920000","","","-4.030000","","","","","-11.580122","-12.950000","","","","","C3 PROFILE","","","D1 PROFILE","","","",""
"96112806401014","Nodes","6401014","21.000000","29.828463","Default Known Flow Node","Known Flow","572675.675237","130898.515151","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112806401015","Nodes","6401015","21.000000","29.826688","DDS demands","Known Flow","572874.383617","130859.686131","","0.000000","","","-1.009999","","","-4.519999","","","","","-4.945025","-5.530000","","","","","C3 PROFILE","","","D1 PROFILE","","","",""
"96112801462609","Nodes","1462609","21.000000","29.782578","Default Known Flow Node","Known Flow","572928.797055","130845.187814","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112806401013","Nodes","6401013","21.000000","30.095030","DDS demands","Known Flow","572473.296931","130915.687833","","0.000000","","","","","","-10.670000","","","","","-9.541305","-10.670000","","","","","","","","D1 PROFILE","","","",""
"96112806401057","Nodes","6401057","21.000000","31.161557","DDS demands","Known Flow","571763.195414","131150.564678","","0.000000","","","","","","-7.539999","","","-6.000000","","-12.107710","-13.540000","","","","","","","","D1 PROFILE","","","I2 PROFILE",""
"96112806401046","Nodes","6401046","21.000000","30.816893","DDS demands","Known Flow","571963.546792","131091.812881","","0.000000","","","-2.460000","","","-5.739999","","","-6.000000","","-12.697893","-14.200000","","","","","C3 PROFILE","","","D1 PROFILE","","","I2 PROFILE",""
"96112806401054","Nodes","6401054","21.000000","29.715846","DDS demands","Known Flow","571110.796560","131230.187919","","0.000000","","","-7.799999","","","-36.490002","","","","","-39.604911","-44.290004","","","","","C3 PROFILE","","","D1 PROFILE","","","",""
