"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)"
"96110805910239","Nodes","","21.000000","36.500351","DDS demands","Known Flow","589683.426534","152254.508206","","0.000000","","","","","-7.230000","","-6.465195","-7.230000","","","","","","","D1 PROFILE",""
"96110800002206","Nodes","","21.000000","36.976682","Default Known Flow Node","Known Flow","589647.941179","152278.023389","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110805910238","Nodes","","21.000000","36.991501","Daily Metered Site","Known Flow","589646.938779","152276.273887","","0.000000","","","","","-14.819999","","-13.252309","-14.819999","","","","","","","D1 PROFILE",""
"96110805910222","Nodes","","21.000000","32.536874","DDS demands","Known Flow","589525.769571","151918.107548","","0.000000","","","","","-12.770000","","-11.419162","-12.770000","","","","","","","D1 PROFILE",""
"96110800002205","Nodes","","21.000000","32.575936","Default Known Flow Node","Known Flow","589523.334979","151914.483013","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110805910343","Nodes","P07112387, Plots 1-12 High Street, ESP-2361, -14.90","22.999998","32.382294","CSEP DDS Matched","Known Flow","589454.884551","151808.839519","","0.000000","","","","","-5.749999","-14.900000","-18.465599","-20.649998","","","","","","","D1 PROFILE","DC PROFILE"
"96110805910420","Nodes","","21.000000","33.646130","Default Known Flow Node","Known Flow","589300.488231","151975.459421","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110805910230","Nodes","","21.000000","33.962139","DDS demands","Known Flow","589261.824752","152013.449220","","0.000000","","","","","-16.330000","","-14.602578","-16.330000","","","","","","","D1 PROFILE",""
"96110805910422","Nodes","","21.000000","35.935709","Default Known Flow Node","Known Flow","589328.909517","152107.768600","","0.000000","","","","","","","0.000000","0.000000","","","","","","","",""
"96110805910228","Nodes","","21.000000","35.866413","DDS demands","Known Flow","589229.916251","152163.648354","","0.000000","","","","","-8.449999","","-7.556141","-8.449999","","","","","","","D1 PROFILE",""
"96110805910421","Nodes","","21.000000","35.813892","DDS demands","Known Flow","589322.938516","152099.045598","","0.000000","","","","","-9.770000","","-8.736509","-9.770000","","","","","","","D1 PROFILE",""
"96110805910226","Nodes","","21.000000","34.136333","DDS demands","Known Flow","589211.762147","152013.215655","","0.000000","","","","","-12.479999","","-11.159838","-12.479999","","","","","","","D1 PROFILE",""
"96110805910221","Nodes","","21.000000","32.300626","DDS demands","Known Flow","589388.081725","151811.393683","","0.000000","","","","","-19.950001","","-17.839648","-19.950001","","","","","","","D1 PROFILE",""
"96110805910224","Nodes","","21.000000","33.082119","DDS demands","Known Flow","589293.584131","151968.921101","","0.000000","","","","","-19.629998","","-17.553497","-19.629998","","","","","","","D1 PROFILE",""
