"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(DH)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(I2)"
"9.61E+13","Nodes","5601923","21","24.331707","Default Known Flow Node","Known Flow","626404.13","166653.8","","0","","","","","","","0","0","","","","","","","",""
"9.61E+13","Nodes","5601929","21","24.098586","DDS demands","Known Flow","626443.255","166600.8","","0","","","","-1.37","","","-1.225078","-1.37","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601927","21","23.442783","DDS demands","Known Flow","626425.38","166549.3","","0","","","","-0.529999","","","-0.473935","-0.529999","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601922","21","23.365448","DDS demands","Known Flow","626398.63","166550.425","","0","","","","-1.76","","","-1.573823","-1.76","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601931","21","24.090661","Default Known Flow Node","Known Flow","626452.88","166586.8","","0","","","-99.99","","","","0","0","","","","","DH PROFILE","","",""
"9.61E+13","Nodes","5601932","21","24.09064","Default Known Flow Node","Known Flow","626453.005","166586.55","","0","","","","","","","0","0","","","","","","","",""
"9.61E+13","Nodes","5601937","21","24.060338","DDS demands","Known Flow","626482.13","166608.55","","0","","","","-3.45","","","-3.085051","-3.45","","","","","","D1 PROFILE","",""
"9.61E+13","Nodes","5601934","21","24.090208","Default Known Flow Node","Known Flow","626456.755","166578.925","","0","","","","","","","0","0","","","","","","","",""
"9.61E+13","Nodes","5601935","21","25.580477","Default Known Flow Node","Known Flow","626471.005","166695.3","","0","","","","","","","0","0","","","","","","","",""
"9.61E+13","Nodes","5601936","21","24.080485","DDS demands","Known Flow","626471.38","166558.675","","0","","","","-2.359999","","","-2.110354","-2.359999","","","","","","D1 PROFILE","",""
