"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)"
"96109000004710","Nodes","A28 ISLAND ROAD 'DG'","21.000000","69.999999","Default Known Pressure Node","Known Pressure","620072.698104","161964.551024","","2757.000090","","","","","","","","","","","","","","","","343.057762","383.639978","","","","","","","","","","","","","","","","",""
"96109000004712","Nodes","4712","21.000000","25.001261","DDS demands","Known Flow","620264.407492","161912.786058","","0.000000","","","","","","","-4.730000","","","","","","","","","-4.229650","-4.730000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96109000004713","Nodes","4713","21.000000","24.915923","Default Known Flow Node","Known Flow","620337.623008","161949.760166","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96109000004714","Nodes","4714","21.000000","36.005839","DDS demands","Known Flow","620325.771684","162090.493727","","0.000000","","","","","","","-6.870000","","","","","","","","","-6.143277","-6.870000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96109000004743","Nodes","4743","21.000000","37.011063","DDS demands","Known Flow","620399.704499","162142.624773","","0.000000","","","","","","","-5.940000","","","","","","","","","-5.311654","-5.940000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96109000004716","Nodes","4716","21.000000","32.278980","DDS demands","Known Flow","620205.878523","162024.187675","","0.000000","","","","","","","-8.350001","","","","","","","","","-7.466720","-8.350001","","","","","","","","","D1 PROFILE","","","","","","","",""
"96109000004718","Nodes","4718","21.000000","34.077420","DDS demands","Known Flow","620293.452952","162062.130302","","0.000000","","","","","","","-10.710000","","","","","","","","","-9.577073","-10.710000","","","","","","","","","D1 PROFILE","","","","","","","",""
"96109000004720","Nodes","4720","21.000000","33.817829","Default Known Flow Node","Known Flow","620288.996837","162055.638142","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96109000004723","Nodes","4723","21.000000","32.090046","Default Known Flow Node","Known Flow","620187.607001","162011.045529","","0.000000","","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96109000004724","Nodes","4724","21.000000","31.647553","DDS demands","Known Flow","620124.842588","161982.082251","","0.000000","","","","","","","-6.969999","","","","","","","","","-6.232698","-6.969999","","","","","","","","","D1 PROFILE","","","","","","","",""
