"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-DC)"
"96109700004000","Nodes","","0.000000","34.857109","DDS demands","Known Flow","586103.925640","132519.563270","","0.000000","","","","","-3.559999","","","","","-3.183415","-3.559999","","","","","","","D1 PROFILE","","","",""
"96109700004001","Nodes","","0.000000","34.968894","DDS demands","Known Flow","586162.800656","132467.688256","","0.000000","","","","","-3.910000","","","","","-3.496392","-3.910000","","","","","","","D1 PROFILE","","","",""
"96109700004002","Nodes","TIN TOWN, ROLVENDEN HILL DG,","0.000000","35.000007","Default Known Pressure Node","Known Pressure","586164.050656","132460.688254","","0.000000","","","","","","","","","","6.679807","7.469999","","","","","","","","","","",""
"96109700004382","Nodes","","0.000000","49.576985","DDS demands","Known Flow","588390.179262","136294.735297","","0.000000","","-4.159999","","","-2.990000","","","","","-6.393657","-7.150000","","","","C2 PROFILE","","","D1 PROFILE","","","",""
"96109700004383","Nodes","","0.000000","49.213245","DDS demands","Known Flow","588460.978281","136000.430217","","0.000000","","","","","-4.210000","","","","","-3.764657","-4.210000","","","","","","","D1 PROFILE","","","",""
"96109700004387","Nodes","","0.000000","49.796541","DDS demands","Known Flow","588578.109313","136826.316442","","0.000000","","","","","-26.540001","","","","","-23.732545","-26.540001","","","","","","","D1 PROFILE","","","",""
"96109700004388","Nodes","LONDON BEACH, BIDDENDEN ROAD, HIGH HALDEN DG,","0.000000","49.999998","Default Known Pressure Node","Known Pressure","588464.065282","136856.526450","","9999.989670","","","","","","","","","","36.555631","40.880002","","","","","","","","","","",""
"96109700004717","Nodes","","0.000000","38.990934","DDS demands","Known Flow","589207.447484","137149.747530","","0.000000","","","","","-3.209999","","","","","-2.870439","-3.209999","","","","","","","D1 PROFILE","","","",""
"96109700004718","Nodes","","0.000000","38.966934","DDS demands","Known Flow","589123.752461","137095.052515","","0.000000","","","","","-11.260000","","","","","-10.068893","-11.260000","","","","","","","D1 PROFILE","","","",""
"96109700004719","Nodes","","0.000000","38.905644","DDS demands","Known Flow","588933.609410","136975.506482","","0.000000","","","","","-2.589999","","","","","-2.316024","-2.589999","","","","","","","D1 PROFILE","","","",""
"96109700004720","Nodes","","0.000000","49.749745","DDS demands","Known Flow","588920.057406","136961.898479","","0.000000","","","","","-2.980000","","","","","-2.664769","-2.980000","","","","","","","D1 PROFILE","","","",""
"96109700004721","Nodes","","0.000000","37.581717","DDS demands","Known Flow","589108.933457","137504.813626","","0.000000","","","","","-3.260000","","","","","-2.915150","-3.260000","","","","","","","D1 PROFILE","","","",""
"96109700004722","Nodes","4722, P11125544, Greenside, -8.03scmh","22.999998","37.289714","CSEP Unmatched","Known Flow","590242.179872","137427.323578","","0.000000","","","","","","","","","-8.029999","-7.180569","-8.029999","","","","","","","","","","","DC PROFILE"
"96109700004723","Nodes","","0.000000","37.622636","DDS demands","Known Flow","589095.295454","137520.810631","","0.000000","","","","","-2.039999","","","","","-1.824204","-2.039999","","","","","","","D1 PROFILE","","","",""
"96109700004824","Nodes","","0.000000","39.099021","DDS demands","Known Flow","589550.901578","137306.950572","","0.000000","","","","","-2.559999","","","","","-2.289197","-2.559999","","","","","","","D1 PROFILE","","","",""
"96109700004825","Nodes","","0.000000","39.039580","DDS demands","Known Flow","589551.743578","137345.675583","","0.000000","","","","","-3.099999","","","","","-2.772075","-3.099999","","","","","","","D1 PROFILE","","","",""
