"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(IH)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(IH)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"96108605501007","Nodes","Group Profile 2, Tesco, Thanet Way DG, Site ID 7304","21.000000","37.000000","Default Known Pressure Node","Known Pressure","611823.098637","165326.190197","1979.999977","","","","","","","","","","","","","","","405.879991","453.893829","","","","","","","","","","","","","","","","",""
"961086-2040841","Nodes","-204084","21.000000","24.016727","Default Known Flow Node","Known Flow","608374.810000","164889.195000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2040851","Nodes","-204085","21.000000","24.060282","Default Known Flow Node","Known Flow","608409.935000","164873.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502290","Nodes","","24.000000","25.516207","Default Known Flow Node","Known Flow","611508.560000","167067.320000","0.000000","","","","","","","-18.740000","","","","","","","","-16.757644","-18.740000","","","","","","","","","DC PROFILE","","","","","","","",""
"9610866-910161","Nodes","-91016","21.000000","25.009537","Default Known Flow Node","Known Flow","611504.136779","167076.758594","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502109","Nodes","5502109","21.000000","24.853660","DDS demands","Known Flow","611501.974104","167084.603591","0.000000","","","","","","-28.770001","","","","","","","","","-25.726649","-28.770001","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605502177","Nodes","5502177","21.000000","30.650976","DDS demands","Known Flow","612746.235239","167152.177330","0.000000","","","-3.119999","","","-37.689998","","","","","","","","","-36.493030","-40.810000","","","","","C3 PROFILE","","","D1 PROFILE","","","","","","","","",""
"961086-2926061","Nodes","-292606","21.000000","30.611031","Default Known Flow Node","Known Flow","612752.185000","167162.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-1976981","Nodes","-197698","21.000000","28.643094","Default Known Flow Node","Known Flow","609959.185000","165083.070000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108606561013","Nodes","P14133356, REGENT STREET CSEP, 27.32 SCMH","24.000000","25.592621","CSEP Unmatched","Known Flow","610738.738975","166640.943696","0.000000","","","","","","","","","","","","","-27.319999","","-24.430033","-27.319999","","","","","","","","","","","","","","","DC PROFILE","",""
"96108605501409","Nodes","5501409","21.000000","36.384374","DDS demands","Known Flow","609057.310000","164664.820000","0.000000","","","","","","-5.539999","","","","","","","","","-4.953967","-5.539999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501324","Nodes","5501324","21.000000","37.404618","DDS demands","Known Flow","609180.622500","164658.257500","0.000000","","","","","","-8.279999","","","","","","","","","-7.404124","-8.279999","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-3353735","Nodes","-3353735","21.000000","37.463410","Default Known Flow Node","Known Flow","609187.185000","164658.820000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501096","Nodes","5501096","21.000000","32.596330","DDS demands","Known Flow","610689.560000","165890.695000","0.000000","","","","","","-17.069999","","","","","","","","","-15.264299","-17.069999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108605501151","Nodes","5501151","21.000000","32.641387","DDS demands","Known Flow","610693.122500","165895.320000","0.000000","","","","-3.989999","","-17.339999","","","","","","","","","-19.073667","-21.329999","","","","","","C4 PROFILE","","D1 PROFILE","","","","","","","","",""
"961086-3404672","Nodes","-3404672","21.000000","33.090046","Default Known Flow Node","Known Flow","610725.685000","165940.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-4256541","Nodes","-425654","21.000000","32.963795","Default Known Flow Node","Known Flow","611912.185000","166224.320000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501084","Nodes","5501084","21.000000","32.959566","DDS demands","Known Flow","611958.560000","166195.460625","0.000000","","","","","","-19.730000","","","","","","","","","-17.642920","-19.730000","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-3370618","Nodes","-3370618","21.000000","27.945523","Default Known Flow Node","Known Flow","610872.935000","165912.320000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501261","Nodes",", ""SEP00618"", ""ST JAMES GARDENS"", 6.84","22.999998","27.951541","CSEP DDS Matched","Known Flow","610872.247500","165912.898125","0.000000","","","","","","","-12.000000","","","","","","","","-10.730614","-12.000000","","","","","","","","","DC PROFILE","","","","","","","",""
"96108605501152","Nodes","5501152","21.000000","30.594293","DDS demands","Known Flow","610783.435000","165915.945000","0.000000","","","","","","-32.410000","","","","","","","","","-28.981602","-32.410000","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108686-10011","Nodes","-1001","21.000000","31.836525","Default Known Flow Node","Known Flow","610637.685000","166211.835625","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502245","Nodes","5502245","21.000000","30.351315","Default Known Flow Node","Known Flow","610507.060000","166026.945000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"9610866-710001","Nodes","-71000","21.000000","31.879002","Default Known Flow Node","Known Flow","610637.497500","166218.179375","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2291901","Nodes","-229190","21.000000","31.859483","Default Known Flow Node","Known Flow","610635.435000","166218.195000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605501108","Nodes","5501108","21.000000","31.022223","DDS demands","Known Flow","610509.560000","165570.695000","0.000000","","","","","","-12.399999","","","","","","","","","-11.088301","-12.399999","","","","","","","","D1 PROFILE","","","","","","","","",""
"96108600007312","Nodes","Logger 7312, 125 Canterbury Road","21.000000","31.032092","Val Log Post","Known Flow","610510.310000","165572.210625","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"961086-2120641","Nodes","-212064","21.000000","31.180418","Default Known Flow Node","Known Flow","610523.185000","165592.445000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502099","Nodes","5502099","21.000000","33.189675","DDS demands","Known Flow","611857.435000","166599.663750","0.000000","","","","","","-21.909999","","","","","","","","","-19.592315","-21.909999","","","","","","","","D1 PROFILE","","","","","","","","",""
"961086-1041371","Nodes","-1041371","21.000000","33.217639","Default Known Flow Node","Known Flow","611862.060000","166600.195000","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","",""
"96108605502241","Nodes","5502241","21.000000","33.693809","DDS demands","Known Flow","611948.060000","166609.945000","0.000000","","","","","","-8.029999","","","","","","","","","-7.180569","-8.029999","","","","","","","","D1 PROFILE","","","","","","","","",""
