"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(PL-AF)"
"96106400231178","Nodes","231178","21.000000","34.040213","Default Known Flow Node","Known Flow","629415.176078","157981.265498","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106405204034","Nodes","5204034","21.000000","34.040213","DDS demands","Known Flow","629400.639537","157994.532119","","0.000000","","","","","-4.920000","","","-4.399552","-4.920000","","","","","","","D1 PROFILE","",""
"96106405204011","Nodes","5204011","21.000000","26.756177","DDS demands","Known Flow","627954.201022","158283.437983","","0.000000","","","","","-13.550000","","","-12.116652","-13.550000","","","","","","","D1 PROFILE","",""
"96106400001057","Nodes","1057","21.000000","26.824955","Default Known Flow Node","Known Flow","628049.570786","158296.405920","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106405204064","Nodes","5204064","21.000000","26.826776","DDS demands","Known Flow","628056.484203","158297.114988","","0.000000","","","","","-2.009999","","","-1.797377","-2.009999","","","","","","","D1 PROFILE","",""
"96106405204022","Nodes","5204022","21.000000","26.761912","DDS demands","Known Flow","628592.116938","158565.559235","","0.000000","-17.849999","","","","-14.569999","","","-28.990543","-32.419999","","","C1 PROFILE","","","","D1 PROFILE","",""
"96106400001055","Nodes","1055","21.000000","27.962537","DDS demands","Known Flow","628561.963498","158436.090699","","0.000000","","","","","-14.100000","","","-12.608473","-14.100000","","","","","","","D1 PROFILE","",""
"96106405204023","Nodes","5204023","21.000000","28.041200","DDS demands","Known Flow","628561.645847","158428.996511","","0.000000","","","","","-5.150000","","","-4.605222","-5.150000","","","","","","","D1 PROFILE","",""
"96106405204035","Nodes","5204035","21.000000","34.182399","DDS demands","Known Flow","629692.462717","158031.907744","","0.000000","","","","","-19.399998","","","-17.347825","-19.399998","","","","","","","D1 PROFILE","",""
"96106400001053","Nodes","1053","21.000000","32.018346","DDS demands","Known Flow","629488.222085","158424.681898","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106405204031","Nodes","5204031","21.000000","34.305874","DDS demands","Known Flow","629635.557434","158091.115622","","0.000000","","","","","-14.749999","","","-13.189713","-14.749999","","","","","","","D1 PROFILE","",""
"96106405204032","Nodes","5204032","21.000000","34.020512","DDS demands","Known Flow","629318.875000","158274.750000","","0.000000","","","","","-1.999999","","","-1.788435","-1.999999","","","","","","","D1 PROFILE","",""
"96106400001052","Nodes","1052","21.000000","34.653219","Default Known Flow Node","Known Flow","629362.375000","158240.343750","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106400341800","Nodes","341800","21.000000","34.709015","Default Known Flow Node","Known Flow","629366.375000","158237.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106405204063","Nodes","5204063","21.000000","26.852746","DDS demands","Known Flow","628147.244951","158304.560206","","0.000000","","","","","-11.979999","","","-10.712730","-11.979999","","","","","","","D1 PROFILE","",""
"96106405204012","Nodes","5204012","21.000000","26.875209","DDS demands","Known Flow","628179.742924","158306.679245","","0.000000","","","","","-13.910000","","","-12.438570","-13.910000","","","","","","","D1 PROFILE","",""
"96106405204065","Nodes","5204065","21.000000","26.910694","DDS demands","Known Flow","628298.509096","158356.653050","","0.000000","","","","","-13.309999","","","-11.902040","-13.309999","","","","","","","D1 PROFILE","",""
"96106400277717","Nodes","277717","21.000000","25.988564","Default Known Flow Node","Known Flow","627799.208651","158156.339190","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106400243720","Nodes","243720","21.000000","26.042986","Default Known Flow Node","Known Flow","628400.257324","158479.304092","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106405204014","Nodes","5204014","21.000000","26.109222","DDS demands","Known Flow","628396.763831","158476.114156","","0.000000","","","","","-12.470000","","","-11.150897","-12.470000","","","","","","","D1 PROFILE","",""
"96106405204013","Nodes","5204013","21.000000","27.158367","DDS demands","Known Flow","628461.788154","158417.996780","","0.000000","","","","","-20.109999","","","-17.982721","-20.109999","","","","","","","D1 PROFILE","",""
"96106400341724","Nodes","341724","21.000000","26.999691","DDS demands","Known Flow","628362.869234","158390.518275","","0.000000","","-27.640000","","","-2.779999","","","-27.202109","-30.419999","","","","C2 PROFILE","","","D1 PROFILE","",""
"96106400344075","Nodes","344075","21.000000","25.010608","DDS demands","Known Flow","628138.381596","158215.572128","","0.000000","","-15.999999","","","","","","-14.307486","-15.999999","","","","C2 PROFILE","","","","",""
"96106400353689","Nodes","353689","21.000000","26.826776","Default Known Flow Node","Known Flow","628034.857618","158319.273374","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106405204050","Nodes","5204050","21.000000","28.251330","DDS demands","Known Flow","628606.116875","158432.596547","","0.000000","","","-2.069999","","-18.879998","","","-18.733864","-20.949997","","","","","C3 PROFILE","","D1 PROFILE","",""
"96106405204049","Nodes","5204049","21.000000","28.601920","DDS demands","Known Flow","628692.854595","158417.208951","","0.000000","","","","","-6.760000","","","-6.044912","-6.760000","","","","","","","D1 PROFILE","",""
"96106400341727","Nodes","341727","21.000000","27.733406","DDS demands","Known Flow","628619.363908","158346.965515","","0.000000","","","","","-9.079999","","","-8.119498","-9.079999","","","","","","","D1 PROFILE","",""
"96106400341728","Nodes","341728","21.000000","27.733406","Default Known Flow Node","Known Flow","628619.649400","158345.823546","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106400341729","Nodes","341729","21.000000","27.646648","Default Known Flow Node","Known Flow","628622.250000","158291.500000","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106405204048","Nodes","5204048","21.000000","28.638491","DDS demands","Known Flow","628700.716682","158416.647373","","0.000000","","","","","-3.119999","","","-2.789959","-3.119999","","","","","","","D1 PROFILE","",""
