"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96112100215718","Nodes","-215718","21.000000","36.661020","Default Known Flow Node","Known Flow","577844.548392","136983.564484","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004887","Nodes","","0.000000","36.835764","Default Known Flow Node","Known Flow","577765.400371","136887.905458","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004889","Nodes","","0.000000","36.879638","Default Known Flow Node","Known Flow","577731.029362","136846.746447","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202044","Nodes","6202044","21.000000","36.896964","DDS demands","Known Flow","577751.943301","136827.567099","","0.000000","","","","","-13.770000","","","","","","-12.313380","-13.770000","","","","","","","D1 PROFILE","","","","",""
"96112100207098","Nodes","-207098","21.000000","37.675786","Default Known Flow Node","Known Flow","577779.300335","136734.561354","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004892","Nodes","","0.000000","36.899425","Default Known Flow Node","Known Flow","577766.193371","136762.527424","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004890","Nodes","","0.000000","37.000637","Default Known Flow Node","Known Flow","577787.413377","136816.391439","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004883","Nodes","","0.000000","37.662853","Default Known Flow Node","Known Flow","577781.552375","136740.182418","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202039","Nodes","6202039","21.000000","37.674212","DDS demands","Known Flow","577781.134888","136738.229770","","0.000000","","","","","-5.440000","","","","","","-4.864545","-5.440000","","","","","","","D1 PROFILE","","","","",""
"96112106202046","Nodes","6202046","21.000000","36.876761","DDS demands","Known Flow","577727.177107","136849.937544","","0.000000","","","","","-14.049999","","","","","","-12.563761","-14.049999","","","","","","","D1 PROFILE","","","","",""
"96112100004896","Nodes","","0.000000","35.885424","Default Known Flow Node","Known Flow","577500.644299","136723.685414","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004897","Nodes","","0.000000","31.909096","Default Known Flow Node","Known Flow","577351.159258","136927.267469","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202137","Nodes","6202137","21.000000","35.798469","Default Known Flow Node","Known Flow","577228.673225","136713.939411","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202036","Nodes","6202036","21.000000","36.242046","DDS demands","Known Flow","577638.803337","136766.814426","","0.000000","","","","","-3.749999","","","","","","-3.353317","-3.749999","","","","","","","D1 PROFILE","","","","",""
"96112106202109","Nodes","6202109","21.000000","40.929126","Default Known Flow Node","Known Flow","577859.798397","135440.314065","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100231140","Nodes","-231140","21.000000","40.929126","Default Known Flow Node","Known Flow","577880.173402","135427.689061","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100231138","Nodes","-231138","21.000000","40.929126","Default Known Flow Node","Known Flow","577840.798391","135434.564063","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112101058190","Nodes","-1058190","21.000000","43.435384","Default Known Flow Node","Known Flow","577911.047292","135897.310745","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112103407659","Nodes","-3407659","21.000000","43.194964","Default Known Flow Node","Known Flow","577873.423400","135951.814204","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207169","Nodes","-207169","21.000000","43.496115","DDS demands","Known Flow","577916.423412","135895.564188","","0.000000","","","","","-14.170000","","","","","","-12.671067","-14.170000","","","","","","","D1 PROFILE","","","","",""
"96112101058189","Nodes","-1058189","21.000000","43.520859","Default Known Flow Node","Known Flow","577896.548407","135868.439181","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100215467","Nodes","-215467","21.000000","44.633113","Default Known Flow Node","Known Flow","578111.798465","135850.314176","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207166","Nodes","-207166","21.000000","42.770653","Default Known Flow Node","Known Flow","577912.173411","135794.939161","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207168","Nodes","-207168","21.000000","42.770653","Default Known Flow Node","Known Flow","577913.294587","135796.442014","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202012","Nodes","6202012","21.000000","44.633113","DDS demands","Known Flow","578103.173463","135851.689176","","0.000000","","","-1.840000","","-19.409999","","","-16.410000","","","-33.676246","-37.660000","","","","","C3 PROFILE","","D1 PROFILE","","","I2 PROFILE","",""
"96112100215464","Nodes","-215464","21.000000","44.579664","Default Known Flow Node","Known Flow","578094.923461","135828.064170","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202097","Nodes","6202097","21.000000","44.563669","Default Known Flow Node","Known Flow","577917.923412","135531.189089","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100215453","Nodes","-215453","21.000000","44.563669","Default Known Flow Node","Known Flow","577899.298407","135511.689084","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202079","Nodes","6202079","21.000000","44.478243","DDS demands","Known Flow","577964.042625","135622.193036","","0.000000","","","","","-29.540000","","","","","","-26.415196","-29.540000","","","","","","","D1 PROFILE","","","","",""
"96112100215458","Nodes","-215458","21.000000","44.142177","Default Known Flow Node","Known Flow","577965.423425","135890.064187","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202065","Nodes","6202065","21.000000","43.965838","DDS demands","Known Flow","577962.048424","135881.814185","","0.000000","","","","","-9.509999","","","","","","-8.504012","-9.509999","","","","","","","D1 PROFILE","","","","",""
"96112100215468","Nodes","-215468","21.000000","44.633113","Default Known Flow Node","Known Flow","578142.798474","135845.689175","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202094","Nodes","6202094","21.000000","43.946905","Default Known Flow Node","Known Flow","577972.673427","135878.314184","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207158","Nodes","-207158","21.000000","42.559004","Default Known Flow Node","Known Flow","577899.548407","135781.939158","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202098","Nodes","6202098","21.000000","42.693635","Default Known Flow Node","Known Flow","577907.548410","135792.064160","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202011","Nodes","6202011","21.000000","44.360092","DDS demands","Known Flow","578037.048445","135731.064144","","0.000000","","","","","-12.600000","","","","","","-11.267146","-12.600000","","","","","","","D1 PROFILE","","","","",""
"96112100215462","Nodes","-215462","21.000000","44.402758","Default Known Flow Node","Known Flow","578024.423441","135739.439146","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202104","Nodes","6202104","21.000000","41.352238","DDS demands","Known Flow","577869.423399","135533.314090","","0.000000","","","","","-15.420000","","","","","","-13.788840","-15.420000","","","","","","","D1 PROFILE","","","","",""
"96112100207135","Nodes","-207135","21.000000","41.352238","Default Known Flow Node","Known Flow","577865.923398","135561.189097","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202085","Nodes","6202085","21.000000","41.414272","Default Known Flow Node","Known Flow","577809.798383","135607.189110","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207146","Nodes","-207146","21.000000","41.339165","Default Known Flow Node","Known Flow","577882.173403","135592.814106","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207133","Nodes","-207133","21.000000","42.736453","Default Known Flow Node","Known Flow","577863.548398","135776.314156","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202099","Nodes","6202099","21.000000","42.693635","Default Known Flow Node","Known Flow","577889.173405","135807.439164","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202096","Nodes","6202096","21.000000","44.478243","Default Known Flow Node","Known Flow","577945.048420","135590.439105","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100207164","Nodes","-207164","21.000000","42.693635","Default Known Flow Node","Known Flow","577910.798411","135824.814169","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202101","Nodes","6202101","21.000000","41.663137","Default Known Flow Node","Known Flow","577911.923411","135669.189127","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100252512","Nodes","-252512","21.000000","41.352316","Default Known Flow Node","Known Flow","577871.173400","135531.564089","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112106202063","Nodes","6202063","21.000000","41.319542","DDS demands","Known Flow","577875.820324","135998.688328","","0.000000","","","","","-7.309999","","","","","","-6.536732","-7.309999","","","","","","","D1 PROFILE","","","","",""
"96112100207153","Nodes","-207153","21.000000","41.319542","Default Known Flow Node","Known Flow","577891.298405","135972.439209","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004939","Nodes","","0.000000","39.784255","Default Known Flow Node","Known Flow","577844.198392","136161.346261","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"96112100004940","Nodes","","0.000000","39.784255","Default Known Flow Node","Known Flow","577868.796399","136144.038256","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
