"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"96106900774136","Nodes","","21.000000","27.308090","Default Known Flow Node","Known Flow","630968.916262","154460.470340","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106905208023","Nodes","","21.000000","27.315512","DDS demands","Known Flow","630968.516512","154472.600036","","0.000000","","","","","-15.010000","","","-13.422211","-15.010000","","","","","","","D1 PROFILE","",""
"96106905208015","Nodes","","21.000000","29.766466","DDS demands","Known Flow","630934.745255","155034.892273","","0.000000","","","","","-28.899998","","","-25.842897","-28.899998","","","","","","","D1 PROFILE","",""
"96106905208044","Nodes","","21.000000","29.910403","Default Known Flow Node","Known Flow","630935.275836","155044.338399","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106905208051","Nodes","","21.000000","31.286862","DDS demands","Known Flow","630918.954137","155254.757059","","0.000000","","","","","-3.869999","","","-3.460623","-3.869999","","","","","","","D1 PROFILE","",""
"96106905208140","Nodes","","21.000000","29.911966","DDS demands","Known Flow","630936.025836","155044.618399","","0.000000","","","","","-2.779999","","","-2.485925","-2.779999","","","","","","","D1 PROFILE","",""
"96106900774130","Nodes","","21.000000","29.269408","Default Known Flow Node","Known Flow","630945.987839","154970.824379","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106900383111","Nodes","","21.000000","28.342915","DDS demands","Known Flow","630863.462816","155040.051398","","0.000000","","","","","-1.879999","","","-1.681129","-1.879999","","","","","","","D1 PROFILE","",""
"96106900774131","Nodes","","21.000000","29.118627","Default Known Flow Node","Known Flow","630949.426840","154952.854374","","0.000000","","","","","","","","0.000000","0.000000","","","","","","","","",""
"96106905208084","Nodes","","21.000000","28.712503","DDS demands","Known Flow","630949.003839","154893.921358","","0.000000","","","","","-3.459999","","","-3.093993","-3.459999","","","","","","","D1 PROFILE","",""
