"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)"
"96112600482555","Nodes","482555","21.000000","23.140775","DDS demands","Known Flow","587718.869079","160395.636855","","0.000000","","","","","","","-6.179999","","","","","","-5.526266","-6.179999","","","","","","","","","D1 PROFILE","","","","",""
"96112600482554","Nodes","482554","21.000000","23.080390","DDS demands","Known Flow","587664.242064","160355.996844","","0.000000","","","","","","","-3.559999","","","","","","-3.183415","-3.559999","","","","","","","","","D1 PROFILE","","","","",""
"96112600337067","Nodes","337067","21.000000","28.198670","DDS demands","Known Flow","590756.426906","166188.572431","","0.000000","","","","","","","-5.019999","","","","","","-4.488973","-5.019999","","","","","","","","","D1 PROFILE","","","","",""
"96112600001003","Nodes","1003","21.000000","25.386100","DDS demands","Known Flow","590765.932362","166259.573992","","0.000000","","","","","","","-0.899999","","","","","","-0.804796","-0.899999","","","","","","","","","D1 PROFILE","","","","",""
"96112606318099","Nodes","6318099","21.000000","25.382218","DDS demands","Known Flow","590768.551909","166271.072454","","0.000000","","","","-4.760000","","","-3.020000","","","","","","-6.957015","-7.780000","","","","","","C4 PROFILE","","","D1 PROFILE","","","","",""
"96112606318097","Nodes","6318097","21.000000","29.520996","DDS demands","Known Flow","590636.051873","166143.447419","","0.000000","","","","","","","-19.030000","","","","","","-17.016967","-19.030000","","","","","","","","","D1 PROFILE","","","","",""
"96112601277419","Nodes","1277419","21.000000","36.561226","Default Known Flow Node","Known Flow","590532.676845","166255.697450","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96112602295746","Nodes","2295746","21.000000","29.651786","Default Known Flow Node","Known Flow","590558.551852","164215.196894","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96112600001000","Nodes","1000","21.000000","29.651786","Default Known Flow Node","Known Flow","590563.551853","164207.071892","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
"96112602295748","Nodes","2295748","21.000000","29.651786","Default Known Flow Node","Known Flow","590568.176854","164221.696896","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","",""
