"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62502500000477","Nodes","477","21.000000","42.384293","Default Known Flow Node","Known Flow","206193.032130","560094.227667","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002883","Nodes","-203","21.000000","30.354434","Default Known Flow Node","Known Flow","206226.220274","560870.571828","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000179","Nodes","179","21.000000","30.311325","DDS demands","Known Flow","206237.476438","560904.189146","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500002894","Nodes","-218","21.000000","30.311325","Default Known Flow Node","Known Flow","206214.721270","560923.285842","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000358","Nodes","358","21.000000","24.437701","DDS demands","Known Flow","204768.881877","562086.221158","","0.000000","","","","","","-5.709999","","","","","","","-5.105984","-5.709999","","","","","","","","","D1 PROFILE","","","","","","",""
"62502500001021","Nodes","Logger 9786, Rocklea Gardens","21.000000","24.481411","Val Log Cath","Known Flow","204807.809358","562070.138005","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000359","Nodes","359","21.000000","24.481411","Default Known Flow Node","Known Flow","204807.104888","562064.891153","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
"62502500000087","Nodes","87,","21.000000","33.388518","DDS demands","Known Flow","205772.822150","560548.054740","","0.000000","","-45.779998","","","","-4.739999","","","","","","","-45.175887","-50.519998","","","","","C2 PROFILE","","","","D1 PROFILE","","","","","","",""
"62502500001020","Nodes","P13132696, ASHWOOD DRIVE CSEP, 14.49 SCMH","22.999998","34.031951","CSEP Unmatched","Known Flow","205825.338116","560517.732500","","0.000000","","","","","","","","","","","-14.489999","","-12.957217","-14.489999","","","","","","","","","","","","","","PL-DC PROFILE","",""
"62502500002737","Nodes","-103","21.000000","34.735284","Default Known Flow Node","Known Flow","205881.327170","560507.116033","","0.000000","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","",""
