"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-PL)"
"62600200000043","Nodes","43","21.000000","33.479293","DDS demands","Known Flow","312371.101155","968070.165630","","0.000000","","","","","-12.550000","","","","","","","-10.100191","-11.295000","","","","","","","D1 PROFILE","","","","","",""
"62600200001004","Nodes","1004","21.000000","33.565489","Default Known Flow Node","Known Flow","312395.226161","968031.040620","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000312","Nodes","312","21.000000","38.734574","Default Known Flow Node","Known Flow","311769.975991","967650.915516","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200001003","Nodes","1003","21.000000","38.734574","Default Known Flow Node","Known Flow","311778.600993","967639.665513","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200319209","Nodes","-319209","21.000000","38.542742","Default Known Flow Node","Known Flow","311739.850983","967618.165507","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200000141","Nodes","141","21.000000","24.595820","DDS demands","Known Flow","311287.225860","968576.540768","","0.000000","","","","","-4.770000","","","","","","","-3.838877","-4.293000","","","","","","","D1 PROFILE","","","","","",""
"62600200000297","Nodes","297","21.000000","24.646748","DDS demands","Known Flow","311293.600861","968571.790767","","0.000000","","","","","-21.909999","","","","","","","-17.633081","-19.719000","","","","","","","D1 PROFILE","","","","","",""
"62600201562784","Nodes","-1562784","21.000000","24.263818","Default Known Flow Node","Known Flow","311386.710822","968520.802231","","0.000000","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","",""
"62600200001001","Nodes","1001","21.000000","24.174967","DDS demands","Known Flow","311403.302907","968542.524321","","0.000000","-2.609999","-6.000000","","","-1.490000","","","","","","","-8.128440","-9.089999","","","C1 PROFILE","C2 PROFILE","","","D1 PROFILE","","","","","",""
"62600200000197","Nodes","197","21.000000","24.000983","DDS demands","Known Flow","311453.100905","968609.790777","","0.000000","-0.110000","","-4.800000","","-10.239999","","","","","","","-12.202497","-13.645999","","","C1 PROFILE","","C3 PROFILE","","D1 PROFILE","","","","","",""
