"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeFlowByCategory(PL-DC)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowByCategory(TT)","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)","NodeFlowProfileNameByCategory(PL-DC)","NodeFlowProfileNameByCategory(PL-PL)","NodeFlowProfileNameByCategory(TT)"
"62500600007804","Nodes","7804","21.000000","34.012609","Default Known Flow Node","Known Flow","232776.237497","639086.992111","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007805","Nodes","7805","21.000000","34.037417","Default Known Flow Node","Known Flow","232776.197497","639085.447111","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007806","Nodes","7806","21.000000","34.023226","Default Known Flow Node","Known Flow","232792.012501","639072.928107","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007807","Nodes","7807","21.000000","34.055515","Default Known Flow Node","Known Flow","232760.633493","639099.873114","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007809","Nodes","7809","21.000000","32.776268","Default Known Flow Node","Known Flow","232823.912510","639145.209127","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007811","Nodes","7811","21.000000","32.743915","Default Known Flow Node","Known Flow","232836.010513","639160.301131","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007812","Nodes","7812","21.000000","32.740570","Default Known Flow Node","Known Flow","232837.251513","639161.870131","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007815","Nodes","7815","21.000000","32.896351","DDS demands","Known Flow","232878.616525","639213.695145","","0.000000","","","","","","","-3.099999","","","","","","","","-2.772075","-3.099999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007818","Nodes","7818","21.000000","32.715428","Default Known Flow Node","Known Flow","232859.990520","639156.336130","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007821","Nodes","7821","21.000000","33.299103","Default Known Flow Node","Known Flow","232884.731558","639246.567216","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007820","Nodes","7820","21.000000","33.299103","Default Known Flow Node","Known Flow","232886.385527","639245.552154","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007822","Nodes","7822","21.000000","32.032740","Default Known Flow Node","Known Flow","232988.374555","639340.854180","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007972","Nodes","7972","21.000000","32.099523","DDS demands","Known Flow","232980.469291","639333.125440","","0.000000","","","","","","","-2.259999","","","","","","","","-2.020932","-2.259999","","","","","","","","","","D1 PROFILE","","","","","","","",""
"62500600007824","Nodes","7824","21.000000","26.876251","Default Known Flow Node","Known Flow","232789.550500","638830.226041","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007828","Nodes","7828","21.000000","32.145597","Default Known Flow Node","Known Flow","232709.619479","638705.158007","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007830","Nodes","7830","21.000000","26.267591","Default Known Flow Node","Known Flow","232701.783477","638669.690997","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007843","Nodes","7843","21.000000","28.683925","Default Known Flow Node","Known Flow","233289.248636","639563.461241","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007878","Nodes","7878","21.000000","28.683925","Default Known Flow Node","Known Flow","233283.385123","639576.254468","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007855","Nodes","7855","21.000000","30.130252","Default Known Flow Node","Known Flow","233031.618566","639815.223309","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
"62500600007856","Nodes","7856","21.000000","30.130252","Default Known Flow Node","Known Flow","233024.071564","639809.737308","","0.000000","","","","","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","","","","","","","",""
