"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-PL)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-PL)"
"62505100000163","Nodes","163","21.000000","24.155943","DDS demands","Known Flow","234945.700000","677176.335000","","0.000000","","","","","-9.549999","","","","-8.539781","-9.549999","","","","","","","D1 PROFILE","","",""
"62505100003050","Nodes","3050","21.000000","24.007702","DDS demands","Known Flow","234836.626884","677267.682305","","0.000000","","","","","-8.169999","","","","-7.305760","-8.169999","","","","","","","D1 PROFILE","","",""
"62505100003053","Nodes","3053","21.000000","24.243196","Default Known Flow Node","Known Flow","234933.450000","677237.710000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000122","Nodes","122","21.000000","24.160754","DDS demands","Known Flow","234953.075000","677073.960000","","0.000000","","","-2.390000","","-9.060000","","","","-10.238795","-11.449999","","","","","C3 PROFILE","","D1 PROFILE","","",""
"62505100000184","Nodes","184","21.000000","24.117891","DDS demands","Known Flow","234975.654924","677034.422127","","0.000000","","","","","-1.789999","","","","-1.600649","-1.789999","","","","","","","D1 PROFILE","","",""
"62505100000063","Nodes","63","21.000000","23.286869","DDS demands","Known Flow","234627.200000","677214.335000","","0.000000","","","","","-1.360000","","","","-1.216136","-1.360000","","","","","","","D1 PROFILE","","",""
"62505100003051","Nodes","3051","21.000000","23.516601","Default Known Flow Node","Known Flow","234717.450000","677212.460000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100000074","Nodes","74","21.000000","24.781779","Default Known Flow Node","Known Flow","234706.450000","677407.335000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
"62505100003012","Nodes","3012","21.000000","24.472970","DDS demands","Known Flow","234764.700000","677426.085000","","0.000000","","","","-12.029999","","","","","-10.757440","-12.029999","","","","","","C4 PROFILE","","","",""
"62505100000164","Nodes","164","21.000000","24.243196","DDS demands","Known Flow","234931.450000","677241.710000","","0.000000","","","","","","","","","0.000000","0.000000","","","","","","","","","",""
