"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-AF)"
"62501100003303","Nodes","3303","21.000000","33.512213","Default Known Flow Node","Known Flow","220458.963764","659422.319133","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000954","Nodes","954","21.000000","33.562158","Default Known Flow Node","Known Flow","220454.141144","659419.471644","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100001019","Nodes","","21.000000","68.641214","Default Known Flow Node","Known Flow","220941.783103","655586.178149","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100001020","Nodes","1020","21.000000","70.455761","Default Known Flow Node","Known Flow","220945.136508","655616.744733","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000901","Nodes","901","21.000000","71.493196","Default Known Flow Node","Known Flow","220947.056279","655634.243614","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000122","Nodes","P08119213, GATESIDE STREET, 31.66","22.999998","32.856033","CSEP DDS Matched","Known Flow","220561.734692","659421.942277","","0.000000","-0.300000","","","","","-29.440000","-31.659999","","","","-54.904978","-61.399998","","","C1 PROFILE","","","","","D1 PROFILE","DC PROFILE","","",""
"62501100001018","Nodes","1018","21.000000","32.724448","Default Known Flow Node","Known Flow","220629.544732","659417.704120","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003180","Nodes","3180","21.000000","32.598555","Default Known Flow Node","Known Flow","220649.544961","659413.579842","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003378","Nodes","3378","21.000000","31.073348","Default Known Flow Node","Known Flow","220846.908662","659724.014778","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003393","Nodes","3393","21.000000","30.062439","Default Known Flow Node","Known Flow","220887.761262","659849.159760","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000734","Nodes","P12129877, FLATT ROAD CSEP, 27.05 SCMH","24.000000","27.693841","CSEP DDS Matched","Known Flow","221133.085489","659366.322330","","0.000000","","","","","","","-27.049998","","","","-24.188592","-27.049998","","","","","","","","","DC PROFILE","","",""
"62501100001004","Nodes","1004","21.000000","33.485114","Default Known Flow Node","Known Flow","220475.338826","659420.133992","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000602","Nodes","602","21.000000","33.013486","DDS demands","Known Flow","220537.718167","659419.649644","","0.000000","","","","","","-20.709999","","","","","-18.519252","-20.709999","","","","","","","","D1 PROFILE","","","",""
"62501100000956","Nodes","956","21.000000","32.507114","DDS demands","Known Flow","220392.676699","659433.786461","","0.000000","-8.839999","","","","","-10.520000","","","","","-17.312058","-19.359999","","","C1 PROFILE","","","","","D1 PROFILE","","","",""
"62501100003189","Nodes","3189","21.000000","32.334908","Default Known Flow Node","Known Flow","220393.097128","659455.408653","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000337","Nodes","","21.000000","29.412414","Default Known Flow Node","Known Flow","221161.735378","659717.306518","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000134","Nodes","134","21.000000","29.181753","DDS demands","Known Flow","221158.248336","659555.170680","","0.000000","","","","","","-20.700001","","","","","-18.510311","-20.700001","","","","","","","","D1 PROFILE","","","",""
"62501100003399","Nodes","3399","21.000000","29.845498","Default Known Flow Node","Known Flow","220860.349555","660008.680319","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000702","Nodes","702","21.000000","30.003343","DDS demands","Known Flow","220865.344814","660031.838211","","0.000000","-1.840000","-6.000000","","","","-4.980000","","","","","-11.463874","-12.820000","","","C1 PROFILE","C2 PROFILE","","","","D1 PROFILE","","","",""
"62501100000050","Nodes","50","21.000000","31.243029","DDS demands","Known Flow","220877.446260","660120.416834","","0.000000","","","","","","-57.189999","","","","","-51.140320","-57.189999","","","","","","","","D1 PROFILE","","","",""
"62501100000795","Nodes","795","21.000000","35.797717","DDS demands","Known Flow","220470.402149","660322.667889","","0.000000","","","","","","-1.159999","","","","","-1.037292","-1.159999","","","","","","","","D1 PROFILE","","","",""
"62501100000340","Nodes","340","21.000000","38.387559","Default Known Flow Node","Known Flow","220583.869555","660335.693005","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000767","Nodes","767","21.000000","39.144333","DDS demands","Known Flow","220618.121189","660340.260894","","0.000000","","","-1.770000","-1.860000","","-20.569998","","","","","-21.640072","-24.199999","","","","","C3 PROFILE","C4 PROFILE","","D1 PROFILE","","","",""
"62501100001013","Nodes","1013","21.000000","39.563039","Default Known Flow Node","Known Flow","220565.612175","660159.664845","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100001009","Nodes","","21.000000","39.002548","Default Known Flow Node","Known Flow","220600.752570","660167.611174","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000218","Nodes","218","21.000000","38.176721","DDS demands","Known Flow","220651.319198","660179.045850","","0.000000","","","","","","-27.100000","","","","","-24.233305","-27.100000","","","","","","","","D1 PROFILE","","","",""
"62501100001010","Nodes","","21.000000","39.341240","Default Known Flow Node","Known Flow","220610.609890","660313.561127","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000042","Nodes","42","21.000000","39.934839","DDS demands","Known Flow","220583.792180","660233.628865","","0.000000","","","-3.579999","","","-19.319998","","","","","-20.477588","-22.899997","","","","","C3 PROFILE","","","D1 PROFILE","","","",""
"62501100003271","Nodes","3271","21.000000","28.027376","Default Known Flow Node","Known Flow","220212.893079","660232.524865","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000235","Nodes","235","21.000000","28.150033","DDS demands","Known Flow","220227.800903","660232.367716","","0.000000","","","","","","-10.130000","","","","","-9.058427","-10.130000","","","","","","","","D1 PROFILE","","","",""
"62501100000234","Nodes","234","21.000000","28.167254","DDS demands","Known Flow","220231.223084","660232.841865","","0.000000","","","","","","-9.829999","","","","","-8.790161","-9.829999","","","","","","","","D1 PROFILE","","","",""
"62501100000354","Nodes","354","21.000000","34.617942","DDS demands","Known Flow","220736.972221","660714.114996","","0.000000","","","","","","-9.630000","","","","","-8.611318","-9.630000","","","","","","","","D1 PROFILE","","","",""
"62501100000862","Nodes","862","21.000000","42.936598","DDS demands","Known Flow","220966.908284","655197.943495","","0.000000","","","","","","-3.549999","","","","","-3.174473","-3.549999","","","","","","","","D1 PROFILE","","","",""
"62501100001003","Nodes","","21.000000","41.702606","Default Known Flow Node","Known Flow","220922.704773","655159.162619","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000855","Nodes","855","21.000000","41.169254","DDS demands","Known Flow","220917.563271","655114.763472","","0.000000","-5.050000","","","","","-12.729999","","","","","-15.899193","-17.779999","","","C1 PROFILE","","","","","D1 PROFILE","","","",""
"62501100003327","Nodes","3327","21.000000","64.521168","Default Known Flow Node","Known Flow","220992.866743","655536.347618","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003283","Nodes","3283","21.000000","28.396927","Default Known Flow Node","Known Flow","220466.362148","660499.718937","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000036","Nodes","36","21.000000","29.086661","DDS demands","Known Flow","220507.618132","660523.100710","","0.000000","","","","","","-12.590000","","","","","-11.258204","-12.590000","","","","","","","","D1 PROFILE","","","",""
"62501100000769","Nodes","769","21.000000","29.955542","DDS demands","Known Flow","220561.133460","660519.959622","","0.000000","","","","","","-1.399999","","","","","-1.251905","-1.399999","","","","","","","","D1 PROFILE","","","",""
"62501100000051","Nodes","51","21.000000","35.554914","DDS demands","Known Flow","220895.151264","660231.265864","","0.000000","","","","","","-37.360001","","","","","-33.407982","-37.360001","","","","","","","","D1 PROFILE","","","",""
"62501100000338","Nodes","338","21.000000","33.311461","Default Known Flow Node","Known Flow","221020.509227","660260.414094","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000059","Nodes","59","21.000000","32.898590","DDS demands","Known Flow","221047.636454","660266.721715","","0.000000","","","","","","-21.489999","","","","","-19.216742","-21.489999","","","","","","","","D1 PROFILE","","","",""
"62501100000336","Nodes","","21.000000","34.099685","Default Known Flow Node","Known Flow","220806.270537","660860.598652","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003350","Nodes","3350","21.000000","30.661117","Default Known Flow Node","Known Flow","220813.492288","658630.802001","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000334","Nodes","","21.000000","30.841109","Default Known Flow Node","Known Flow","220827.388537","658582.803751","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000069","Nodes","69","21.000000","30.813881","DDS demands","Known Flow","220831.749621","658568.346492","","0.000000","","","","","","-3.819999","","","","","-3.415912","-3.819999","","","","","","","","D1 PROFILE","","","",""
"62501100003412","Nodes","3412","21.000000","33.750758","Default Known Flow Node","Known Flow","220525.529164","659151.751571","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000333","Nodes","","21.000000","33.635007","Default Known Flow Node","Known Flow","220532.067717","659143.360868","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000915","Nodes","915","21.000000","33.282482","Default Known Flow Node","Known Flow","220556.999172","659114.067560","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000332","Nodes","332","21.000000","32.266633","Default Known Flow Node","Known Flow","220681.075919","658950.119215","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003325","Nodes","3325","21.000000","32.471575","Default Known Flow Node","Known Flow","220665.966482","658970.199550","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003183","Nodes","3183","21.000000","32.849164","Default Known Flow Node","Known Flow","220234.508085","659418.932643","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000331","Nodes","","21.000000","32.849164","Default Known Flow Node","Known Flow","220242.820063","659411.164751","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003176","Nodes","3176","21.000000","32.849164","Default Known Flow Node","Known Flow","220256.343091","659402.829639","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000066","Nodes","P06110797, GREENOCK ROAD, 13.01","22.999998","28.606379","CSEP DDS Matched","Known Flow","220097.493672","660419.777387","","0.000000","","","","","","-11.799999","-13.000000","","","","-22.176603","-24.799999","","","","","","","","D1 PROFILE","DC PROFILE","","",""
"62501100003033","Nodes","3033","21.000000","23.677905","Default Known Flow Node","Known Flow","220723.252993","658304.735477","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003356","Nodes","3356","21.000000","22.967317","Default Known Flow Node","Known Flow","220719.443998","658304.667399","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003369","Nodes","3369","21.000000","27.279602","Default Known Flow Node","Known Flow","221119.389325","659348.265624","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003299","Nodes","3299","21.000000","26.618479","Default Known Flow Node","Known Flow","221047.558202","659355.601888","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000882","Nodes","882","21.000000","33.509295","DDS demands","Known Flow","220932.080352","654520.017235","","0.000000","","","","","","-22.129998","","","","","-19.789041","-22.129998","","","","","","","","D1 PROFILE","","","",""
"62501100003315","Nodes","3315","21.000000","68.301285","Default Known Flow Node","Known Flow","221149.400334","654975.453434","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003316","Nodes","3316","21.000000","68.301285","Default Known Flow Node","Known Flow","221128.479328","654976.181434","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003040","Nodes","3040","21.000000","39.717227","Default Known Flow Node","Known Flow","220861.974255","655021.960447","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000864","Nodes","864","21.000000","39.844436","Default Known Flow Node","Known Flow","220902.815267","655038.332451","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100003044","Nodes","3044","21.000000","41.296224","Default Known Flow Node","Known Flow","220938.086276","655104.309469","","0.000000","","","","","","","","","","","0.000000","0.000000","","","","","","","","","","","",""
"62501100000873","Nodes","873","21.000000","60.296105","DDS demands","Known Flow","221143.054655","655273.054144","","0.000000","","","","","","-26.209998","","","","","-23.437449","-26.209998","","","","","","","","D1 PROFILE","","","",""
