"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CC)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DH)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeFlowByCategory(PL-DC)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CC)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DH)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)","NodeFlowProfileNameByCategory(PL-DC)"
"62500800001444","Nodes","1444",21.000000,74.662590,"DDS demands","Known Flow",245352.357954,656166.515387,,0.000000,,,,,,-8.569999,,,,,,-7.663447,-8.569999,,"",,,,,,"D1 PROFILE",,,,,
"62500800001089","Nodes","1089",21.000000,37.064824,"DDS demands","Known Flow",250927.584436,657894.956229,,0.000000,,,,,,-2.079999,,,,,,-1.859973,-2.079999,,"",,,,,,"D1 PROFILE",,,,,
"62500800001088","Nodes","1088",21.000000,37.927182,"DDS demands","Known Flow",250852.459713,657865.957289,,0.000000,,,,,,-2.119999,,,,,,-1.895741,-2.119999,,"",,,,,,"D1 PROFILE",,,,,
"62500800001214","Nodes","P10123011, Cross Arthurlie Street, -22.33",24.000000,29.964123,"CSEP DDS Matched","Known Flow",249793.904519,659076.081412,,0.000000,,,,,-12.550000,,-9.779999,,,,,-19.967885,-22.330000,,"",,,,,"CC PROFILE",,"DC PROFILE",,,,
"62500800001215","Nodes","1215",21.000000,31.030705,"Default Known Flow Node","Known Flow",251237.454222,659398.288005,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62500800394675","Nodes","-3665687",21.000000,31.074168,"Default Known Flow Node","Known Flow",251229.709518,659430.331647,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62500800001213","Nodes","1213",21.000000,31.030705,"Default Known Flow Node","Known Flow",251254.950936,659400.139369,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62500800000860","Nodes","860",21.000000,32.757368,"DDS demands","Known Flow",247574.083523,657012.830989,,0.000000,,,,,,-1.389999,,,,,,-1.242962,-1.389999,,"",,,,,,"D1 PROFILE",,,,,
"62500800001212","Nodes","Logger 9210, 144 Main Street",21.000000,32.212980,"Val Log Cath","Known Flow",247559.636097,656998.961460,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62500800000622","Nodes","622",21.000000,30.530534,"DDS demands","Known Flow",247515.708507,656955.455973,,0.000000,,,,,,-5.229999,,,,,,-4.676759,-5.229999,,"",,,,,,"D1 PROFILE",,,,,
"62500800000507","Nodes","507",21.000000,31.164378,"DDS demands","Known Flow",247497.833502,657135.706022,,0.000000,,,,,,-11.819999,,,,,,-10.569655,-11.819999,,"",,,,,,"D1 PROFILE",,,,,
"62500800001211","Nodes","Logger 9586, 48 Hillside Road",21.000000,31.132631,"Val Log Cath","Known Flow",247550.365786,657204.472176,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62500800394504","Nodes","-324040",21.000000,31.111185,"Default Known Flow Node","Known Flow",247570.833522,657222.581046,,0.000000,,,,,,,,,,,,0.000000,0.000000,,"",,,,,,,,,,,
"62500800000410","Nodes","410",21.000000,28.358835,"DDS demands","Known Flow",248232.354702,657410.384097,,0.000000,,,-3.190000,,,-2.819999,,,,,,-5.374249,-6.010000,,"",,,"C3  PROFILE",,,"D1 PROFILE",,,,,
