"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(PL-AF)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(PL-AF)"
"62505300000638","Nodes","638","21.000000","39.193829","DDS demands","Known Flow","246409.458206","669162.959295","","0.000000","","","","","","-9.300000","","","","-8.316226","-9.300000","","","","","","","","D1 PROFILE","","",""
"62505300000637","Nodes","637","21.000000","39.472127","DDS demands","Known Flow","246459.833220","669249.334318","","0.000000","","","","","","-7.679999","","","","-6.867593","-7.679999","","","","","","","","D1 PROFILE","","",""
"62505300000766","Nodes","766","21.000000","45.580782","DDS demands","Known Flow","246883.333335","670973.709788","","0.000000","","","","","","","","","","-14.852959","-16.610000","","","","","","","","","","",""
"62505300001012","Nodes","Logger 9575, opposite EBT Technology, 53 Kilpatrick Drive","21.000000","45.535893","Val Log Post","Known Flow","246840.177678","671057.564752","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505300000767","Nodes","767","21.000000","45.535716","Default Known Flow Node","Known Flow","246838.083323","671062.959812","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505300005392","Nodes","5392","21.000000","38.563791","Default Known Flow Node","Known Flow","246905.708341","669845.334481","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505300001011","Nodes","Logger 9455, 14 Park Moor","21.000000","38.599323","Val Log Cath","Known Flow","246893.585323","669893.616455","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505300000298","Nodes","298","21.000000","38.749985","DDS demands","Known Flow","246923.458346","669933.084504","","0.000000","","","","","","-11.709999","","","","-10.471291","-11.709999","","","","","","","","D1 PROFILE","","",""
"62505300001010","Nodes","Logger 9578, 5 Barrhill Road","21.000000","49.390291","Val Log Cath","Known Flow","246194.604970","670145.032182","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"62505300000418","Nodes","418","21.000000","49.347415","DDS demands","Known Flow","246192.083147","670149.584563","","0.000000","","","","","","-1.019999","","","","-0.912102","-1.019999","","","","","","","","D1 PROFILE","","",""
