"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C4)","NodeFlowByCategory(D1)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(I2)"
"62506000000022","Nodes","22",21.000000,29.229626,"DDS demands","Known Flow",258544.711508,620467.696044,,0.000000,,,,-21.559998,,-19.279336,-21.559998,,"",,,,"D1 PROFILE",
"62506000000023","Nodes","23",21.000000,29.229626,"Default Known Flow Node","Known Flow",258564.336513,620447.696039,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62506000000020","Nodes","20",21.000000,34.917055,"DDS demands","Known Flow",258650.086537,620384.446022,,0.000000,,,,-19.270001,-1.869999,-18.903768,-21.140000,,"",,,,"D1 PROFILE","I2 PROFILE"
"62506000000039","Nodes","39",21.000000,34.070372,"Default Known Flow Node","Known Flow",258588.211520,620429.696034,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62506000000019","Nodes","19",21.000000,37.306863,"DDS demands","Known Flow",258805.711579,620291.945997,,0.000000,-5.059999,,,-11.109999,-6.000000,-19.824811,-22.169999,,"","C1 PROFILE",,,"D1 PROFILE","I2 PROFILE"
"62506000000018","Nodes","18",21.000000,37.669831,"DDS demands","Known Flow",258815.711582,620303.571000,,0.000000,,,,-59.109998,,-52.857217,-59.109998,,"",,,,"D1 PROFILE",
"62506000000014","Nodes","14",21.000000,39.180461,"DDS demands","Known Flow",258869.961597,620430.696034,,0.000000,,,,-37.450000,,-33.488461,-37.450000,,"",,,,"D1 PROFILE",
"62506000000015","Nodes","15",21.000000,32.416888,"DDS demands","Known Flow",258942.711616,620316.696003,,0.000000,,,,-11.539999,,-10.319274,-11.539999,,"",,,,"D1 PROFILE",
"62506000000016","Nodes","16",21.000000,32.120130,"DDS demands","Known Flow",258911.711608,620352.696013,,0.000000,,,,-6.229999,,-5.570977,-6.229999,,"",,,,"D1 PROFILE",
"62506000000017","Nodes","17",21.000000,31.973561,"DDS demands","Known Flow",258885.836601,620297.445998,,0.000000,,,,-10.249999,,-9.165733,-10.249999,,"",,,,"D1 PROFILE",
"62506000000006","Nodes","6",21.000000,47.062147,"DDS demands","Known Flow",258865.961596,620791.071132,,0.000000,,,,-9.699999,,-8.673912,-9.699999,,"",,,,"D1 PROFILE",
"62506000000005","Nodes","5",21.000000,47.887991,"DDS demands","Known Flow",258980.211627,620766.071126,,0.000000,,,,-6.220000,,-5.562035,-6.220000,,"",,,,"D1 PROFILE",
"62506000000013","Nodes","13",21.000000,42.063005,"DDS demands","Known Flow",258890.586602,620543.696065,,0.000000,,,,-4.639999,,-4.149170,-4.639999,,"",,,,"D1 PROFILE",
"62506000000024","Nodes","24",21.000000,40.899603,"DDS demands","Known Flow",258974.461625,620526.946061,,0.000000,,,,-1.820000,,-1.627476,-1.820000,,"",,,,"D1 PROFILE",
"62506000000012","Nodes","12",21.000000,42.365229,"DDS demands","Known Flow",258892.086603,620553.071068,,0.000000,,,,-37.229999,,-33.291730,-37.229999,,"",,,,"D1 PROFILE",
"625060-19","Nodes","-19",21.000000,40.757769,"Default Known Flow Node","Known Flow",258983.336627,620567.946072,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62506000000037","Nodes","37",21.000000,47.890625,"DDS demands","Known Flow",258978.336626,620759.321124,,0.000000,,,,-18.340000,,-16.399957,-18.340000,,"",,,,"D1 PROFILE",
"62506000000003","Nodes","3",21.000000,47.841988,"DDS demands","Known Flow",258988.211629,620777.571129,,0.000000,,,,-10.640000,,-9.514479,-10.640000,,"",,,,"D1 PROFILE",
"62506000000007","Nodes","7",21.000000,46.446004,"DDS demands","Known Flow",258970.461624,620676.571101,,0.000000,,,,-22.959998,,-20.531241,-22.959998,,"",,,,"D1 PROFILE",
"62506000000008","Nodes","8",21.000000,45.365870,"DDS demands","Known Flow",258905.961606,620637.196091,,0.000000,,,-4.330000,-8.409999,,-11.392336,-12.740000,,"",,,"C4 PROFILE","D1 PROFILE",
"62506000000009","Nodes","9",21.000000,44.941362,"DDS demands","Known Flow",258871.086597,620692.821106,,0.000000,,,,-20.410000,,-18.250988,-20.410000,,"",,,,"D1 PROFILE",
"62506000000010","Nodes","10",21.000000,44.798426,"DDS demands","Known Flow",258923.836611,620754.071122,,0.000000,,,,-4.610000,,-4.122344,-4.610000,,"",,,,"D1 PROFILE",
"62506000000011","Nodes","11",21.000000,45.111100,"Default Known Flow Node","Known Flow",258899.711605,620601.946081,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62506000000025","Nodes","25",21.000000,40.587792,"DDS demands","Known Flow",258989.461629,620595.821079,,0.000000,,,,-9.039999,,-8.083729,-9.039999,,"",,,,"D1 PROFILE",
"625060-1462475","Nodes","-1462475",21.000000,40.757769,"Default Known Flow Node","Known Flow",258998.086631,620564.946071,,0.000000,,,,,,0.000000,0.000000,,"",,,,,
"62506000000026","Nodes","26",21.000000,40.888791,"DDS demands","Known Flow",259019.461637,620517.946058,,0.000000,,,,-7.320000,,-6.545675,-7.320000,,"",,,,"D1 PROFILE",
"62506000000002","Nodes","2",21.000000,47.839157,"DDS demands","Known Flow",259003.086633,620797.696134,,0.000000,,,,-1.820000,,-1.627476,-1.820000,,"",,,,"D1 PROFILE",
